generation,objective,operator,anc_prefix_k,fht_50,fht_10,lcc_at_k_frac,k,time_total,time_select,time_anc,unique_id,file
1,0.23783,e2,0.7506111851797115,625.0,1555.0,0.7780748663101604,448,115.92958116531372,110.17172598838806,5.2076497077941895,9c1a6956365d0528f2f9003e4327574d,population_generation_1.json
2,0.23766,t2,0.7517283071960662,629.0,1543.0,0.7797459893048129,448,12.001044750213623,6.554265022277832,4.928828239440918,9399f5bfe21ff32ce9771ad0885bcd8b,population_generation_2.json
3,0.23766,t2,0.7517283071960662,629.0,1543.0,0.7797459893048129,448,12.001044750213623,6.554265022277832,4.928828239440918,9399f5bfe21ff32ce9771ad0885bcd8b,population_generation_3.json
4,0.23766,t2,0.7517283071960662,629.0,1543.0,0.7797459893048129,448,12.001044750213623,6.554265022277832,4.928828239440918,9399f5bfe21ff32ce9771ad0885bcd8b,population_generation_4.json
5,0.23766,t2,0.7517283071960662,629.0,1543.0,0.7797459893048129,448,12.001044750213623,6.554265022277832,4.928828239440918,9399f5bfe21ff32ce9771ad0885bcd8b,population_generation_5.json
6,0.23766,t2,0.7517283071960662,629.0,1543.0,0.7797459893048129,448,12.001044750213623,6.554265022277832,4.928828239440918,9399f5bfe21ff32ce9771ad0885bcd8b,population_generation_6.json
7,0.23766,t2,0.7517283071960662,629.0,1543.0,0.7797459893048129,448,12.001044750213623,6.554265022277832,4.928828239440918,9399f5bfe21ff32ce9771ad0885bcd8b,population_generation_7.json
8,0.23766,t2,0.7517283071960662,629.0,1543.0,0.7797459893048129,448,12.001044750213623,6.554265022277832,4.928828239440918,9399f5bfe21ff32ce9771ad0885bcd8b,population_generation_8.json
9,0.23766,t2,0.7517283071960662,629.0,1543.0,0.7797459893048129,448,12.001044750213623,6.554265022277832,4.928828239440918,9399f5bfe21ff32ce9771ad0885bcd8b,population_generation_9.json
10,0.23766,t2,0.7517283071960662,629.0,1543.0,0.7797459893048129,448,12.001044750213623,6.554265022277832,4.928828239440918,9399f5bfe21ff32ce9771ad0885bcd8b,population_generation_10.json
11,0.23766,t2,0.7517283071960662,629.0,1543.0,0.7797459893048129,448,12.001044750213623,6.554265022277832,4.928828239440918,9399f5bfe21ff32ce9771ad0885bcd8b,population_generation_11.json
12,0.23766,t2,0.7517283071960662,629.0,1543.0,0.7797459893048129,448,12.001044750213623,6.554265022277832,4.928828239440918,9399f5bfe21ff32ce9771ad0885bcd8b,population_generation_12.json
13,0.23766,t2,0.7517283071960662,629.0,1543.0,0.7797459893048129,448,12.001044750213623,6.554265022277832,4.928828239440918,9399f5bfe21ff32ce9771ad0885bcd8b,population_generation_13.json
14,0.23662,e1,0.7374979470137877,600.0,1610.0,0.7650401069518716,448,10.289382696151733,4.21969199180603,5.544416189193726,01deeed1b239fee869f5e6fd6e1b8335,population_generation_14.json
15,0.23662,e1,0.7374979470137877,600.0,1610.0,0.7650401069518716,448,10.289382696151733,4.21969199180603,5.544416189193726,01deeed1b239fee869f5e6fd6e1b8335,population_generation_15.json
16,0.23251,e2,0.737612617223647,606.0,1572.0,0.7650401069518716,448,118.90629744529724,112.72969150543213,5.6662657260894775,884cae278785b95256ca82e7ef68bd27,population_generation_16.json
17,0.22934,m2,0.740896716222164,588.0,1492.0,0.768048128342246,448,99.70805954933167,93.68128085136414,5.512641668319702,54745d6400a01c246314e18fab57d427,population_generation_17.json
18,0.22934,m2,0.740896716222164,588.0,1492.0,0.768048128342246,448,99.70805954933167,93.68128085136414,5.512641668319702,54745d6400a01c246314e18fab57d427,population_generation_18.json
19,0.22934,m2,0.740896716222164,588.0,1492.0,0.768048128342246,448,99.70805954933167,93.68128085136414,5.512641668319702,54745d6400a01c246314e18fab57d427,population_generation_19.json
20,0.22934,m2,0.740896716222164,588.0,1492.0,0.768048128342246,448,99.70805954933167,93.68128085136414,5.512641668319702,54745d6400a01c246314e18fab57d427,population_generation_20.json
21,0.22934,m2,0.740896716222164,588.0,1492.0,0.768048128342246,448,99.70805954933167,93.68128085136414,5.512641668319702,54745d6400a01c246314e18fab57d427,population_generation_21.json
22,0.22934,m2,0.740896716222164,588.0,1492.0,0.768048128342246,448,99.70805954933167,93.68128085136414,5.512641668319702,54745d6400a01c246314e18fab57d427,population_generation_22.json
23,0.22934,m2,0.740896716222164,588.0,1492.0,0.768048128342246,448,99.70805954933167,93.68128085136414,5.512641668319702,54745d6400a01c246314e18fab57d427,population_generation_23.json
24,0.22934,m2,0.740896716222164,588.0,1492.0,0.768048128342246,448,99.70805954933167,93.68128085136414,5.512641668319702,54745d6400a01c246314e18fab57d427,population_generation_24.json
25,0.22934,m2,0.740896716222164,588.0,1492.0,0.768048128342246,448,99.70805954933167,93.68128085136414,5.512641668319702,54745d6400a01c246314e18fab57d427,population_generation_25.json
26,0.22307,e1,0.7120759670068902,564.0,1527.0,0.7489973262032086,448,274.7403087615967,268.7336497306824,5.4679131507873535,b34b461a93419d6fe356671453764141,population_generation_26.json
27,0.22307,e1,0.7120759670068902,564.0,1527.0,0.7489973262032086,448,274.7403087615967,268.7336497306824,5.4679131507873535,b34b461a93419d6fe356671453764141,population_generation_27.json
28,0.22307,e1,0.7120759670068902,564.0,1527.0,0.7489973262032086,448,274.7403087615967,268.7336497306824,5.4679131507873535,b34b461a93419d6fe356671453764141,population_generation_28.json
29,0.22307,e1,0.7120759670068902,564.0,1527.0,0.7489973262032086,448,274.7403087615967,268.7336497306824,5.4679131507873535,b34b461a93419d6fe356671453764141,population_generation_29.json
30,0.22307,e1,0.7120759670068902,564.0,1527.0,0.7489973262032086,448,274.7403087615967,268.7336497306824,5.4679131507873535,b34b461a93419d6fe356671453764141,population_generation_30.json
31,0.21987,e2,0.7122893700199145,540.0,1496.0,0.7423128342245989,448,39.09013247489929,31.66205096244812,6.77176308631897,3f6894cc822d13bc712b4bda91ef0abb,population_generation_31.json
32,0.21987,e2,0.7122893700199145,540.0,1496.0,0.7423128342245989,448,39.09013247489929,31.66205096244812,6.77176308631897,3f6894cc822d13bc712b4bda91ef0abb,population_generation_32.json
33,0.21987,e2,0.7122893700199145,540.0,1496.0,0.7423128342245989,448,39.09013247489929,31.66205096244812,6.77176308631897,3f6894cc822d13bc712b4bda91ef0abb,population_generation_33.json
34,0.21987,e2,0.7122893700199145,540.0,1496.0,0.7423128342245989,448,39.09013247489929,31.66205096244812,6.77176308631897,3f6894cc822d13bc712b4bda91ef0abb,population_generation_34.json
35,0.21987,e2,0.7122893700199145,540.0,1496.0,0.7423128342245989,448,39.09013247489929,31.66205096244812,6.77176308631897,3f6894cc822d13bc712b4bda91ef0abb,population_generation_35.json
36,0.21987,e2,0.7122893700199145,540.0,1496.0,0.7423128342245989,448,39.09013247489929,31.66205096244812,6.77176308631897,3f6894cc822d13bc712b4bda91ef0abb,population_generation_36.json
37,0.21987,e2,0.7122893700199145,540.0,1496.0,0.7423128342245989,448,39.09013247489929,31.66205096244812,6.77176308631897,3f6894cc822d13bc712b4bda91ef0abb,population_generation_37.json
38,0.21987,e2,0.7122893700199145,540.0,1496.0,0.7423128342245989,448,39.09013247489929,31.66205096244812,6.77176308631897,3f6894cc822d13bc712b4bda91ef0abb,population_generation_38.json
39,0.21781,m1,0.7106943692437766,498.0,1563.0,0.7316176470588235,448,48.820833921432495,42.398165464401245,5.867048025131226,35d3b8c2dcafc85418ab0270b657095a,population_generation_39.json
40,0.21781,m1,0.7106943692437766,498.0,1563.0,0.7316176470588235,448,48.820833921432495,42.398165464401245,5.867048025131226,35d3b8c2dcafc85418ab0270b657095a,population_generation_40.json
41,0.21781,m1,0.7106943692437766,498.0,1563.0,0.7316176470588235,448,48.820833921432495,42.398165464401245,5.867048025131226,35d3b8c2dcafc85418ab0270b657095a,population_generation_41.json
42,0.21507,e2,0.7163593081814197,528.0,1499.0,0.7413101604278075,448,137.19042372703552,128.99511122703552,7.33845591545105,9c6e0052ce494807349161269561f227,population_generation_42.json
43,0.21507,e2,0.7163593081814197,528.0,1499.0,0.7413101604278075,448,137.19042372703552,128.99511122703552,7.33845591545105,9c6e0052ce494807349161269561f227,population_generation_43.json
44,0.21507,e2,0.7163593081814197,528.0,1499.0,0.7413101604278075,448,137.19042372703552,128.99511122703552,7.33845591545105,9c6e0052ce494807349161269561f227,population_generation_44.json
45,0.21507,e2,0.7163593081814197,528.0,1499.0,0.7413101604278075,448,137.19042372703552,128.99511122703552,7.33845591545105,9c6e0052ce494807349161269561f227,population_generation_45.json
46,0.21507,e2,0.7163593081814197,528.0,1499.0,0.7413101604278075,448,137.19042372703552,128.99511122703552,7.33845591545105,9c6e0052ce494807349161269561f227,population_generation_46.json
