generation,pop_size,objective_best,objective_mean,objective_median,objective_min,objective_max,time_total_mean,time_select_mean,time_anc_mean,time_overhead_mean,file
-1,20,0.23911,0.2466025,0.24476,0.23911,0.26613,12.728142440319061,6.789031708240509,5.388422477245331,0.5506882548332215,population_generation_-1.json
0,10,0.23911,0.242584,0.24229,0.23911,0.24736,12.448544669151307,6.5124588966369625,5.386567187309265,0.5495185852050781,population_generation_0.json
1,10,0.23783,0.23980400000000004,0.23995,0.23783,0.2414,25.275958323478697,19.731574273109437,5.004780101776123,0.5396039485931396,population_generation_1.json
2,10,0.23766,0.23925900000000003,0.23966,0.23766,0.24046,25.258524942398072,19.65251851081848,5.066673111915589,0.5393333196640014,population_generation_2.json
3,10,0.23766,0.23886700000000002,0.23915,0.23766,0.23966,41.40952489376068,35.58500409126282,5.289375066757202,0.5351457357406616,population_generation_3.json
4,10,0.23766,0.23881100000000002,0.23915,0.23766,0.23924,22.683467411994933,16.907934379577636,5.246921348571777,0.52861168384552,population_generation_4.json
5,10,0.23766,0.238795,0.23911,0.23766,0.23921,22.592811107635498,16.78578088283539,5.279882001876831,0.5271482229232788,population_generation_5.json
6,10,0.23766,0.238795,0.23911,0.23766,0.23921,22.592811107635498,16.78578088283539,5.279882001876831,0.5271482229232788,population_generation_6.json
7,10,0.23766,0.23879,0.23911,0.23766,0.23919,22.556738448143005,16.746243238449097,5.282411050796509,0.5280841588973999,population_generation_7.json
8,10,0.23766,0.23877500000000002,0.23908,0.23766,0.23917,22.527479648590088,16.742370271682738,5.258529996871948,0.5265793800354004,population_generation_8.json
9,10,0.23766,0.23874799999999996,0.23904,0.23766,0.23915,29.715810346603394,23.95930857658386,5.229915142059326,0.5265866279602051,population_generation_9.json
10,10,0.23766,0.238551,0.23872,0.23766,0.23908,75.18030519485474,69.42412629127503,5.235100889205933,0.5210780143737793,population_generation_10.json
11,10,0.23766,0.23854000000000003,0.23872,0.23766,0.23904,97.16176986694336,91.41209807395936,5.229299592971802,0.5203722000122071,population_generation_11.json
12,10,0.23766,0.23854000000000003,0.23872,0.23766,0.23904,104.50412020683288,98.74134182929993,5.241346311569214,0.5214320659637451,population_generation_12.json
13,10,0.23766,0.238476,0.23857,0.23766,0.23897,109.29105360507965,103.52538106441497,5.245444631576538,0.5202279090881348,population_generation_13.json
14,10,0.23662,0.23817199999999997,0.2385,0.23662,0.23872,96.13643705844879,90.32422106266021,5.290471720695495,0.5217442750930786,population_generation_14.json
15,10,0.23662,0.238016,0.2384,0.23662,0.23857,89.85385873317719,84.05651173591613,5.279418015480042,0.5179289817810059,population_generation_15.json
16,10,0.23251,0.236835,0.23766,0.23251,0.2384,104.8582275390625,99.02142369747162,5.317242836952209,0.5195610046386718,population_generation_16.json
17,10,0.22934,0.235929,0.2372,0.22934,0.23828,107.41609563827515,101.5474799156189,5.348127102851867,0.5204886198043823,population_generation_17.json
18,10,0.22934,0.23517300000000002,0.23663,0.22934,0.23766,71.38495035171509,65.42260210514068,5.444724488258362,0.51762375831604,population_generation_18.json
19,10,0.22934,0.235086,0.23663,0.22934,0.23765,87.86342520713806,81.86866111755371,5.473178839683532,0.5215852499008179,population_generation_19.json
20,10,0.22934,0.23497500000000007,0.23662,0.22934,0.2372,81.15460286140441,75.12208340167999,5.508735632896423,0.523783826828003,population_generation_20.json
21,10,0.22934,0.234518,0.23654,0.22934,0.23682,81.82553493976593,75.80692062377929,5.494596219062805,0.5240180969238282,population_generation_21.json
22,10,0.22934,0.234518,0.23654,0.22934,0.23682,81.82553493976593,75.80692062377929,5.494596219062805,0.5240180969238282,population_generation_22.json
23,10,0.22934,0.23428199999999996,0.23514,0.22934,0.23663,94.67261943817138,88.65639915466309,5.494915509223938,0.5213047742843628,population_generation_23.json
24,10,0.22934,0.23428199999999996,0.23514,0.22934,0.23663,94.67261943817138,88.65639915466309,5.494915509223938,0.5213047742843628,population_generation_24.json
25,10,0.22934,0.23409799999999997,0.23509,0.22934,0.23662,120.07405598163605,114.0584115743637,5.495183300971985,0.520461106300354,population_generation_25.json
26,10,0.22307,0.232743,0.23479,0.22307,0.23654,146.51914858818054,140.50980734825134,5.487532997131348,0.5218082427978515,population_generation_26.json
27,10,0.22307,0.23271999999999998,0.23479,0.22307,0.23631,146.0817135810852,140.07139627933503,5.477438569068909,0.5328787326812744,population_generation_27.json
28,10,0.22307,0.232115,0.23283,0.22307,0.23588,170.6767084121704,164.6011222600937,5.53126893043518,0.5443172216415405,population_generation_28.json
29,10,0.22307,0.23174,0.23258,0.22307,0.23509,176.56309595108033,170.3894697904587,5.656537413597107,0.5170887470245361,population_generation_29.json
30,10,0.22307,0.23174,0.23258,0.22307,0.23509,176.56309595108033,170.3894697904587,5.656537413597107,0.5170887470245361,population_generation_30.json
