model,raw_model,generation,objective,best_so_far,operator,phase,is_improvement,delta_from_previous_best
Claude Sonnet,claude-sonnet-4-6,1,0.257210000000,0.257210000000,e1,Early,1,0.000000000000
Claude Sonnet,claude-sonnet-4-6,2,0.243560000000,0.243560000000,m2,Early,1,0.013650000000
Claude Sonnet,claude-sonnet-4-6,3,0.191790000000,0.191790000000,m2,Early,1,0.051770000000
Claude Sonnet,claude-sonnet-4-6,4,0.191790000000,0.191790000000,m2,Early,0,0.000000000000
Claude Sonnet,claude-sonnet-4-6,5,0.191790000000,0.191790000000,m2,Early,0,0.000000000000
Claude Sonnet,claude-sonnet-4-6,6,0.191790000000,0.191790000000,m2,Early,0,0.000000000000
Claude Sonnet,claude-sonnet-4-6,7,0.191790000000,0.191790000000,m2,Early,0,0.000000000000
Claude Sonnet,claude-sonnet-4-6,8,0.190790000000,0.190790000000,m1,Early,1,0.001000000000
Claude Sonnet,claude-sonnet-4-6,9,0.189830000000,0.189830000000,m2,Early,1,0.000960000000
Claude Sonnet,claude-sonnet-4-6,10,0.189830000000,0.189830000000,m2,Early,0,0.000000000000
Claude Sonnet,claude-sonnet-4-6,11,0.189830000000,0.189830000000,m2,Middle,0,0.000000000000
Claude Sonnet,claude-sonnet-4-6,12,0.186840000000,0.186840000000,e1,Middle,1,0.002990000000
Claude Sonnet,claude-sonnet-4-6,13,0.186840000000,0.186840000000,e1,Middle,0,0.000000000000
Claude Sonnet,claude-sonnet-4-6,14,0.186840000000,0.186840000000,e1,Middle,0,0.000000000000
Claude Sonnet,claude-sonnet-4-6,15,0.186840000000,0.186840000000,e1,Middle,0,0.000000000000
Claude Sonnet,claude-sonnet-4-6,16,0.186840000000,0.186840000000,e1,Middle,0,0.000000000000
Claude Sonnet,claude-sonnet-4-6,17,0.186840000000,0.186840000000,e1,Middle,0,0.000000000000
Claude Sonnet,claude-sonnet-4-6,18,0.186840000000,0.186840000000,e1,Middle,0,0.000000000000
Claude Sonnet,claude-sonnet-4-6,19,0.186840000000,0.186840000000,e1,Middle,0,0.000000000000
Claude Sonnet,claude-sonnet-4-6,20,0.186840000000,0.186840000000,e1,Middle,0,0.000000000000
Claude Sonnet,claude-sonnet-4-6,21,0.186840000000,0.186840000000,e1,Late,0,0.000000000000
Claude Sonnet,claude-sonnet-4-6,22,0.186840000000,0.186840000000,e1,Late,0,0.000000000000
Claude Sonnet,claude-sonnet-4-6,23,0.186840000000,0.186840000000,e1,Late,0,0.000000000000
Claude Sonnet,claude-sonnet-4-6,24,0.186840000000,0.186840000000,e1,Late,0,0.000000000000
Claude Sonnet,claude-sonnet-4-6,25,0.186840000000,0.186840000000,e1,Late,0,0.000000000000
Claude Sonnet,claude-sonnet-4-6,26,0.186840000000,0.186840000000,e1,Late,0,0.000000000000
Claude Sonnet,claude-sonnet-4-6,27,0.186840000000,0.186840000000,e1,Late,0,0.000000000000
Claude Sonnet,claude-sonnet-4-6,28,0.185790000000,0.185790000000,e2,Late,1,0.001050000000
Claude Sonnet,claude-sonnet-4-6,29,0.185790000000,0.185790000000,e2,Late,0,0.000000000000
Claude Sonnet,claude-sonnet-4-6,30,0.185790000000,0.185790000000,e2,Late,0,0.000000000000
DeepSeek-R1,deepseek-r1,1,0.257850000000,0.257850000000,m1,Early,1,0.000000000000
DeepSeek-R1,deepseek-r1,2,0.257850000000,0.257850000000,m1,Early,0,0.000000000000
DeepSeek-R1,deepseek-r1,3,0.257830000000,0.257830000000,m2,Early,1,0.000020000000
DeepSeek-R1,deepseek-r1,4,0.257830000000,0.257830000000,m2,Early,0,0.000000000000
DeepSeek-R1,deepseek-r1,5,0.256910000000,0.256910000000,m1,Early,1,0.000920000000
DeepSeek-R1,deepseek-r1,6,0.256910000000,0.256910000000,m1,Early,0,0.000000000000
DeepSeek-R1,deepseek-r1,7,0.256910000000,0.256910000000,m1,Early,0,0.000000000000
DeepSeek-R1,deepseek-r1,8,0.256910000000,0.256910000000,m1,Early,0,0.000000000000
DeepSeek-R1,deepseek-r1,9,0.256910000000,0.256910000000,m1,Early,0,0.000000000000
DeepSeek-R1,deepseek-r1,10,0.256910000000,0.256910000000,m1,Early,0,0.000000000000
DeepSeek-R1,deepseek-r1,11,0.256740000000,0.256740000000,m1,Middle,1,0.000170000000
DeepSeek-R1,deepseek-r1,12,0.256220000000,0.256220000000,m1,Middle,1,0.000520000000
DeepSeek-R1,deepseek-r1,13,0.256220000000,0.256220000000,m1,Middle,0,0.000000000000
DeepSeek-R1,deepseek-r1,14,0.256220000000,0.256220000000,m1,Middle,0,0.000000000000
DeepSeek-R1,deepseek-r1,15,0.256220000000,0.256220000000,m1,Middle,0,0.000000000000
DeepSeek-R1,deepseek-r1,16,0.256220000000,0.256220000000,m1,Middle,0,0.000000000000
DeepSeek-R1,deepseek-r1,17,0.256180000000,0.256180000000,m2,Middle,1,0.000040000000
DeepSeek-R1,deepseek-r1,18,0.255990000000,0.255990000000,m1,Middle,1,0.000190000000
DeepSeek-R1,deepseek-r1,19,0.255990000000,0.255990000000,m1,Middle,0,0.000000000000
DeepSeek-R1,deepseek-r1,20,0.255900000000,0.255900000000,m1,Middle,1,0.000090000000
DeepSeek-R1,deepseek-r1,21,0.255900000000,0.255900000000,m1,Late,0,0.000000000000
DeepSeek-R1,deepseek-r1,22,0.255900000000,0.255900000000,m1,Late,0,0.000000000000
DeepSeek-R1,deepseek-r1,23,0.255900000000,0.255900000000,m1,Late,0,0.000000000000
DeepSeek-R1,deepseek-r1,24,0.255900000000,0.255900000000,m1,Late,0,0.000000000000
DeepSeek-R1,deepseek-r1,25,0.255900000000,0.255900000000,m1,Late,0,0.000000000000
DeepSeek-R1,deepseek-r1,26,0.255900000000,0.255900000000,m1,Late,0,0.000000000000
DeepSeek-R1,deepseek-r1,27,0.254900000000,0.254900000000,e1,Late,1,0.001000000000
DeepSeek-R1,deepseek-r1,28,0.254900000000,0.254900000000,e1,Late,0,0.000000000000
DeepSeek-R1,deepseek-r1,29,0.254900000000,0.254900000000,e1,Late,0,0.000000000000
DeepSeek-R1,deepseek-r1,30,0.254900000000,0.254900000000,e1,Late,0,0.000000000000
Gemini,gemini-2.5-flash,1,0.263360000000,0.263360000000,e2,Early,1,0.000000000000
Gemini,gemini-2.5-flash,2,0.263360000000,0.263360000000,e2,Early,0,0.000000000000
Gemini,gemini-2.5-flash,3,0.263360000000,0.263360000000,e2,Early,0,0.000000000000
Gemini,gemini-2.5-flash,4,0.263360000000,0.263360000000,e2,Early,0,0.000000000000
Gemini,gemini-2.5-flash,5,0.261960000000,0.261960000000,m1,Early,1,0.001400000000
Gemini,gemini-2.5-flash,6,0.261960000000,0.261960000000,m1,Early,0,0.000000000000
Gemini,gemini-2.5-flash,7,0.261960000000,0.261960000000,m1,Early,0,0.000000000000
Gemini,gemini-2.5-flash,8,0.261960000000,0.261960000000,m1,Early,0,0.000000000000
Gemini,gemini-2.5-flash,9,0.261960000000,0.261960000000,m1,Early,0,0.000000000000
Gemini,gemini-2.5-flash,10,0.261960000000,0.261960000000,m1,Early,0,0.000000000000
Gemini,gemini-2.5-flash,11,0.261960000000,0.261960000000,m1,Middle,0,0.000000000000
Gemini,gemini-2.5-flash,12,0.261960000000,0.261960000000,m1,Middle,0,0.000000000000
Gemini,gemini-2.5-flash,13,0.261960000000,0.261960000000,m1,Middle,0,0.000000000000
Gemini,gemini-2.5-flash,14,0.261960000000,0.261960000000,m1,Middle,0,0.000000000000
Gemini,gemini-2.5-flash,15,0.261960000000,0.261960000000,m1,Middle,0,0.000000000000
Gemini,gemini-2.5-flash,16,0.261960000000,0.261960000000,m1,Middle,0,0.000000000000
