model,phase,operator,share_in_improvements,count
Claude Sonnet,Early,E1,0.200000000000,1
Claude Sonnet,Early,E2,0.000000000000,0
Claude Sonnet,Early,M1,0.200000000000,1
Claude Sonnet,Early,M2,0.600000000000,3
Claude Sonnet,Early,T2,0.000000000000,0
Claude Sonnet,Early,I1,0.000000000000,0
Claude Sonnet,Early,Unknown,0.000000000000,0
Claude Sonnet,Middle,E1,1.000000000000,1
Claude Sonnet,Middle,E2,0.000000000000,0
Claude Sonnet,Middle,M1,0.000000000000,0
Claude Sonnet,Middle,M2,0.000000000000,0
Claude Sonnet,Middle,T2,0.000000000000,0
Claude Sonnet,Middle,I1,0.000000000000,0
Claude Sonnet,Middle,Unknown,0.000000000000,0
Claude Sonnet,Late,E1,0.000000000000,0
Claude Sonnet,Late,E2,1.000000000000,1
Claude Sonnet,Late,M1,0.000000000000,0
Claude Sonnet,Late,M2,0.000000000000,0
Claude Sonnet,Late,T2,0.000000000000,0
Claude Sonnet,Late,I1,0.000000000000,0
Claude Sonnet,Late,Unknown,0.000000000000,0
DeepSeek-R1,Early,E1,0.000000000000,0
DeepSeek-R1,Early,E2,0.000000000000,0
DeepSeek-R1,Early,M1,0.666666666667,2
DeepSeek-R1,Early,M2,0.333333333333,1
DeepSeek-R1,Early,T2,0.000000000000,0
DeepSeek-R1,Early,I1,0.000000000000,0
DeepSeek-R1,Early,Unknown,0.000000000000,0
DeepSeek-R1,Middle,E1,0.000000000000,0
DeepSeek-R1,Middle,E2,0.000000000000,0
DeepSeek-R1,Middle,M1,0.800000000000,4
DeepSeek-R1,Middle,M2,0.200000000000,1
DeepSeek-R1,Middle,T2,0.000000000000,0
DeepSeek-R1,Middle,I1,0.000000000000,0
DeepSeek-R1,Middle,Unknown,0.000000000000,0
DeepSeek-R1,Late,E1,1.000000000000,1
DeepSeek-R1,Late,E2,0.000000000000,0
DeepSeek-R1,Late,M1,0.000000000000,0
DeepSeek-R1,Late,M2,0.000000000000,0
DeepSeek-R1,Late,T2,0.000000000000,0
DeepSeek-R1,Late,I1,0.000000000000,0
DeepSeek-R1,Late,Unknown,0.000000000000,0
Gemini,Early,E1,0.000000000000,0
Gemini,Early,E2,0.500000000000,1
Gemini,Early,M1,0.500000000000,1
Gemini,Early,M2,0.000000000000,0
Gemini,Early,T2,0.000000000000,0
Gemini,Early,I1,0.000000000000,0
Gemini,Early,Unknown,0.000000000000,0
Gemini,Middle,E1,0.000000000000,0
Gemini,Middle,E2,0.000000000000,0
Gemini,Middle,M1,0.000000000000,0
Gemini,Middle,M2,0.000000000000,0
Gemini,Middle,T2,1.000000000000,1
Gemini,Middle,I1,0.000000000000,0
Gemini,Middle,Unknown,0.000000000000,0
Gemini,Late,E1,1.000000000000,1
Gemini,Late,E2,0.000000000000,0
Gemini,Late,M1,0.000000000000,0
Gemini,Late,M2,0.000000000000,0
Gemini,Late,T2,0.000000000000,0
Gemini,Late,I1,0.000000000000,0
Gemini,Late,Unknown,0.000000000000,0
GPT-5.1-Codex,Early,E1,0.250000000000,1
GPT-5.1-Codex,Early,E2,0.250000000000,1
GPT-5.1-Codex,Early,M1,0.250000000000,1
GPT-5.1-Codex,Early,M2,0.250000000000,1
GPT-5.1-Codex,Early,T2,0.000000000000,0
GPT-5.1-Codex,Early,I1,0.000000000000,0
GPT-5.1-Codex,Early,Unknown,0.000000000000,0
GPT-5.1-Codex,Middle,E1,0.000000000000,0
GPT-5.1-Codex,Middle,E2,0.000000000000,0
GPT-5.1-Codex,Middle,M1,0.000000000000,0
GPT-5.1-Codex,Middle,M2,1.000000000000,1
GPT-5.1-Codex,Middle,T2,0.000000000000,0
GPT-5.1-Codex,Middle,I1,0.000000000000,0
GPT-5.1-Codex,Middle,Unknown,0.000000000000,0
GPT-5.1-Codex,Late,E1,0.000000000000,0
GPT-5.1-Codex,Late,E2,0.000000000000,0
GPT-5.1-Codex,Late,M1,0.000000000000,0
GPT-5.1-Codex,Late,M2,0.000000000000,0
GPT-5.1-Codex,Late,T2,0.000000000000,0
GPT-5.1-Codex,Late,I1,0.000000000000,0
GPT-5.1-Codex,Late,Unknown,0.000000000000,0
Kimi,Early,E1,0.500000000000,1
Kimi,Early,E2,0.500000000000,1
Kimi,Early,M1,0.000000000000,0
Kimi,Early,M2,0.000000000000,0
Kimi,Early,T2,0.000000000000,0
Kimi,Early,I1,0.000000000000,0
Kimi,Early,Unknown,0.000000000000,0
Kimi,Middle,E1,0.000000000000,0
Kimi,Middle,E2,0.000000000000,0
Kimi,Middle,M1,1.000000000000,1
Kimi,Middle,M2,0.000000000000,0
Kimi,Middle,T2,0.000000000000,0
Kimi,Middle,I1,0.000000000000,0
Kimi,Middle,Unknown,0.000000000000,0
Kimi,Late,E1,0.000000000000,0
Kimi,Late,E2,1.000000000000,1
Kimi,Late,M1,0.000000000000,0
Kimi,Late,M2,0.000000000000,0
Kimi,Late,T2,0.000000000000,0
Kimi,Late,I1,0.000000000000,0
Kimi,Late,Unknown,0.000000000000,0
