model,generation,best_so_far,operator,is_improvement
Claude Sonnet,1,0.257210000000,e1,1
Claude Sonnet,2,0.243560000000,m2,1
Claude Sonnet,3,0.191790000000,m2,1
Claude Sonnet,4,0.191790000000,m2,0
Claude Sonnet,5,0.191790000000,m2,0
Claude Sonnet,6,0.191790000000,m2,0
Claude Sonnet,7,0.191790000000,m2,0
Claude Sonnet,8,0.190790000000,m1,1
Claude Sonnet,9,0.189830000000,m2,1
Claude Sonnet,10,0.189830000000,m2,0
Claude Sonnet,11,0.189830000000,m2,0
Claude Sonnet,12,0.186840000000,e1,1
Claude Sonnet,13,0.186840000000,e1,0
Claude Sonnet,14,0.186840000000,e1,0
Claude Sonnet,15,0.186840000000,e1,0
Claude Sonnet,16,0.186840000000,e1,0
Claude Sonnet,17,0.186840000000,e1,0
Claude Sonnet,18,0.186840000000,e1,0
Claude Sonnet,19,0.186840000000,e1,0
Claude Sonnet,20,0.186840000000,e1,0
Claude Sonnet,21,0.186840000000,e1,0
Claude Sonnet,22,0.186840000000,e1,0
Claude Sonnet,23,0.186840000000,e1,0
Claude Sonnet,24,0.186840000000,e1,0
Claude Sonnet,25,0.186840000000,e1,0
Claude Sonnet,26,0.186840000000,e1,0
Claude Sonnet,27,0.186840000000,e1,0
Claude Sonnet,28,0.185790000000,e2,1
Claude Sonnet,29,0.185790000000,e2,0
Claude Sonnet,30,0.185790000000,e2,0
DeepSeek-R1,1,0.257850000000,m1,1
DeepSeek-R1,2,0.257850000000,m1,0
DeepSeek-R1,3,0.257830000000,m2,1
DeepSeek-R1,4,0.257830000000,m2,0
DeepSeek-R1,5,0.256910000000,m1,1
DeepSeek-R1,6,0.256910000000,m1,0
DeepSeek-R1,7,0.256910000000,m1,0
DeepSeek-R1,8,0.256910000000,m1,0
DeepSeek-R1,9,0.256910000000,m1,0
DeepSeek-R1,10,0.256910000000,m1,0
DeepSeek-R1,11,0.256740000000,m1,1
DeepSeek-R1,12,0.256220000000,m1,1
DeepSeek-R1,13,0.256220000000,m1,0
DeepSeek-R1,14,0.256220000000,m1,0
DeepSeek-R1,15,0.256220000000,m1,0
DeepSeek-R1,16,0.256220000000,m1,0
DeepSeek-R1,17,0.256180000000,m2,1
DeepSeek-R1,18,0.255990000000,m1,1
DeepSeek-R1,19,0.255990000000,m1,0
DeepSeek-R1,20,0.255900000000,m1,1
DeepSeek-R1,21,0.255900000000,m1,0
DeepSeek-R1,22,0.255900000000,m1,0
DeepSeek-R1,23,0.255900000000,m1,0
DeepSeek-R1,24,0.255900000000,m1,0
DeepSeek-R1,25,0.255900000000,m1,0
DeepSeek-R1,26,0.255900000000,m1,0
DeepSeek-R1,27,0.254900000000,e1,1
DeepSeek-R1,28,0.254900000000,e1,0
DeepSeek-R1,29,0.254900000000,e1,0
DeepSeek-R1,30,0.254900000000,e1,0
Gemini,1,0.263360000000,e2,1
Gemini,2,0.263360000000,e2,0
Gemini,3,0.263360000000,e2,0
Gemini,4,0.263360000000,e2,0
Gemini,5,0.261960000000,m1,1
Gemini,6,0.261960000000,m1,0
Gemini,7,0.261960000000,m1,0
Gemini,8,0.261960000000,m1,0
Gemini,9,0.261960000000,m1,0
Gemini,10,0.261960000000,m1,0
Gemini,11,0.261960000000,m1,0
Gemini,12,0.261960000000,m1,0
Gemini,13,0.261960000000,m1,0
Gemini,14,0.261960000000,m1,0
Gemini,15,0.261960000000,m1,0
Gemini,16,0.261960000000,m1,0
Gemini,17,0.261960000000,m1,0
Gemini,18,0.261960000000,m1,0
Gemini,19,0.261450000000,t2,1
Gemini,20,0.261450000000,t2,0
Gemini,21,0.261450000000,t2,0
Gemini,22,0.261450000000,t2,0
Gemini,23,0.260240000000,e1,1
Gemini,24,0.260240000000,e1,0
Gemini,25,0.260240000000,e1,0
Gemini,26,0.260240000000,e1,0
Gemini,27,0.260240000000,e1,0
Gemini,28,0.260240000000,e1,0
Gemini,29,0.260240000000,e1,0
Gemini,30,0.260240000000,e1,0
GPT-5.1-Codex,1,0.277890000000,m2,1
GPT-5.1-Codex,2,0.260030000000,m1,1
GPT-5.1-Codex,3,0.260030000000,m1,0
GPT-5.1-Codex,4,0.260030000000,m1,0
GPT-5.1-Codex,5,0.260030000000,m1,0
GPT-5.1-Codex,6,0.260030000000,m1,0
GPT-5.1-Codex,7,0.260030000000,m1,0
GPT-5.1-Codex,8,0.260030000000,m1,0
GPT-5.1-Codex,9,0.258900000000,e1,1
GPT-5.1-Codex,10,0.257620000000,e2,1
GPT-5.1-Codex,11,0.257620000000,e2,0
GPT-5.1-Codex,12,0.257620000000,e2,0
GPT-5.1-Codex,13,0.257620000000,e2,0
GPT-5.1-Codex,14,0.257620000000,e2,0
GPT-5.1-Codex,15,0.257620000000,e2,0
GPT-5.1-Codex,16,0.256450000000,m2,1
GPT-5.1-Codex,17,0.256450000000,m2,0
GPT-5.1-Codex,18,0.256450000000,m2,0
GPT-5.1-Codex,19,0.256450000000,m2,0
GPT-5.1-Codex,20,0.256450000000,m2,0
GPT-5.1-Codex,21,0.256450000000,m2,0
GPT-5.1-Codex,22,0.256450000000,m2,0
GPT-5.1-Codex,23,0.256450000000,m2,0
GPT-5.1-Codex,24,0.256450000000,m2,0
GPT-5.1-Codex,25,0.256450000000,m2,0
GPT-5.1-Codex,26,0.256450000000,m2,0
GPT-5.1-Codex,27,0.256450000000,m2,0
GPT-5.1-Codex,28,0.256450000000,m2,0
Kimi,1,0.258790000000,e2,1
Kimi,2,0.258790000000,e2,0
Kimi,3,0.256850000000,e1,1
Kimi,4,0.256850000000,e1,0
Kimi,5,0.256850000000,e1,0
Kimi,6,0.256850000000,e1,0
Kimi,7,0.256850000000,e1,0
Kimi,8,0.256850000000,e1,0
Kimi,9,0.256850000000,e1,0
Kimi,10,0.256850000000,e1,0
Kimi,11,0.256850000000,e1,0
Kimi,12,0.256850000000,e1,0
Kimi,13,0.256850000000,e1,0
Kimi,14,0.256850000000,e1,0
Kimi,15,0.256850000000,e1,0
Kimi,16,0.256850000000,e1,0
Kimi,17,0.256850000000,e1,0
Kimi,18,0.256850000000,e1,0
Kimi,19,0.256850000000,e1,0
Kimi,20,0.256270000000,m1,1
Kimi,21,0.256270000000,m1,0
Kimi,22,0.256270000000,m1,0
Kimi,23,0.256270000000,m1,0
