dataset,method,fht_50,fht_10,anc_prefix_k
Enron,CI(l=3),161.0,2428.0,0.14696177558519607
Enron,CoreHD,239.0,2527.0,0.15909182214136258
Enron,HDA,191.0,2364.0,0.1383857661776462
Enron,Evolved best,132.0,2515.0,0.13762960396271348
Enron_sample,CI(l=3),724.0,1600.0,0.8388031327538001
Enron_sample,CoreHD,727.0,1622.0,0.8051208241427285
Enron_sample,HDA,727.0,1588.0,0.7988465727788701
Enron_sample,Evolved best,528.0,1499.0,0.7163593081814197
HI-II-14,CI(l=3),105.0,373.0,0.23310014059566042
HI-II-14,CoreHD,122.0,386.0,0.2591685397649786
HI-II-14,HDA,94.0,358.0,0.23011834527648345
HI-II-14,Evolved best,78.0,361.0,0.2208418178473636
HI-II-14_sampled,CI(l=3),138.0,374.0,0.3723683593296531
HI-II-14_sampled,CoreHD,149.0,386.0,0.3953355503686414
HI-II-14_sampled,HDA,133.0,378.0,0.3672585325972855
HI-II-14_sampled,Evolved best,110.0,399.0,0.3456949136131797
Youtube_sampled,CI(l=3),345.0,1173.0,0.5845596577183825
Youtube_sampled,CoreHD,187.0,759.0,0.4786836095791274
Youtube_sampled,HDA,177.0,716.0,0.472288809713976
Youtube_sampled,Evolved best,129.0,665.0,0.42602405519193676
Youtube_sample4000,CI(l=3),600.0,1191.0,0.6691739853488409
Youtube_sample4000,CoreHD,410.0,1119.0,0.5872584360633519
Youtube_sample4000,HDA,373.0,1057.0,0.5736554345854202
Youtube_sample4000,Evolved best,319.0,1101.0,0.533457421426666
Youtube_sample8000,CI(l=3),1032.0,2487.0,0.7591121436278214
Youtube_sample8000,CoreHD,1070.0,2537.0,0.6572973608076006
Youtube_sample8000,HDA,1007.0,2427.0,0.6474838113850664
Youtube_sample8000,Evolved best,802.0,2408.0,0.5849275982605375
Crime,CI(l=3),84.0,165.0,0.6292317056642178
Crime,CoreHD,100.0,110.0,0.6406774789447436
Crime,HDA,78.0,118.0,0.576948848363994
Crime,Evolved best,76.0,113.0,0.5635295824401897
