dataset,generation,best_anc
Crime,1,0.09651
Crime,2,0.09132
Crime,3,0.09083
Crime,4,0.09083
Crime,5,0.09083
Crime,6,0.09083
Crime,7,0.09083
Crime,8,0.08771
Crime,9,0.08771
Crime,10,0.08771
Crime,11,0.08771
Crime,12,0.08771
Crime,13,0.08587
Crime,14,0.08587
Crime,15,0.08544
Crime,16,0.08505
Crime,17,0.08505
Crime,18,0.08505
Crime,19,0.08505
Crime,20,0.08505
Crime,21,0.08477
Crime,22,0.08477
Crime,23,0.08477
Crime,24,0.08477
Crime,25,0.08477
Crime,26,0.08477
Crime,27,0.08477
Crime,28,0.08477
Crime,29,0.08477
Crime,30,0.08477
Enron sampled,1,0.23783
Enron sampled,2,0.23766
Enron sampled,3,0.23766
Enron sampled,4,0.23766
Enron sampled,5,0.23766
Enron sampled,6,0.23766
Enron sampled,7,0.23766
Enron sampled,8,0.23766
Enron sampled,9,0.23766
Enron sampled,10,0.23766
Enron sampled,11,0.23766
Enron sampled,12,0.23766
Enron sampled,13,0.23766
Enron sampled,14,0.23662
Enron sampled,15,0.23662
Enron sampled,16,0.23251
Enron sampled,17,0.22934
Enron sampled,18,0.22934
Enron sampled,19,0.22934
Enron sampled,20,0.22934
Enron sampled,21,0.22934
Enron sampled,22,0.22934
Enron sampled,23,0.22934
Enron sampled,24,0.22934
Enron sampled,25,0.22934
Enron sampled,26,0.22307
Enron sampled,27,0.22307
Enron sampled,28,0.22307
Enron sampled,29,0.22307
Enron sampled,30,0.22307
Enron sampled,31,0.21987
Enron sampled,32,0.21987
Enron sampled,33,0.21987
Enron sampled,34,0.21987
Enron sampled,35,0.21987
Enron sampled,36,0.21987
Enron sampled,37,0.21987
Enron sampled,38,0.21987
Enron sampled,39,0.21781
Enron sampled,40,0.21781
Enron sampled,41,0.21781
Enron sampled,42,0.21507
Enron sampled,43,0.21507
Enron sampled,44,0.21507
Enron sampled,45,0.21507
Enron sampled,46,0.21507
Enron sampled,47,0.21507
Enron sampled,48,0.21507
Enron sampled,49,0.21507
Enron sampled,50,0.21507
HI-II-14 sampled,1,0.06364
HI-II-14 sampled,2,0.06364
HI-II-14 sampled,3,0.06364
HI-II-14 sampled,4,0.06364
HI-II-14 sampled,5,0.06299
HI-II-14 sampled,6,0.0595
HI-II-14 sampled,7,0.0595
HI-II-14 sampled,8,0.0595
HI-II-14 sampled,9,0.0595
HI-II-14 sampled,10,0.0595
HI-II-14 sampled,11,0.0595
HI-II-14 sampled,12,0.0595
HI-II-14 sampled,13,0.0595
HI-II-14 sampled,14,0.0595
HI-II-14 sampled,15,0.0595
HI-II-14 sampled,16,0.0595
HI-II-14 sampled,17,0.0595
HI-II-14 sampled,18,0.0595
HI-II-14 sampled,19,0.0595
HI-II-14 sampled,20,0.0595
Youtube sampled,1,0.09237
Youtube sampled,2,0.09237
Youtube sampled,3,0.09193
Youtube sampled,4,0.09132
Youtube sampled,5,0.09132
Youtube sampled,6,0.09132
Youtube sampled,7,0.09132
Youtube sampled,8,0.09132
Youtube sampled,9,0.09132
Youtube sampled,10,0.09132
Youtube sampled,11,0.09132
Youtube sampled,12,0.09132
Youtube sampled,13,0.09132
Youtube sampled,14,0.09132
Youtube sampled,15,0.09132
Youtube sampled,16,0.09132
Youtube sampled,17,0.09132
Youtube sampled,18,0.09132
