topology,generation,best_anc
ER,1,0.28976
ER,2,0.28976
ER,3,0.28887
ER,4,0.28887
ER,5,0.28887
ER,6,0.28571
ER,7,0.28571
ER,8,0.28449
ER,9,0.28449
ER,10,0.28449
ER,11,0.28449
ER,12,0.28449
ER,13,0.28449
ER,14,0.28449
ER,15,0.28449
ER,16,0.28449
ER,17,0.28442
ER,18,0.28442
ER,19,0.28243
ER,20,0.28243
ER,21,0.28243
ER,22,0.28243
ER,23,0.27586
ER,24,0.26837
ER,25,0.26793
ER,26,0.26793
ER,27,0.26785
ER,28,0.26785
ER,29,0.26758
ER,30,0.26758
SBM,1,0.32236
SBM,2,0.32236
SBM,3,0.32236
SBM,4,0.32236
SBM,5,0.32236
SBM,6,0.32236
SBM,7,0.32199
SBM,8,0.32199
SBM,9,0.32199
SBM,10,0.32161
SBM,11,0.32161
SBM,12,0.32161
SBM,13,0.32161
SBM,14,0.32161
SBM,15,0.32161
SBM,16,0.32161
SBM,17,0.32161
SBM,18,0.31998
SBM,19,0.31998
SBM,20,0.31998
SBM,21,0.31998
SBM,22,0.31998
SBM,23,0.31998
SBM,24,0.31998
SBM,25,0.31998
SBM,26,0.31998
SBM,27,0.31998
SBM,28,0.31998
SBM,29,0.31998
SBM,30,0.31998
Uniform-cost,1,0.19641
Uniform-cost,2,0.19011
Uniform-cost,3,0.19011
Uniform-cost,4,0.18568
Uniform-cost,5,0.18568
Uniform-cost,6,0.18568
Uniform-cost,7,0.18568
Uniform-cost,8,0.18568
Uniform-cost,9,0.18568
Uniform-cost,10,0.18568
Uniform-cost,11,0.18568
Uniform-cost,12,0.18568
Uniform-cost,13,0.18568
Uniform-cost,14,0.18568
Uniform-cost,15,0.18555
Uniform-cost,16,0.18555
Uniform-cost,17,0.18555
Uniform-cost,18,0.18555
Uniform-cost,19,0.18555
Uniform-cost,20,0.18551
Uniform-cost,21,0.18551
Uniform-cost,22,0.18551
Uniform-cost,23,0.18551
Uniform-cost,24,0.18551
Uniform-cost,25,0.18551
Uniform-cost,26,0.18551
Uniform-cost,27,0.18551
Uniform-cost,28,0.18551
Uniform-cost,29,0.18551
Uniform-cost,30,0.18551
WS,1,0.2489
WS,2,0.2489
WS,3,0.2489
WS,4,0.2489
WS,5,0.2489
WS,6,0.2489
WS,7,0.2489
WS,8,0.2489
WS,9,0.2489
WS,10,0.2489
WS,11,0.24723
WS,12,0.24723
WS,13,0.24723
WS,14,0.24723
WS,15,0.24723
WS,16,0.24296
WS,17,0.24296
WS,18,0.24296
WS,19,0.24296
WS,20,0.24296
WS,21,0.24296
WS,22,0.21262
WS,23,0.21262
WS,24,0.2121
WS,25,0.2121
WS,26,0.2121
WS,27,0.2121
WS,28,0.20305
WS,29,0.20305
WS,30,0.20305
