scale_index,scale,method,anc,n_est,n_instances
0,30-50,EoH-Best-from-1000,0.239721335809,37.333333,5
0,30-50,HDA,0.282742692700,37.333333,5
0,30-50,CoreHD,0.282861892509,37.333333,5
0,30-50,CI(l=3),0.287140578107,37.333333,5
1,50-100,EoH-Best-from-1000,0.234787994486,74.666667,5
1,50-100,HDA,0.281766891351,74.666667,5
1,50-100,CoreHD,0.283403795210,74.666667,5
1,50-100,CI(l=3),0.271788938360,74.666667,5
2,100-200,EoH-Best-from-1000,0.216995046671,129.333333,5
2,100-200,HDA,0.287213266659,129.333333,5
2,100-200,CoreHD,0.287617994480,129.333333,5
2,100-200,CI(l=3),0.265707606949,129.333333,5
3,200-300,EoH-Best-from-1000,0.207856857800,260.000000,5
3,200-300,HDA,0.280824015823,260.000000,5
3,200-300,CoreHD,0.281517090330,260.000000,5
3,200-300,CI(l=3),0.256598727447,260.000000,5
4,300-400,EoH-Best-from-1000,0.205245214568,338.666667,5
4,300-400,HDA,0.282778893559,338.666667,5
4,300-400,CoreHD,0.282627354445,338.666667,5
4,300-400,CI(l=3),0.263704608304,338.666667,5
5,400-500,EoH-Best-from-1000,0.201877101651,448.000000,5
5,400-500,HDA,0.281077215159,448.000000,5
5,400-500,CoreHD,0.281178556074,448.000000,5
5,400-500,CI(l=3),0.255171097290,448.000000,5
6,2000,EoH-Best-from-1000,0.200575135468,2000.000000,5
6,2000,HDA,0.282696229815,2000.000000,5
6,2000,CoreHD,0.282399477239,2000.000000,5
6,2000,CI(l=3),0.257709901601,2000.000000,5
7,3000,EoH-Best-from-1000,0.201694179734,3000.000000,5
7,3000,HDA,0.281312008507,3000.000000,5
7,3000,CoreHD,0.281161447490,3000.000000,5
7,3000,CI(l=3),0.257079000067,3000.000000,5
8,4000,EoH-Best-from-1000,0.202215903576,4000.000000,5
8,4000,HDA,0.282168301013,4000.000000,5
8,4000,CoreHD,0.281799867686,4000.000000,5
8,4000,CI(l=3),0.257962401988,4000.000000,5
9,5000,EoH-Best-from-1000,0.201452073938,5000.000000,5
9,5000,HDA,0.282582888731,5000.000000,5
9,5000,CoreHD,0.282297488787,5000.000000,5
9,5000,CI(l=3),0.257145502838,5000.000000,5
