dataset,condition,generation,objective,best_so_far,is_improvement
Crime,reflection_on,1,0.09082,0.09082,True
Crime,reflection_on,2,0.09082,0.09082,False
Crime,reflection_on,3,0.09082,0.09082,False
Crime,reflection_on,4,0.09082,0.09082,False
Crime,reflection_on,5,0.09082,0.09082,False
Crime,reflection_on,6,0.09082,0.09082,False
Crime,reflection_on,7,0.09082,0.09082,False
Crime,reflection_on,8,0.08569,0.08569,True
Crime,reflection_on,9,0.08537,0.08537,True
Crime,reflection_on,10,0.08537,0.08537,False
Crime,reflection_on,11,0.08537,0.08537,False
Crime,reflection_on,12,0.08532,0.08532,True
Crime,reflection_on,13,0.08532,0.08532,False
Crime,reflection_on,14,0.08532,0.08532,False
Crime,reflection_on,15,0.08532,0.08532,False
Crime,reflection_on,16,0.08532,0.08532,False
Crime,reflection_on,17,0.08532,0.08532,False
Crime,reflection_on,18,0.08532,0.08532,False
Crime,reflection_on,19,0.08532,0.08532,False
Crime,reflection_on,20,0.08532,0.08532,False
Crime,reflection_on,21,0.08532,0.08532,False
Crime,reflection_on,22,0.08532,0.08532,False
Crime,reflection_on,23,0.08532,0.08532,False
Crime,reflection_on,24,0.08527,0.08527,True
Crime,reflection_on,25,0.08517,0.08517,True
Crime,reflection_on,26,0.08517,0.08517,False
Crime,reflection_on,27,0.08512,0.08512,True
Crime,reflection_on,28,0.08512,0.08512,False
Crime,reflection_on,29,0.08512,0.08512,False
Crime,reflection_on,30,0.08499,0.08499,True
Crime,reflection_on,31,0.08497,0.08497,True
Crime,reflection_on,32,0.08497,0.08497,False
Crime,reflection_on,33,0.08497,0.08497,False
Crime,reflection_on,34,0.08497,0.08497,False
Crime,reflection_on,35,0.08497,0.08497,False
Crime,reflection_on,36,0.08497,0.08497,False
Crime,reflection_on,37,0.08497,0.08497,False
Crime,reflection_on,38,0.08497,0.08497,False
Crime,reflection_on,39,0.08497,0.08497,False
Crime,reflection_on,40,0.08497,0.08497,False
Crime,reflection_on,41,0.08497,0.08497,False
Crime,reflection_on,42,0.08497,0.08497,False
Crime,reflection_on,43,0.08497,0.08497,False
Crime,reflection_on,44,0.08497,0.08497,False
Crime,reflection_off,1,0.09651,0.09651,True
Crime,reflection_off,2,0.09132,0.09132,True
Crime,reflection_off,3,0.09083,0.09083,True
Crime,reflection_off,4,0.09083,0.09083,False
Crime,reflection_off,5,0.09083,0.09083,False
Crime,reflection_off,6,0.09083,0.09083,False
Crime,reflection_off,7,0.09083,0.09083,False
Crime,reflection_off,8,0.08771,0.08771,True
Crime,reflection_off,9,0.08771,0.08771,False
Crime,reflection_off,10,0.08771,0.08771,False
Crime,reflection_off,11,0.08771,0.08771,False
Crime,reflection_off,12,0.08771,0.08771,False
Crime,reflection_off,13,0.08587,0.08587,True
Crime,reflection_off,14,0.08587,0.08587,False
Crime,reflection_off,15,0.08544,0.08544,True
Crime,reflection_off,16,0.08505,0.08505,True
Crime,reflection_off,17,0.08505,0.08505,False
Crime,reflection_off,18,0.08505,0.08505,False
Crime,reflection_off,19,0.08505,0.08505,False
Crime,reflection_off,20,0.08505,0.08505,False
Crime,reflection_off,21,0.08477,0.08477,True
Crime,reflection_off,22,0.08477,0.08477,False
Crime,reflection_off,23,0.08477,0.08477,False
Crime,reflection_off,24,0.08477,0.08477,False
Crime,reflection_off,25,0.08477,0.08477,False
Crime,reflection_off,26,0.08477,0.08477,False
Crime,reflection_off,27,0.08477,0.08477,False
Crime,reflection_off,28,0.08477,0.08477,False
Crime,reflection_off,29,0.08477,0.08477,False
Crime,reflection_off,30,0.08477,0.08477,False
