dataset,condition,generation,objective,best_so_far,is_improvement
HI-II-14 sampled,reflection_on,1,0.06364,0.06364,True
HI-II-14 sampled,reflection_on,2,0.06234,0.06234,True
HI-II-14 sampled,reflection_on,3,0.06234,0.06234,False
HI-II-14 sampled,reflection_on,4,0.05744,0.05744,True
HI-II-14 sampled,reflection_on,5,0.05744,0.05744,False
HI-II-14 sampled,reflection_on,6,0.05744,0.05744,False
HI-II-14 sampled,reflection_on,7,0.05744,0.05744,False
HI-II-14 sampled,reflection_on,8,0.05744,0.05744,False
HI-II-14 sampled,reflection_on,9,0.05744,0.05744,False
HI-II-14 sampled,reflection_on,10,0.05744,0.05744,False
HI-II-14 sampled,reflection_on,11,0.05744,0.05744,False
HI-II-14 sampled,reflection_on,12,0.05744,0.05744,False
HI-II-14 sampled,reflection_on,13,0.05744,0.05744,False
HI-II-14 sampled,reflection_on,14,0.05744,0.05744,False
HI-II-14 sampled,reflection_on,15,0.05579,0.05579,True
HI-II-14 sampled,reflection_on,16,0.05579,0.05579,False
HI-II-14 sampled,reflection_on,17,0.05579,0.05579,False
HI-II-14 sampled,reflection_on,18,0.05579,0.05579,False
HI-II-14 sampled,reflection_on,19,0.05579,0.05579,False
HI-II-14 sampled,reflection_on,20,0.05579,0.05579,False
HI-II-14 sampled,reflection_on,21,0.05494,0.05494,True
HI-II-14 sampled,reflection_on,22,0.05494,0.05494,False
HI-II-14 sampled,reflection_on,23,0.05494,0.05494,False
HI-II-14 sampled,reflection_on,24,0.05492,0.05492,True
HI-II-14 sampled,reflection_on,25,0.05492,0.05492,False
HI-II-14 sampled,reflection_on,26,0.05492,0.05492,False
HI-II-14 sampled,reflection_on,27,0.05492,0.05492,False
HI-II-14 sampled,reflection_on,28,0.05367,0.05367,True
HI-II-14 sampled,reflection_on,29,0.05367,0.05367,False
HI-II-14 sampled,reflection_on,30,0.05367,0.05367,False
HI-II-14 sampled,reflection_on,31,0.05367,0.05367,False
HI-II-14 sampled,reflection_on,32,0.05367,0.05367,False
HI-II-14 sampled,reflection_on,33,0.05367,0.05367,False
HI-II-14 sampled,reflection_on,34,0.05367,0.05367,False
HI-II-14 sampled,reflection_on,35,0.05367,0.05367,False
HI-II-14 sampled,reflection_on,36,0.0533,0.0533,True
HI-II-14 sampled,reflection_on,37,0.0533,0.0533,False
HI-II-14 sampled,reflection_on,38,0.0533,0.0533,False
HI-II-14 sampled,reflection_on,39,0.0533,0.0533,False
HI-II-14 sampled,reflection_on,40,0.0533,0.0533,False
HI-II-14 sampled,reflection_on,41,0.0533,0.0533,False
HI-II-14 sampled,reflection_on,42,0.0533,0.0533,False
HI-II-14 sampled,reflection_on,43,0.0533,0.0533,False
HI-II-14 sampled,reflection_on,44,0.0533,0.0533,False
HI-II-14 sampled,reflection_on,45,0.0533,0.0533,False
HI-II-14 sampled,reflection_on,46,0.05312,0.05312,True
HI-II-14 sampled,reflection_on,47,0.05312,0.05312,False
HI-II-14 sampled,reflection_on,48,0.05312,0.05312,False
HI-II-14 sampled,reflection_on,49,0.05312,0.05312,False
HI-II-14 sampled,reflection_on,50,0.05312,0.05312,False
HI-II-14 sampled,reflection_on,51,0.05293,0.05293,True
HI-II-14 sampled,reflection_off,1,0.06364,0.06364,True
HI-II-14 sampled,reflection_off,2,0.06364,0.06364,False
HI-II-14 sampled,reflection_off,3,0.06364,0.06364,False
HI-II-14 sampled,reflection_off,4,0.06364,0.06364,False
HI-II-14 sampled,reflection_off,5,0.06299,0.06299,True
HI-II-14 sampled,reflection_off,6,0.0595,0.0595,True
HI-II-14 sampled,reflection_off,7,0.0595,0.0595,False
HI-II-14 sampled,reflection_off,8,0.0595,0.0595,False
HI-II-14 sampled,reflection_off,9,0.0595,0.0595,False
HI-II-14 sampled,reflection_off,10,0.0595,0.0595,False
HI-II-14 sampled,reflection_off,11,0.0595,0.0595,False
HI-II-14 sampled,reflection_off,12,0.0595,0.0595,False
HI-II-14 sampled,reflection_off,13,0.0595,0.0595,False
HI-II-14 sampled,reflection_off,14,0.0595,0.0595,False
HI-II-14 sampled,reflection_off,15,0.0595,0.0595,False
HI-II-14 sampled,reflection_off,16,0.0595,0.0595,False
HI-II-14 sampled,reflection_off,17,0.0595,0.0595,False
HI-II-14 sampled,reflection_off,18,0.0595,0.0595,False
HI-II-14 sampled,reflection_off,19,0.0595,0.0595,False
HI-II-14 sampled,reflection_off,20,0.0595,0.0595,False
