dataset,condition,generation,objective,best_so_far,is_improvement
Youtube sampled,reflection_on,1,0.09189,0.09189,True
Youtube sampled,reflection_on,2,0.09189,0.09189,False
Youtube sampled,reflection_on,3,0.09189,0.09189,False
Youtube sampled,reflection_on,4,0.09082,0.09082,True
Youtube sampled,reflection_on,5,0.09082,0.09082,False
Youtube sampled,reflection_on,6,0.09082,0.09082,False
Youtube sampled,reflection_on,7,0.09082,0.09082,False
Youtube sampled,reflection_on,8,0.09082,0.09082,False
Youtube sampled,reflection_on,9,0.09082,0.09082,False
Youtube sampled,reflection_on,10,0.09082,0.09082,False
Youtube sampled,reflection_on,11,0.09082,0.09082,False
Youtube sampled,reflection_on,12,0.08986,0.08986,True
Youtube sampled,reflection_on,13,0.0857,0.0857,True
Youtube sampled,reflection_on,14,0.0857,0.0857,False
Youtube sampled,reflection_on,15,0.0857,0.0857,False
Youtube sampled,reflection_on,16,0.0857,0.0857,False
Youtube sampled,reflection_on,17,0.0857,0.0857,False
Youtube sampled,reflection_on,18,0.0857,0.0857,False
Youtube sampled,reflection_on,19,0.0857,0.0857,False
Youtube sampled,reflection_on,20,0.0857,0.0857,False
Youtube sampled,reflection_on,21,0.0857,0.0857,False
Youtube sampled,reflection_on,22,0.0857,0.0857,False
Youtube sampled,reflection_on,23,0.0857,0.0857,False
Youtube sampled,reflection_on,24,0.0857,0.0857,False
Youtube sampled,reflection_on,25,0.0857,0.0857,False
Youtube sampled,reflection_on,26,0.0857,0.0857,False
Youtube sampled,reflection_on,27,0.08519,0.08519,True
Youtube sampled,reflection_on,28,0.08519,0.08519,False
Youtube sampled,reflection_on,29,0.08519,0.08519,False
Youtube sampled,reflection_on,30,0.08519,0.08519,False
Youtube sampled,reflection_on,31,0.08519,0.08519,False
Youtube sampled,reflection_on,32,0.08483,0.08483,True
Youtube sampled,reflection_on,33,0.08483,0.08483,False
Youtube sampled,reflection_on,34,0.08483,0.08483,False
Youtube sampled,reflection_on,35,0.08483,0.08483,False
Youtube sampled,reflection_on,36,0.08483,0.08483,False
Youtube sampled,reflection_on,37,0.08483,0.08483,False
Youtube sampled,reflection_on,38,0.08468,0.08468,True
Youtube sampled,reflection_on,39,0.08271,0.08271,True
Youtube sampled,reflection_on,40,0.08271,0.08271,False
Youtube sampled,reflection_on,41,0.08271,0.08271,False
Youtube sampled,reflection_off,1,0.09237,0.09237,True
Youtube sampled,reflection_off,2,0.09237,0.09237,False
Youtube sampled,reflection_off,3,0.09193,0.09193,True
Youtube sampled,reflection_off,4,0.09132,0.09132,True
Youtube sampled,reflection_off,5,0.09132,0.09132,False
Youtube sampled,reflection_off,6,0.09132,0.09132,False
Youtube sampled,reflection_off,7,0.09132,0.09132,False
Youtube sampled,reflection_off,8,0.09132,0.09132,False
Youtube sampled,reflection_off,9,0.09132,0.09132,False
Youtube sampled,reflection_off,10,0.09132,0.09132,False
Youtube sampled,reflection_off,11,0.09132,0.09132,False
Youtube sampled,reflection_off,12,0.09132,0.09132,False
Youtube sampled,reflection_off,13,0.09132,0.09132,False
Youtube sampled,reflection_off,14,0.09132,0.09132,False
Youtube sampled,reflection_off,15,0.09132,0.09132,False
Youtube sampled,reflection_off,16,0.09132,0.09132,False
Youtube sampled,reflection_off,17,0.09132,0.09132,False
Youtube sampled,reflection_off,18,0.09132,0.09132,False
