dataset,perturbation,perturbation_label,level,level_percent,replicate,anc,delta_anc,delta_anc_percent,anc_prefix_k,fht_50,fht_10,lcc_at_k_frac,time_select,time_anc,k,n_nodes,n_edges
Enron_sampled,clean,Clean,0.0,0,0,0.21507,0.0,0.0,0.7163593081814197,528.0,1499.0,0.7413101604278075,128.99511122703552,7.33845591545105,448,2992,72180
Enron_sampled,node_delete,Random node deletion,0.01,1,1,0.2153158570704374,0.00024585707043739413,0.11431490697791144,0.7170558903466513,521.0,1482.0,0.7437542201215395,216.42014694213867,9.748107433319092,444,2962,70772
Enron_sampled,node_delete,Random node deletion,0.03,3,1,0.21275213694456088,-0.002317863055439129,-1.0777249525452777,0.7129144901052634,497.0,1444.0,0.735354927636113,206.69437217712402,11.026968240737915,435,2902,68428
Enron_sampled,node_delete,Random node deletion,0.05,5,1,0.2130382369368674,-0.0020317630631326022,-0.9446984996199387,0.7108159674049497,494.0,1415.0,0.7364532019704434,194.38387632369995,11.177163124084473,426,2842,64614
Enron_sampled,node_delete,Random node deletion,0.1,10,1,0.2185194000320018,0.0034494000320017815,1.6038499242115503,0.7285857046215201,485.0,1352.0,0.7311548458967694,170.21774077415466,9.752160549163818,403,2693,58616
Enron_sampled,node_delete,Random node deletion,0.15,15,1,0.2151510860195133,8.108601951328787e-05,0.03770215256116049,0.7275057432673686,451.0,1254.0,0.7235548564687377,145.5714054107666,7.046066522598267,381,2543,52548
Enron_sampled,node_delete,Random node deletion,0.2,20,1,0.2186109107029664,0.0035409107029663878,1.6463991737417527,0.730435421565208,434.0,1199.0,0.7268170426065163,127.2125244140625,8.012264251708984,359,2394,47072
Enron_sampled,edge_delete,Random edge deletion,0.01,1,1,0.21491583754655064,-0.00015416245344937463,-0.07168012900421938,0.7171511046660162,531.0,1487.0,0.7443181818181818,219.16429448127747,11.372929334640503,448,2992,71458
Enron_sampled,edge_delete,Random edge deletion,0.03,3,1,0.21344139248689523,-0.001628607513104785,-0.7572453215719464,0.7156396494903994,514.0,1493.0,0.7359625668449198,220.5308976173401,10.942755937576294,448,2992,70015
Enron_sampled,edge_delete,Random edge deletion,0.05,5,1,0.21420514680294397,-0.0008648531970560369,-0.4021263760896624,0.7165575047725513,522.0,1494.0,0.7386363636363636,218.52904891967773,9.718354940414429,448,2992,68571
Enron_sampled,edge_delete,Random edge deletion,0.1,10,1,0.21225973992568012,-0.0028102600743198924,-1.3066722808015494,0.7154820915746227,524.0,1464.0,0.7436497326203209,209.65012955665588,13.204967975616455,448,2992,64962
Enron_sampled,edge_delete,Random edge deletion,0.15,15,1,0.20847801066422145,-0.006591989335778564,-3.065043630342941,0.7050152046574615,504.0,1465.0,0.7256016042780749,198.2636992931366,12.669776201248169,448,2992,61353
Enron_sampled,edge_delete,Random edge deletion,0.2,20,1,0.2100686789018129,-0.0050013210981871,-2.325438740032129,0.7134472020765806,510.0,1456.0,0.7309491978609626,202.99658870697021,10.884869813919067,448,2992,57744
Enron_sampled,edge_add,Random noise-edge addition,0.01,1,1,0.23724099429581222,0.022170994295812207,10.308734038132798,0.7750135532807999,632.0,1528.0,0.785427807486631,264.0772342681885,14.432560443878174,448,2992,72902
Enron_sampled,edge_add,Random noise-edge addition,0.03,3,1,0.2634134102617412,0.04834341026174119,22.477988683564043,0.8174161018156009,703.0,1633.0,0.8121657754010695,283.1513137817383,13.913932085037231,448,2992,74345
Enron_sampled,edge_add,Random noise-edge addition,0.05,5,1,0.2757796156253561,0.06070961562535607,28.22784006386575,0.8376384998953762,750.0,1664.0,0.8258689839572193,301.38352274894714,11.774931192398071,448,2992,75789
Enron_sampled,edge_add,Random noise-edge addition,0.1,10,1,0.298772717531927,0.08370271753192701,38.91882528103734,0.8540278937980544,829.0,1764.0,0.8445855614973262,316.0728178024292,9.73806357383728,448,2992,79398
Enron_sampled,edge_add,Random noise-edge addition,0.15,15,1,0.31016459114658934,0.09509459114658933,44.2156466018456,0.8573332020986566,859.0,1820.0,0.8499331550802139,326.6147811412811,7.930264711380005,448,2992,83007
Enron_sampled,edge_add,Random noise-edge addition,0.2,20,1,0.31676371174228835,0.10169371174228833,47.284006017709736,0.8574089022861812,869.0,1875.0,0.8502673796791443,343.25733280181885,8.210516214370728,448,2992,86616
