dataset,instance,perturbation,evaluation_mode,level_percent,replicate,anc,delta_anc_percent,anc_prefix_k,fht_50,fht_10,lcc_at_k_frac,time_select,time_anc,k
synthetic_sbm_1000,g_0,clean,unweighted_original,0,0,0.32348105905905905,0.0,0.8565071738405071,293.0,657.0,0.85,0.5529813766479492,0.47490358352661133,150
synthetic_sbm_1000,g_0,node_delete,unweighted_original,1,1,0.3235255435543452,0.013751808348703048,0.8569517214613271,290.0,650.0,0.8505050505050505,0.5261285305023193,0.4542515277862549,148
synthetic_sbm_1000,g_0,node_delete,unweighted_original,3,1,0.322806021637277,-0.208679118259842,0.8569404104560978,284.0,632.0,0.8505154639175257,0.5728156566619873,0.5936527252197266,145
synthetic_sbm_1000,g_0,node_delete,unweighted_original,5,1,0.3230661603262218,-0.12826059554896002,0.856928622927181,279.0,615.0,0.8505263157894737,0.621645450592041,0.5211639404296875,142
synthetic_sbm_1000,g_0,node_delete,unweighted_original,10,1,0.3212340817643747,-0.6946240689394222,0.8563968195113912,264.0,581.0,0.85,0.5499663352966309,0.4772303104400635,135
synthetic_sbm_1000,g_0,node_delete,unweighted_original,15,1,0.31744716723521665,-1.8652998853762155,0.8568613593847433,247.0,543.0,0.8505882352941176,0.49420690536499023,0.4057958126068115,127
synthetic_sbm_1000,g_0,node_delete,unweighted_original,20,1,0.31770753676470587,-1.7848100012863788,0.8562588652482269,235.0,502.0,0.85,0.443986177444458,0.36126255989074707,120
synthetic_sbm_1000,g_0,edge_delete,unweighted_original,1,1,0.3240278458458458,0.16903208749756796,0.8565071738405071,293.0,657.0,0.85,0.6751952171325684,0.5579783916473389,150
synthetic_sbm_1000,g_0,edge_delete,unweighted_original,3,1,0.3219046006006006,-0.4873418131633547,0.8565071738405071,293.0,648.0,0.85,0.6929943561553955,0.5723180770874023,150
synthetic_sbm_1000,g_0,edge_delete,unweighted_original,5,1,0.32236340740740743,-0.3455076024861058,0.8565071738405071,292.0,649.0,0.85,0.6710546016693115,0.5728468894958496,150
synthetic_sbm_1000,g_0,edge_delete,unweighted_original,10,1,0.32168123523523523,-0.5563923368679279,0.8565071738405071,293.0,656.0,0.85,0.6785149574279785,0.5858645439147949,150
synthetic_sbm_1000,g_0,edge_delete,unweighted_original,15,1,0.31996644244244243,-1.0864984264735393,0.8565071738405071,293.0,642.0,0.85,0.6457865238189697,0.5757710933685303,150
synthetic_sbm_1000,g_0,edge_delete,unweighted_original,20,1,0.31478844044044046,-2.687211005152405,0.855995969302636,292.0,627.0,0.849,0.6396069526672363,0.48918938636779785,150
synthetic_sbm_1000,g_0,edge_add,unweighted_original,1,1,0.3235999059059059,0.03673997086338768,0.8565071738405071,293.0,660.0,0.85,0.5596623420715332,0.48645758628845215,150
synthetic_sbm_1000,g_0,edge_add,unweighted_original,3,1,0.3250109009009009,0.4729308869866602,0.8565071738405071,293.0,659.0,0.85,0.5695734024047852,0.49929118156433105,150
synthetic_sbm_1000,g_0,edge_add,unweighted_original,5,1,0.32481087287287286,0.4110948003206019,0.8565071738405071,293.0,659.0,0.85,0.5454845428466797,0.5053176879882812,150
synthetic_sbm_1000,g_0,edge_add,unweighted_original,10,1,0.32571923123123125,0.6919020788056629,0.8565071738405071,293.0,658.0,0.85,0.5568640232086182,0.5215163230895996,150
synthetic_sbm_1000,g_0,edge_add,unweighted_original,15,1,0.32585293093093093,0.7332336176872839,0.8565071738405071,292.0,664.0,0.85,0.5544924736022949,0.5359420776367188,150
synthetic_sbm_1000,g_0,edge_add,unweighted_original,20,1,0.32662366766766765,0.9714969456789253,0.8565071738405071,293.0,666.0,0.85,0.5362672805786133,0.5110735893249512,150
synthetic_sbm_1000,g_1,clean,unweighted_original,0,0,0.32340876076076075,0.0,0.8565071738405071,293.0,650.0,0.85,0.521355152130127,0.4853959083557129,150
synthetic_sbm_1000,g_1,node_delete,unweighted_original,1,1,0.3227849224852626,-0.19289467422920162,0.8569517214613271,290.0,641.0,0.8505050505050505,0.5364527702331543,0.4786801338195801,148
synthetic_sbm_1000,g_1,node_delete,unweighted_original,3,1,0.32244773437284924,-0.29715533544943895,0.8569404104560978,284.0,631.0,0.8505154639175257,0.5129101276397705,0.4538991451263428,145
synthetic_sbm_1000,g_1,node_delete,unweighted_original,5,1,0.32227454121410787,-0.3507077371635928,0.856928622927181,279.0,619.0,0.8505263157894737,0.509141206741333,0.43318986892700195,142
synthetic_sbm_1000,g_1,node_delete,unweighted_original,10,1,0.3220921215616803,-0.4071130281020437,0.8563968195113912,264.0,589.0,0.85,0.4407820701599121,0.3974778652191162,135
synthetic_sbm_1000,g_1,node_delete,unweighted_original,15,1,0.317089591255334,-1.9539265079158843,0.8568613593847433,248.0,538.0,0.8505882352941176,0.4094228744506836,0.35347485542297363,127
synthetic_sbm_1000,g_1,node_delete,unweighted_original,20,1,0.3164218593554443,-2.1603933637669592,0.8562588652482269,233.0,498.0,0.85,0.32844972610473633,0.3020341396331787,120
synthetic_sbm_1000,g_1,edge_delete,unweighted_original,1,1,0.32327495695695696,-0.04137296821800371,0.8565071738405071,293.0,652.0,0.85,0.561368465423584,0.5261073112487793,150
synthetic_sbm_1000,g_1,edge_delete,unweighted_original,3,1,0.3230194334334334,-0.12038243070827905,0.8565071738405071,293.0,653.0,0.85,0.6983840465545654,0.5713045597076416,150
synthetic_sbm_1000,g_1,edge_delete,unweighted_original,5,1,0.32204418218218217,-0.42193618236211483,0.8565071738405071,292.0,651.0,0.85,0.6634125709533691,0.5626983642578125,150
synthetic_sbm_1000,g_1,edge_delete,unweighted_original,10,1,0.31997609809809807,-1.0614006418960198,0.8565071738405071,293.0,637.0,0.85,0.6865010261535645,0.5610005855560303,150
synthetic_sbm_1000,g_1,edge_delete,unweighted_original,15,1,0.3202594034034034,-0.9738008797130401,0.8565071738405071,293.0,639.0,0.85,0.6743621826171875,0.5652353763580322,150
