method,stage,start_step,end_step,n_nodes,feature,mean,std
Evolved best,Stage 1,1,299,299,degree_pct,0.9208735459444106,0.12425002484399555
Evolved best,Stage 1,1,299,299,core_pct,0.8810360848431582,0.1527091378815608
Evolved best,Stage 1,1,299,299,betweenness_pct,0.9498383668284678,0.02941363741089457
Evolved best,Stage 1,1,299,299,clustering_pct,0.12670285102800036,0.10942700325663049
Evolved best,Stage 1,1,299,299,eigenvector_pct,0.8898926433704681,0.15870463842433566
Evolved best,Stage 1,1,299,299,unvisited_neighbor_ratio,0.7859169584637891,0.12606660619460572
Evolved best,Stage 2,300,598,299,degree_pct,0.8005672536002656,0.16420840160657643
Evolved best,Stage 2,300,598,299,core_pct,0.7819075956967894,0.19309083179463163
Evolved best,Stage 2,300,598,299,betweenness_pct,0.8502408004392218,0.030025442880592213
Evolved best,Stage 2,300,598,299,clustering_pct,0.25705936091440434,0.14081537864203228
Evolved best,Stage 2,300,598,299,eigenvector_pct,0.7520968703211082,0.21074834840033987
Evolved best,Stage 2,300,598,299,unvisited_neighbor_ratio,0.5523137026205076,0.10800545514621643
Evolved best,Stage 3,599,1196,598,degree_pct,0.6554689151065237,0.16689513154197777
Evolved best,Stage 3,599,1196,598,core_pct,0.6520061857814246,0.1888770608010727
Evolved best,Stage 3,599,1196,598,betweenness_pct,0.6998520645548686,0.058968306503828595
Evolved best,Stage 3,599,1196,598,clustering_pct,0.37877763725960495,0.15779584637767974
Evolved best,Stage 3,599,1196,598,eigenvector_pct,0.6325677142911454,0.19643353543168887
Evolved best,Stage 3,599,1196,598,unvisited_neighbor_ratio,0.35799149052292006,0.11338879237276338
Evolved best,Stage 4,1197,1795,599,degree_pct,0.4946988991459632,0.15965862029491773
Evolved best,Stage 4,1197,1795,599,core_pct,0.5071391135007693,0.18276781577193177
Evolved best,Stage 4,1197,1795,599,betweenness_pct,0.49964361643639876,0.06059039742253086
Evolved best,Stage 4,1197,1795,599,clustering_pct,0.5250171772970553,0.17279479336084666
Evolved best,Stage 4,1197,1795,599,eigenvector_pct,0.5034223427098212,0.19147914182754944
Evolved best,Stage 4,1197,1795,599,unvisited_neighbor_ratio,0.1899092227403687,0.11271628793112218
Evolved best,Stage 5,1796,2992,1197,degree_pct,0.24477372524144417,0.16458497109380602
Evolved best,Stage 5,1796,2992,1197,core_pct,0.25489040220075426,0.17518746503200652
Evolved best,Stage 5,1796,2992,1197,betweenness_pct,0.2004830978594374,0.11592903851679504
Evolved best,Stage 5,1796,2992,1197,clustering_pct,0.7019722492456484,0.27396610813642186
Evolved best,Stage 5,1796,2992,1197,eigenvector_pct,0.2716956215346122,0.19664969674234567
Evolved best,Stage 5,1796,2992,1197,unvisited_neighbor_ratio,0.0708794142431559,0.11050527275949104
HDA,Stage 1,1,299,299,degree_pct,0.9471843624519042,0.03365608333225029
HDA,Stage 1,1,299,299,core_pct,0.9049942469549114,0.08282379511339735
HDA,Stage 1,1,299,299,betweenness_pct,0.9375059403405313,0.045373205430408056
HDA,Stage 1,1,299,299,clustering_pct,0.12489363296131427,0.07907350888258775
HDA,Stage 1,1,299,299,eigenvector_pct,0.9049567878663863,0.11734622063062067
HDA,Stage 1,1,299,299,unvisited_neighbor_ratio,0.7984724499258812,0.11690460812327638
HDA,Stage 2,300,598,299,degree_pct,0.8373347467150616,0.05179289860831634
HDA,Stage 2,300,598,299,core_pct,0.8085192030942325,0.11375594764870695
HDA,Stage 2,300,598,299,betweenness_pct,0.8081144213018095,0.08884655012297216
HDA,Stage 2,300,598,299,clustering_pct,0.2779637686750329,0.14385936172030986
HDA,Stage 2,300,598,299,eigenvector_pct,0.7535840520446513,0.1797396195917335
HDA,Stage 2,300,598,299,unvisited_neighbor_ratio,0.5616870906554728,0.10303205601763475
HDA,Stage 3,599,1196,598,degree_pct,0.6589819626102388,0.13381598870760772
HDA,Stage 3,599,1196,598,core_pct,0.6492302995944355,0.17769570036078627
HDA,Stage 3,599,1196,598,betweenness_pct,0.6438568772091078,0.1559013465940547
HDA,Stage 3,599,1196,598,clustering_pct,0.42370002985545263,0.18337838949685537
HDA,Stage 3,599,1196,598,eigenvector_pct,0.6091227976012765,0.21691394230667407
HDA,Stage 3,599,1196,598,unvisited_neighbor_ratio,0.3669168342763707,0.11416711761930078
HDA,Stage 4,1197,1795,599,degree_pct,0.43652158478775216,0.16560805639143927
HDA,Stage 4,1197,1795,599,core_pct,0.44633929612990336,0.19481060294826186
HDA,Stage 4,1197,1795,599,betweenness_pct,0.4574798407465022,0.18281093243657334
HDA,Stage 4,1197,1795,599,clustering_pct,0.5747512431562913,0.20942648036165812
HDA,Stage 4,1197,1795,599,eigenvector_pct,0.447120995708327,0.21485077910816297
HDA,Stage 4,1197,1795,599,unvisited_neighbor_ratio,0.22052486738287416,0.1288337072269961
HDA,Stage 5,1796,2992,1197,degree_pct,0.2563752242525404,0.17999318426285554
HDA,Stage 5,1796,2992,1197,core_pct,0.27407061060653415,0.20015866275303074
HDA,Stage 5,1796,2992,1197,betweenness_pct,0.26316012923202914,0.19517062760513088
HDA,Stage 5,1796,2992,1197,clustering_pct,0.6498722008408963,0.29542168240778466
HDA,Stage 5,1796,2992,1197,eigenvector_pct,0.30744810315100135,0.22106876938328593
HDA,Stage 5,1796,2992,1197,unvisited_neighbor_ratio,0.04343537756514347,0.09906906578537343
CoreHD,Stage 1,1,299,299,degree_pct,0.9471362806367821,0.03374026079127515
CoreHD,Stage 1,1,299,299,core_pct,0.9047051969733055,0.08312330606484404
CoreHD,Stage 1,1,299,299,betweenness_pct,0.9373415676237185,0.045527170975877454
CoreHD,Stage 1,1,299,299,clustering_pct,0.12546726019753798,0.07935697875106
CoreHD,Stage 1,1,299,299,eigenvector_pct,0.90467724242963,0.1175740336521249
CoreHD,Stage 1,1,299,299,unvisited_neighbor_ratio,0.7986223955776273,0.11672399277757395
