unique_id,generation,candidate_index,evaluation_step,objective,operator,basin_id,description,reflection,source_path
bdde7ea8910fc72aee9dd0c5a308e227,1,1,1,0.09082,e1,9,n: max_depth+1 for n in unvisited_nodes,,evolve_experiment\evolution\real\Crime_sampled_post_with_precompute\results\pops\Crime_sampled\population_generation_1.json
b2df1c914fb0c43bf6fb7f8126560d73,1,2,2,0.0913,m2,24,"Select the next node by scoring candidates using a weighted sum of degree, core number, and inverse clustering coefficient (to prioritize hub-like and bridge nodes), penalizing similarity to previously removed nodes via cosine similarity of attributes, balancing disruption focus between hubs and connectors.",,evolve_experiment\evolution\real\Crime_sampled_post_with_precompute\results\pops\Crime_sampled\population_generation_1.json
5c848ccc94247a78745373ef41460802,1,3,3,0.09234,e1,15,"Select the next node by first clustering unvisited nodes into two groups based on median eigenvector centrality, then prioritize nodes that maximize a harmonic mean of normalized betweenness and inverse clustering within the lower eigenvector group to balance targeting hidden bridges early, switching to degree-core product maximization in the higher eigenvector group to ensure long-term fragmentation.",,evolve_experiment\evolution\real\Crime_sampled_post_with_precompute\results\pops\Crime_sampled\population_generation_1.json
b0097c6b8751fb2255f5919ef177dcda,1,4,4,0.09651,i1,22,"Select the next node by scoring unvisited nodes with a combined metric that normalizes and weights degree, betweenness, and eigenvector centrality inversely, prioritizing nodes that balance immediate network disruption and long-term fragmentation.",,evolve_experiment\evolution\real\Crime_sampled_post_with_precompute\results\pops\Crime_sampled\population_generation_1.json
a2065c1e1163e0a3fbfc414112500c77,1,5,5,0.09652,e1,21,"Select the next node by iteratively choosing the node that minimally overlaps in topological features with previously removed nodes, measured via cosine similarity of normalized attribute vectors, thus diversifying disruption impact while balancing centrality and bridging roles.",,evolve_experiment\evolution\real\Crime_sampled_post_with_precompute\results\pops\Crime_sampled\population_generation_1.json
dbf6560d211b1ef3168bef0a3910a136,1,6,6,0.09664,m1,32,"Select the next node by dynamically weighting normalized node features based on the global network state, emphasizing nodes with extreme feature values relative to network-wide statistics to balance immediate disruption and long-term fragmentation.",,evolve_experiment\evolution\real\Crime_sampled_post_with_precompute\results\pops\Crime_sampled\population_generation_1.json
9e099042a5080e733319a770ec27fac1,1,7,7,0.09771,i1,20,"Select the next node by scoring unvisited nodes with a weighted combination of normalized degree, betweenness, inverse clustering, and core number to balance immediate disruption and long-term fragmentation.",,evolve_experiment\evolution\real\Crime_sampled_post_with_precompute\results\pops\Crime_sampled\population_generation_1.json
b08b3d48f8ed6ac767cf074df8e40f1b,1,8,8,0.0986,m1,23,,,evolve_experiment\evolution\real\Crime_sampled_post_with_precompute\results\pops\Crime_sampled\population_generation_1.json
d4e085cb29e57f18d85fe27a5ddaa6b6,1,9,9,0.09907,i1,29,"Select the next node by scoring unvisited nodes based on a composite metric combining normalized betweenness, inverse clustering, core number, and degree to balance early network disruption and sustained fragmentation.",,evolve_experiment\evolution\real\Crime_sampled_post_with_precompute\results\pops\Crime_sampled\population_generation_1.json
ed4940361d78db6e4190a4bb9f75409b,1,10,10,0.09933,i1,35,,,evolve_experiment\evolution\real\Crime_sampled_post_with_precompute\results\pops\Crime_sampled\population_generation_1.json
