generation,population_size,generation_best_objective,best_so_far_objective,div_pair,novel_basins,generation_basin_count,cumulative_unique_basins
1,10,0.09082,0.09082,0.8475846457192816,10,10,10
2,10,0.09082,0.09082,0.8765307794470293,4,10,14
3,10,0.09082,0.09082,0.8774092147606288,4,10,18
4,10,0.09082,0.09082,0.8859778381640296,3,10,21
5,10,0.09082,0.09082,0.878368696617997,1,10,22
6,10,0.09082,0.09082,0.8607231416570754,2,10,24
7,10,0.09082,0.09082,0.8767997225564752,1,10,25
8,10,0.08569,0.08569,0.8838895270634755,1,9,26
9,10,0.08537,0.08537,0.8222418321639159,1,7,27
10,10,0.08537,0.08537,0.8216114021616224,2,7,29
11,10,0.08537,0.08537,0.8224992134881062,2,7,31
12,10,0.08532,0.08532,0.8247010949066358,0,7,31
13,10,0.08532,0.08532,0.8247010949066358,0,7,31
14,10,0.08532,0.08532,0.7755780760011829,0,6,31
15,10,0.08532,0.08532,0.7080105722701173,0,5,31
16,10,0.08532,0.08532,0.6771396664351711,1,5,32
17,10,0.08532,0.08532,0.645797037001653,0,4,32
18,10,0.08532,0.08532,0.5788203695799052,1,3,33
19,10,0.08532,0.08532,0.6307008053914713,1,4,34
20,10,0.08532,0.08532,0.696111835238656,1,5,35
21,10,0.08532,0.08532,0.6461648999531481,1,5,36
22,10,0.08532,0.08532,0.6449133294099552,0,5,36
23,10,0.08532,0.08532,0.6790928508819066,1,6,37
24,10,0.08527,0.08527,0.5206934628135527,1,4,38
25,10,0.08517,0.08517,0.3923522028862493,0,2,38
26,10,0.08517,0.08517,0.3923522028862493,0,2,38
27,10,0.08512,0.08512,0.3839488914745651,0,2,38
28,10,0.08512,0.08512,0.3839488914745651,0,2,38
29,10,0.08512,0.08512,0.3836880284634263,0,2,38
30,10,0.08499,0.08499,0.3767008549935979,0,1,38
31,10,0.08497,0.08497,0.3775644664078975,0,1,38
32,10,0.08497,0.08497,0.38599960513766324,0,1,38
33,10,0.08497,0.08497,0.38599960513766324,0,1,38
34,10,0.08497,0.08497,0.38599960513766324,0,1,38
35,10,0.08497,0.08497,0.39584366532557874,0,1,38
36,10,0.08497,0.08497,0.39584366532557874,0,1,38
37,10,0.08497,0.08497,0.3857316200958917,0,1,38
38,10,0.08497,0.08497,0.38651687919278965,0,1,38
39,10,0.08497,0.08497,0.37424652343195586,0,1,38
40,10,0.08497,0.08497,0.37424652343195586,0,1,38
41,10,0.08497,0.08497,0.37424652343195586,0,1,38
42,10,0.08497,0.08497,0.37424652343195586,0,1,38
43,10,0.08497,0.08497,0.37424652343195586,0,1,38
44,10,0.08497,0.08497,0.37424652343195586,0,1,38
