evaluation_step,generation,candidate_index,unique_id,objective,best_so_far,operator,basin_id,cumulative_unique_basins,effective_basins
1,1,1,bdde7ea8910fc72aee9dd0c5a308e227,0.09082,0.09082,e1,9,1,1.0
2,1,2,b2df1c914fb0c43bf6fb7f8126560d73,0.0913,0.09082,m2,24,2,2.0
3,1,3,5c848ccc94247a78745373ef41460802,0.09234,0.09082,e1,15,3,2.9999999999999996
4,1,4,b0097c6b8751fb2255f5919ef177dcda,0.09651,0.09082,i1,22,4,4.0
5,1,5,a2065c1e1163e0a3fbfc414112500c77,0.09652,0.09082,e1,21,5,5.000000000000001
6,1,6,dbf6560d211b1ef3168bef0a3910a136,0.09664,0.09082,m1,32,6,5.999999999999998
7,1,7,9e099042a5080e733319a770ec27fac1,0.09771,0.09082,i1,20,7,6.999999999999998
8,1,8,b08b3d48f8ed6ac767cf074df8e40f1b,0.0986,0.09082,m1,23,8,7.999999999999998
9,1,9,d4e085cb29e57f18d85fe27a5ddaa6b6,0.09907,0.09082,i1,29,9,9.000000000000002
10,1,10,ed4940361d78db6e4190a4bb9f75409b,0.09933,0.09082,i1,35,10,9.999999999999998
11,2,1,bdde7ea8910fc72aee9dd0c5a308e227,0.09082,0.09082,e1,9,10,9.697503804956236
12,2,2,b2df1c914fb0c43bf6fb7f8126560d73,0.0913,0.09082,m2,24,10,9.524406311809203
13,2,3,5c848ccc94247a78745373ef41460802,0.09234,0.09082,e1,15,10,9.440748564743117
14,2,4,5e6d427477e135fd9d6aa0b00a323705,0.09279,0.09082,m2,16,11,10.401960023958639
15,2,5,c004cce8216e29d2bebae0a66589bfb3,0.09405,0.09082,t2,25,12,11.367874248827984
16,2,6,7afb8d77d16c8e8090c94f08714212f6,0.09415,0.09082,m1,18,13,12.337686603263528
17,2,7,caf74451b37f419e6124c0d175013ca0,0.09644,0.09082,m1,28,14,13.31076574998824
18,2,8,b0097c6b8751fb2255f5919ef177dcda,0.09651,0.09082,i1,22,14,13.227610430480388
19,2,9,a2065c1e1163e0a3fbfc414112500c77,0.09652,0.09082,e1,21,14,13.192185854839234
20,2,10,dbf6560d211b1ef3168bef0a3910a136,0.09664,0.09082,m1,32,14,13.19507910772894
21,3,1,bdde7ea8910fc72aee9dd0c5a308e227,0.09082,0.09082,e1,9,14,12.903618024706635
22,3,2,b2df1c914fb0c43bf6fb7f8126560d73,0.0913,0.09082,m2,24,14,12.671652346035083
23,3,3,8f8be28d422cf4adeaf12a580b5bb478,0.09132,0.09082,e2,19,15,13.569234137542384
24,3,4,5c848ccc94247a78745373ef41460802,0.09234,0.09082,e1,15,15,13.366979200537537
25,3,5,5e6d427477e135fd9d6aa0b00a323705,0.09279,0.09082,m2,16,15,13.48486982421653
26,3,6,ee7ac5c999cf417ee13c62c51988756e,0.09294,0.09082,m2,36,16,14.361221365488234
27,3,7,150bc01b0e04415e284e492e34c89c6a,0.09296,0.09082,m2,6,17,15.245064744940176
28,3,8,c004cce8216e29d2bebae0a66589bfb3,0.09405,0.09082,t2,25,17,15.356311577176339
29,3,9,2db55a7d668bb882945d804cfb2160b6,0.09407,0.09082,m1,8,18,16.237622390948115
30,3,10,7afb8d77d16c8e8090c94f08714212f6,0.09415,0.09082,m1,18,18,16.35207536354026
31,4,1,bdde7ea8910fc72aee9dd0c5a308e227,0.09082,0.09082,e1,9,18,16.025173644130856
32,4,2,e2d3eb685947dcff3d066c005835b947,0.09108,0.09082,e1,34,19,16.886746961590926
33,4,3,b2df1c914fb0c43bf6fb7f8126560d73,0.0913,0.09082,m2,24,19,16.58516857358275
34,4,4,8f8be28d422cf4adeaf12a580b5bb478,0.09132,0.09082,e2,19,19,16.740378792112395
35,4,5,5c848ccc94247a78745373ef41460802,0.09234,0.09082,e1,15,19,16.49056279485791
36,4,6,1971b649c75d17273a066a633f80c87f,0.09237,0.09082,m2,7,20,17.320029064094616
37,4,7,5e6d427477e135fd9d6aa0b00a323705,0.09279,0.09082,m2,16,20,17.24337079047206
38,4,8,ee7ac5c999cf417ee13c62c51988756e,0.09294,0.09082,m2,36,20,17.421523596076277
39,4,9,150bc01b0e04415e284e492e34c89c6a,0.09296,0.09082,m2,6,20,17.60411749655187
40,4,10,562d773c3d5262aef666b6dbbc56917d,0.09318,0.09082,m1,14,21,18.41814558758492
41,5,1,bdde7ea8910fc72aee9dd0c5a308e227,0.09082,0.09082,e1,9,21,18.100145268375503
42,5,2,e2d3eb685947dcff3d066c005835b947,0.09108,0.09082,e1,34,21,18.29226722074903
43,5,3,b2df1c914fb0c43bf6fb7f8126560d73,0.0913,0.09082,m2,24,21,18.0140608519698
44,5,4,8f8be28d422cf4adeaf12a580b5bb478,0.09132,0.09082,e2,19,21,18.002618926714707
45,5,5,5c848ccc94247a78745373ef41460802,0.09234,0.09082,e1,15,21,17.76533730366486
46,5,6,1971b649c75d17273a066a633f80c87f,0.09237,0.09082,m2,7,21,17.980645428660534
47,5,7,465225d460d66923518c6f23a4890b14,0.09251,0.09082,e1,10,22,18.74239751836573
48,5,8,5e6d427477e135fd9d6aa0b00a323705,0.09279,0.09082,m2,16,22,18.61808969676677
49,5,9,ee7ac5c999cf417ee13c62c51988756e,0.09294,0.09082,m2,36,22,18.63628728250153
50,5,10,150bc01b0e04415e284e492e34c89c6a,0.09296,0.09082,m2,6,22,18.661389566249355
51,6,1,bdde7ea8910fc72aee9dd0c5a308e227,0.09082,0.09082,e1,9,22,18.404163511946724
52,6,2,e2d3eb685947dcff3d066c005835b947,0.09108,0.09082,e1,34,22,18.446487413967702
53,6,3,b2df1c914fb0c43bf6fb7f8126560d73,0.0913,0.09082,m2,24,22,18.219079701153024
54,6,4,9bc34faae6f3a5044675f6cd2f9dc06c,0.09132,0.09082,t1,2,23,18.933559919412538
55,6,5,e1d91346cefc3d45f6a5b8291e60b4f6,0.09223,0.09082,m1,33,24,19.655173029659647
56,6,6,5c848ccc94247a78745373ef41460802,0.09234,0.09082,e1,15,24,19.423030879905625
57,6,7,1971b649c75d17273a066a633f80c87f,0.09237,0.09082,m2,7,24,19.477021920945717
58,6,8,465225d460d66923518c6f23a4890b14,0.09251,0.09082,e1,10,24,19.71223659911894
59,6,9,5e6d427477e135fd9d6aa0b00a323705,0.09279,0.09082,m2,16,24,19.574322323467523
60,6,10,ee7ac5c999cf417ee13c62c51988756e,0.09294,0.09082,m2,36,24,19.529485051635913
61,7,1,bdde7ea8910fc72aee9dd0c5a308e227,0.09082,0.09082,e1,9,24,19.293967178533638
62,7,2,e2d3eb685947dcff3d066c005835b947,0.09108,0.09082,e1,34,24,19.265946911060503
63,7,3,b2df1c914fb0c43bf6fb7f8126560d73,0.0913,0.09082,m2,24,24,19.05488112806257
64,7,4,9bc34faae6f3a5044675f6cd2f9dc06c,0.09132,0.09082,t1,2,24,19.299812042316702
65,7,5,4bd0e8a602a3d821c4e6700cd818aafb,0.0916,0.09082,m1,11,25,19.966231703600354
66,7,6,e1d91346cefc3d45f6a5b8291e60b4f6,0.09223,0.09082,m1,33,25,20.21024100877201
67,7,7,5c848ccc94247a78745373ef41460802,0.09234,0.09082,e1,15,25,20.00621592180588
68,7,8,1971b649c75d17273a066a633f80c87f,0.09237,0.09082,m2,7,25,19.996431407693066
69,7,9,465225d460d66923518c6f23a4890b14,0.09251,0.09082,e1,10,25,20.089887125536
70,7,10,5e6d427477e135fd9d6aa0b00a323705,0.09279,0.09082,m2,16,25,19.957654717123294
71,8,1,928be0dd4e39c63ef23137011a106c4f,0.08569,0.08569,m2,2,25,20.05697224224721
72,8,2,bdde7ea8910fc72aee9dd0c5a308e227,0.09082,0.08569,e1,9,25,19.85104624823569
73,8,3,e2d3eb685947dcff3d066c005835b947,0.09108,0.08569,e1,34,25,19.79492003531525
74,8,4,b2df1c914fb0c43bf6fb7f8126560d73,0.0913,0.08569,m2,24,25,19.607941830277863
75,8,5,9bc34faae6f3a5044675f6cd2f9dc06c,0.09132,0.08569,t1,2,25,19.630311912086064
76,8,6,4bd0e8a602a3d821c4e6700cd818aafb,0.0916,0.08569,m1,11,25,19.880044212464554
77,8,7,e1d91346cefc3d45f6a5b8291e60b4f6,0.09223,0.08569,m1,33,25,19.993456750352024
78,8,8,d9565dc84f64b7456cfa51d2f41e4a47,0.09233,0.08569,e1,30,26,20.606275112813314
79,8,9,5c848ccc94247a78745373ef41460802,0.09234,0.08569,e1,15,26,20.430528265942616
80,8,10,1971b649c75d17273a066a633f80c87f,0.09237,0.08569,m2,7,26,20.393966890068754
81,9,1,832c63546bef8c41d67a22dca23184a4,0.08537,0.08537,m2,2,26,20.361513338322027
82,9,2,928be0dd4e39c63ef23137011a106c4f,0.08569,0.08537,m2,2,26,20.283094862668435
83,9,3,c407c6e42093c0553de1adba43e2ef29,0.08575,0.08537,m2,2,26,20.169095572034834
84,9,4,bdde7ea8910fc72aee9dd0c5a308e227,0.09082,0.08537,e1,9,26,19.99724214327778
85,9,5,e2d3eb685947dcff3d066c005835b947,0.09108,0.08537,e1,34,26,19.935647840902323
86,9,6,b2df1c914fb0c43bf6fb7f8126560d73,0.0913,0.08537,m2,24,26,19.777836597573362
87,9,7,9bc34faae6f3a5044675f6cd2f9dc06c,0.09132,0.08537,t1,2,26,19.65577762453741
88,9,8,4bd0e8a602a3d821c4e6700cd818aafb,0.0916,0.08537,m1,11,26,19.786591240337405
89,9,9,0f9d273b945304db7b6d863e3890201f,0.09214,0.08537,t2,4,27,20.349815231101726
90,9,10,e1d91346cefc3d45f6a5b8291e60b4f6,0.09223,0.08537,m1,33,27,20.402299627305556
91,10,1,832c63546bef8c41d67a22dca23184a4,0.08537,0.08537,m2,2,27,20.25713450967613
92,10,2,928be0dd4e39c63ef23137011a106c4f,0.08569,0.08537,m2,2,27,20.09419436275548
93,10,3,c407c6e42093c0553de1adba43e2ef29,0.08575,0.08537,m2,2,27,19.91689386490697
94,10,4,f69cc615b722f1971a0e89b2deec7eb8,0.08715,0.08537,cu,37,28,20.463801552627324
95,10,5,bdde7ea8910fc72aee9dd0c5a308e227,0.09082,0.08537,e1,9,28,20.30910300388325
96,10,6,e2d3eb685947dcff3d066c005835b947,0.09108,0.08537,e1,34,28,20.24093639088875
97,10,7,b2df1c914fb0c43bf6fb7f8126560d73,0.0913,0.08537,m2,24,28,20.097672902827806
98,10,8,9bc34faae6f3a5044675f6cd2f9dc06c,0.09132,0.08537,t1,2,28,19.921510446159054
99,10,9,4bd0e8a602a3d821c4e6700cd818aafb,0.0916,0.08537,m1,11,28,19.99184488183354
100,10,10,05a0802bb5805125b577029c38997e9c,0.0918,0.08537,cu,1,29,20.519439897787077
101,11,1,832c63546bef8c41d67a22dca23184a4,0.08537,0.08537,m2,2,29,20.330020895829797
102,11,2,928be0dd4e39c63ef23137011a106c4f,0.08569,0.08537,m2,2,29,20.132765409474715
103,11,3,c407c6e42093c0553de1adba43e2ef29,0.08575,0.08537,m2,2,29,19.929259816385372
104,11,4,f69cc615b722f1971a0e89b2deec7eb8,0.08715,0.08537,cu,37,29,20.172389351180723
105,11,5,bdde7ea8910fc72aee9dd0c5a308e227,0.09082,0.08537,e1,9,29,20.037184475502787
106,11,6,e2d3eb685947dcff3d066c005835b947,0.09108,0.08537,e1,34,29,19.970559593370318
107,11,7,da93855f3957fcf2617078e25845fdb2,0.09118,0.08537,t1,31,30,20.475902798148002
108,11,8,07c4711e8906f38a198a9a29ccee31f6,0.09119,0.08537,cu,3,31,20.986136249349247
109,11,9,b2df1c914fb0c43bf6fb7f8126560d73,0.0913,0.08537,m2,24,31,20.850242864434858
110,11,10,9bc34faae6f3a5044675f6cd2f9dc06c,0.09132,0.08537,t1,2,31,20.6461368219466
111,12,1,4641a0ebd40f1adc21a511932bbfa7c4,0.08532,0.08532,m1,2,31,20.43780905997618
112,12,2,832c63546bef8c41d67a22dca23184a4,0.08537,0.08532,m2,2,31,20.226243505351707
113,12,3,928be0dd4e39c63ef23137011a106c4f,0.08569,0.08532,m2,2,31,20.01229047477346
114,12,4,c407c6e42093c0553de1adba43e2ef29,0.08575,0.08532,m2,2,31,19.796686487436165
115,12,5,f69cc615b722f1971a0e89b2deec7eb8,0.08715,0.08532,cu,37,31,19.94277405853255
116,12,6,bdde7ea8910fc72aee9dd0c5a308e227,0.09082,0.08532,e1,9,31,19.82524768059125
117,12,7,e2d3eb685947dcff3d066c005835b947,0.09108,0.08532,e1,34,31,19.762895236266683
118,12,8,da93855f3957fcf2617078e25845fdb2,0.09118,0.08532,t1,31,31,19.998145554976237
119,12,9,07c4711e8906f38a198a9a29ccee31f6,0.09119,0.08532,cu,3,31,20.233612939591733
120,12,10,b2df1c914fb0c43bf6fb7f8126560d73,0.0913,0.08532,m2,24,31,20.12161677532533
121,13,1,4641a0ebd40f1adc21a511932bbfa7c4,0.08532,0.08532,m1,2,31,19.918032871502525
122,13,2,832c63546bef8c41d67a22dca23184a4,0.08537,0.08532,m2,2,31,19.713432888197147
123,13,3,928be0dd4e39c63ef23137011a106c4f,0.08569,0.08532,m2,2,31,19.50829792939406
124,13,4,c407c6e42093c0553de1adba43e2ef29,0.08575,0.08532,m2,2,31,19.303049405312063
125,13,5,f69cc615b722f1971a0e89b2deec7eb8,0.08715,0.08532,cu,37,31,19.398207766469273
126,13,6,bdde7ea8910fc72aee9dd0c5a308e227,0.09082,0.08532,e1,9,31,19.297118083009973
127,13,7,e2d3eb685947dcff3d066c005835b947,0.09108,0.08532,e1,34,31,19.240897259016943
128,13,8,da93855f3957fcf2617078e25845fdb2,0.09118,0.08532,t1,31,31,19.389007998854275
129,13,9,07c4711e8906f38a198a9a29ccee31f6,0.09119,0.08532,cu,3,31,19.537119322935123
130,13,10,b2df1c914fb0c43bf6fb7f8126560d73,0.0913,0.08532,m2,24,31,19.44205535153709
131,14,1,4641a0ebd40f1adc21a511932bbfa7c4,0.08532,0.08532,m1,2,31,19.250856116948462
132,14,2,832c63546bef8c41d67a22dca23184a4,0.08537,0.08532,m2,2,31,19.059716178288074
133,14,3,928be0dd4e39c63ef23137011a106c4f,0.08569,0.08532,m2,2,31,18.868922174299975
134,14,4,c407c6e42093c0553de1adba43e2ef29,0.08575,0.08532,m2,2,31,18.67872702434521
135,14,5,f69cc615b722f1971a0e89b2deec7eb8,0.08715,0.08532,cu,37,31,18.744170526105716
136,14,6,e2186e0638d73a87ec01a89c2e4ddac4,0.08854,0.08532,m2,2,31,18.55605744283053
137,14,7,bdde7ea8910fc72aee9dd0c5a308e227,0.09082,0.08532,e1,9,31,18.474032566283967
138,14,8,e2d3eb685947dcff3d066c005835b947,0.09108,0.08532,e1,34,31,18.42807322892015
139,14,9,da93855f3957fcf2617078e25845fdb2,0.09118,0.08532,t1,31,31,18.530127104392648
140,14,10,07c4711e8906f38a198a9a29ccee31f6,0.09119,0.08532,cu,3,31,18.632233616488243
141,15,1,4641a0ebd40f1adc21a511932bbfa7c4,0.08532,0.08532,m1,2,31,18.452854958393484
142,15,2,832c63546bef8c41d67a22dca23184a4,0.08537,0.08532,m2,2,31,18.274315328174616
143,15,3,928be0dd4e39c63ef23137011a106c4f,0.08569,0.08532,m2,2,31,18.0967721469238
144,15,4,c407c6e42093c0553de1adba43e2ef29,0.08575,0.08532,m2,2,31,17.920364471898697
145,15,5,f69cc615b722f1971a0e89b2deec7eb8,0.08715,0.08532,cu,37,31,17.967882030975826
146,15,6,e2186e0638d73a87ec01a89c2e4ddac4,0.08854,0.08532,m2,2,31,17.793982758307294
147,15,7,4c656c7f6614e1d8a6622d174184c157,0.09048,0.08532,m2,2,31,17.621393050901318
148,15,8,bdde7ea8910fc72aee9dd0c5a308e227,0.09082,0.08532,e1,9,31,17.556120083218428
149,15,9,e2d3eb685947dcff3d066c005835b947,0.09108,0.08532,e1,34,31,17.520002125878122
150,15,10,da93855f3957fcf2617078e25845fdb2,0.09118,0.08532,t1,31,31,17.59514130193507
151,16,1,4641a0ebd40f1adc21a511932bbfa7c4,0.08532,0.08532,m1,2,31,17.430087733638228
152,16,2,832c63546bef8c41d67a22dca23184a4,0.08537,0.08532,m2,2,31,17.26632018482404
153,16,3,928be0dd4e39c63ef23137011a106c4f,0.08569,0.08532,m2,2,31,17.103915706235004
154,16,4,c407c6e42093c0553de1adba43e2ef29,0.08575,0.08532,m2,2,31,16.94294173251887
155,16,5,f69cc615b722f1971a0e89b2deec7eb8,0.08715,0.08532,cu,37,31,16.980095847164307
156,16,6,e2186e0638d73a87ec01a89c2e4ddac4,0.08854,0.08532,m2,2,31,16.82174062563445
157,16,7,4c656c7f6614e1d8a6622d174184c157,0.09048,0.08532,m2,2,31,16.66487782577476
158,16,8,bdde7ea8910fc72aee9dd0c5a308e227,0.09082,0.08532,e1,9,31,16.612797659428193
159,16,9,c54b1e2999d010a00640a1af881c75a8,0.09102,0.08532,t1,26,32,16.956456657336087
160,16,10,e2d3eb685947dcff3d066c005835b947,0.09108,0.08532,e1,34,32,16.926378422511313
161,17,1,4641a0ebd40f1adc21a511932bbfa7c4,0.08532,0.08532,m1,2,32,16.771885505762295
162,17,2,832c63546bef8c41d67a22dca23184a4,0.08537,0.08532,m2,2,32,16.6188784030553
163,17,3,928be0dd4e39c63ef23137011a106c4f,0.08569,0.08532,m2,2,32,16.46739287283202
164,17,4,c407c6e42093c0553de1adba43e2ef29,0.08575,0.08532,m2,2,32,16.317459298348922
165,17,5,f69cc615b722f1971a0e89b2deec7eb8,0.08715,0.08532,cu,37,32,16.346808836484193
166,17,6,e2186e0638d73a87ec01a89c2e4ddac4,0.08854,0.08532,m2,2,32,16.19949319962962
167,17,7,4c656c7f6614e1d8a6622d174184c157,0.09048,0.08532,m2,2,32,16.05373478663113
168,17,8,bdde7ea8910fc72aee9dd0c5a308e227,0.09082,0.08532,e1,9,32,16.010012940550208
169,17,9,3e21204167e3c2d3a1baf189749c52bb,0.09083,0.08532,t2,9,32,15.961927854537732
170,17,10,c54b1e2999d010a00640a1af881c75a8,0.09102,0.08532,t1,26,32,16.148577579111357
171,18,1,4641a0ebd40f1adc21a511932bbfa7c4,0.08532,0.08532,m1,2,32,16.007186272995273
172,18,2,832c63546bef8c41d67a22dca23184a4,0.08537,0.08532,m2,2,32,15.86727293594547
173,18,3,928be0dd4e39c63ef23137011a106c4f,0.08569,0.08532,m2,2,32,15.728851882669952
174,18,4,c407c6e42093c0553de1adba43e2ef29,0.08575,0.08532,m2,2,32,15.59193434216387
175,18,5,f69cc615b722f1971a0e89b2deec7eb8,0.08715,0.08532,cu,37,32,15.616515963603362
176,18,6,e2186e0638d73a87ec01a89c2e4ddac4,0.08854,0.08532,m2,2,32,15.482028190179165
177,18,7,38eaccb5ce3a57cf85c124a17d90a9c1,0.08872,0.08532,m2,5,33,15.785297577309992
178,18,8,1071c735c705b9ac7370f3e95fb7ddc0,0.08902,0.08532,m2,5,33,15.966673921042785
179,18,9,13c4db1381635c47352d743bfae95495,0.08986,0.08532,m2,5,33,16.101443522263047
180,18,10,7f545aea310c03cbf6f553ed732bd988,0.09008,0.08532,t2,5,33,16.205716710308813
181,19,1,4641a0ebd40f1adc21a511932bbfa7c4,0.08532,0.08532,m1,2,33,16.067492593217878
182,19,2,832c63546bef8c41d67a22dca23184a4,0.08537,0.08532,m2,2,33,15.930778977426073
183,19,3,928be0dd4e39c63ef23137011a106c4f,0.08569,0.08532,m2,2,33,15.79557949908073
184,19,4,c407c6e42093c0553de1adba43e2ef29,0.08575,0.08532,m2,2,33,15.661895763094195
185,19,5,fcd16038d46cced4608dd3d4f138754f,0.0865,0.08532,e1,38,34,15.958125460733072
186,19,6,f69cc615b722f1971a0e89b2deec7eb8,0.08715,0.08532,cu,37,34,15.97548771338225
187,19,7,9210e253aeb0d7593a98b70d82ce7014,0.08716,0.08532,m2,5,34,16.057313561364126
188,19,8,e2186e0638d73a87ec01a89c2e4ddac4,0.08854,0.08532,m2,2,34,15.923216044818933
189,19,9,38eaccb5ce3a57cf85c124a17d90a9c1,0.08872,0.08532,m2,5,34,15.988047436380878
190,19,10,1071c735c705b9ac7370f3e95fb7ddc0,0.08902,0.08532,m2,5,34,16.03876203459774
191,20,1,4641a0ebd40f1adc21a511932bbfa7c4,0.08532,0.08532,m1,2,34,15.906871662838222
192,20,2,832c63546bef8c41d67a22dca23184a4,0.08537,0.08532,m2,2,34,15.776436255525404
193,20,3,6d2622b22390a22ba895b6f7bce9ed54,0.08538,0.08532,m2,2,34,15.647453556621441
194,20,4,928be0dd4e39c63ef23137011a106c4f,0.08569,0.08532,m2,2,34,15.519919964684163
195,20,5,c407c6e42093c0553de1adba43e2ef29,0.08575,0.08532,m2,2,34,15.393830652327976
196,20,6,fcd16038d46cced4608dd3d4f138754f,0.0865,0.08532,e1,38,34,15.564041804168943
197,20,7,f69cc615b722f1971a0e89b2deec7eb8,0.08715,0.08532,cu,37,34,15.578641005922927
198,20,8,9210e253aeb0d7593a98b70d82ce7014,0.08716,0.08532,m2,5,34,15.620056103035948
199,20,9,749a9fc1e0642496a1dee15d5d7e1a6d,0.08787,0.08532,cu,17,35,15.900584960102517
200,20,10,25f06bbffc958fe1cd38ccab1c9ddedc,0.08848,0.08532,t2,5,35,15.931618836484153
201,21,1,4641a0ebd40f1adc21a511932bbfa7c4,0.08532,0.08532,m1,2,35,15.80509514231058
202,21,2,832c63546bef8c41d67a22dca23184a4,0.08537,0.08532,m2,2,35,15.679968113422726
