unique_id,generation,candidate_index,evaluation_step,objective,operator,basin_id,description,reflection,source_path
9c1a6956365d0528f2f9003e4327574d,1,1,1,0.23783,e2,50,,,evolve_experiment\evolution\real\Enron_sampled_post_with_precompute_new\results\pops\Enron_sampled\population_generation_1.json
8376e4a7aaa9e6cfa21d93464b5f52eb,1,2,2,0.23883,e2,43,"Select the next node by computing for each unvisited node a disruption potential score defined as the product of its normalized betweenness centrality and inverse clustering coefficient, further modulated by a sigmoid function of its degree variance influence to emphasize nodes that bridge communities and have influential connectivity in a non-linear way.",,evolve_experiment\evolution\real\Enron_sampled_post_with_precompute_new\results\pops\Enron_sampled\population_generation_1.json
1ce4c2fb965a6d2dc3d76533eb5391e3,1,3,3,0.23911,i1,7,"Select the next node by scoring unvisited nodes with a dynamically weighted combination of degree, betweenness, and core number, where weights adapt based on the current graph's bridge_ratio_high_bc and degree_variance to balance early network disruption and long-term fragmentation.",,evolve_experiment\evolution\real\Enron_sampled_post_with_precompute_new\results\pops\Enron_sampled\population_generation_1.json
e80b4cbe22a8d797f0b1ecdbf06d8dfc,1,4,4,0.23966,e2,81,,,evolve_experiment\evolution\real\Enron_sampled_post_with_precompute_new\results\pops\Enron_sampled\population_generation_1.json
58bdc4cd9f34752b8e437863da35198c,1,5,5,0.2399,cu,30,Select the next node by computing for each unvisited node a disruption index defined as the product of normalized betweenness centrality and a logarithmically transformed inverse clustering coefficient combined additively with the normalized eigenvector centrality raised to a fractional scaling exponent and weighted by a tanh-transformed neighborhood diversity index to emphasize nodes with balanced structural influence and connectivity diversity.,,evolve_experiment\evolution\real\Enron_sampled_post_with_precompute_new\results\pops\Enron_sampled\population_generation_1.json
522bfb4e3086b5feb39d034b8f6c8f03,1,6,6,0.23995,i1,24,"Select the next node by scoring unvisited nodes with a composite metric combining normalized betweenness centrality, inverse clustering coefficient, and scaled core number to balance early network fragmentation and long-term disruption.",,evolve_experiment\evolution\real\Enron_sampled_post_with_precompute_new\results\pops\Enron_sampled\population_generation_1.json
fd3004ca6c2eedfcc94719cae8a0714c,1,7,7,0.23998,i1,86,"'betweenness': 0.5, 'inv_clustering': 0.3, 'core_number': 0.2,",,evolve_experiment\evolution\real\Enron_sampled_post_with_precompute_new\results\pops\Enron_sampled\population_generation_1.json
65cb4033b4cd3a2272435a03228c45bf,1,8,8,0.24046,e2,37,,,evolve_experiment\evolution\real\Enron_sampled_post_with_precompute_new\results\pops\Enron_sampled\population_generation_1.json
147d65ba186a8dad1ee4fe92c9281802,1,9,9,0.24092,i1,4,"Select the next node by scoring unvisited nodes based on a weighted combination of normalized inverse clustering coefficient, normalized betweenness centrality, and core number, prioritizing nodes that bridge communities and are centrally embedded, balancing early disruption and long-term fragmentation.",,evolve_experiment\evolution\real\Enron_sampled_post_with_precompute_new\results\pops\Enron_sampled\population_generation_1.json
bd9ab0b3d7991704b2be4597e792d72c,1,10,10,0.2414,e2,69,"Select the next node by computing a harmonic mean of normalized betweenness, eigenvector centrality, and inverse clustering coefficients to prioritize nodes that are globally influential, well-connected to important nodes, and locally sparse, effectively balancing immediacy and sustained network disruption.",,evolve_experiment\evolution\real\Enron_sampled_post_with_precompute_new\results\pops\Enron_sampled\population_generation_1.json
9399f5bfe21ff32ce9771ad0885bcd8b,2,1,11,0.23766,t2,48,,,evolve_experiment\evolution\real\Enron_sampled_post_with_precompute_new\results\pops\Enron_sampled\population_generation_2.json
9c1a6956365d0528f2f9003e4327574d,2,2,12,0.23783,e2,50,,,evolve_experiment\evolution\real\Enron_sampled_post_with_precompute_new\results\pops\Enron_sampled\population_generation_2.json
8376e4a7aaa9e6cfa21d93464b5f52eb,2,3,13,0.23883,e2,43,"Select the next node by computing for each unvisited node a disruption potential score defined as the product of its normalized betweenness centrality and inverse clustering coefficient, further modulated by a sigmoid function of its degree variance influence to emphasize nodes that bridge communities and have influential connectivity in a non-linear way.",,evolve_experiment\evolution\real\Enron_sampled_post_with_precompute_new\results\pops\Enron_sampled\population_generation_2.json
