generation,population_size,generation_best_objective,best_so_far_objective,div_pair,novel_basins,generation_basin_count,cumulative_unique_basins
1,10,0.23783,0.23783,0.8667292009370796,10,10,10
2,10,0.23766,0.23766,0.8899322220604851,2,10,12
3,10,0.23766,0.23766,0.912107313492782,4,10,16
4,10,0.23766,0.23766,0.8960718482840748,3,10,19
5,10,0.23766,0.23766,0.8875279770063673,2,10,21
6,10,0.23766,0.23766,0.8875279770063673,0,10,21
7,10,0.23766,0.23766,0.8959743853966515,2,10,23
8,10,0.23766,0.23766,0.8959143116007262,2,10,25
9,10,0.23766,0.23766,0.8907782539957672,3,10,28
10,10,0.23766,0.23766,0.8981029780686092,3,10,31
11,10,0.23766,0.23766,0.9089364415174526,1,10,32
12,10,0.23766,0.23766,0.9192626155622563,1,10,33
13,10,0.23766,0.23766,0.9049936898432969,2,10,35
14,10,0.23662,0.23662,0.8843421994742842,3,10,38
15,10,0.23662,0.23662,0.8982242222334158,2,10,40
16,10,0.23251,0.23251,0.9013975450183883,4,10,44
17,10,0.22934,0.22934,0.8999829233303903,1,10,45
18,10,0.22934,0.22934,0.8987734379239299,3,10,48
19,10,0.22934,0.22934,0.893242913760036,1,10,49
20,10,0.22934,0.22934,0.8930921525207661,1,10,50
21,10,0.22934,0.22934,0.8730050094990138,2,10,52
22,10,0.22934,0.22934,0.8730050094990138,0,10,52
23,10,0.22934,0.22934,0.8766447424584616,2,10,54
24,10,0.22934,0.22934,0.8766447424584616,0,10,54
25,10,0.22934,0.22934,0.8683652914934148,1,10,55
26,10,0.22307,0.22307,0.8639365919108417,1,10,56
27,10,0.22307,0.22307,0.8630209702206547,1,10,57
28,10,0.22307,0.22307,0.875147542335072,2,10,59
29,10,0.22307,0.22307,0.8768262783985459,2,10,61
30,10,0.22307,0.22307,0.8768262783985459,0,10,61
31,10,0.21987,0.21987,0.8906796196263762,2,10,63
32,10,0.21987,0.21987,0.8964327114530075,1,10,64
33,10,0.21987,0.21987,0.8934376544447044,1,10,65
34,10,0.21987,0.21987,0.8934376544447044,0,10,65
35,10,0.21987,0.21987,0.9096229135205213,2,10,67
36,10,0.21987,0.21987,0.9096229135205213,0,10,67
37,10,0.21987,0.21987,0.9119888850964157,1,10,68
38,10,0.21987,0.21987,0.889354584220818,3,10,71
39,10,0.21781,0.21781,0.8788602985243911,1,10,72
40,10,0.21781,0.21781,0.8804858723129911,1,10,73
41,10,0.21781,0.21781,0.8712808349426385,2,10,75
42,10,0.21507,0.21507,0.8910176915963941,3,10,78
43,10,0.21507,0.21507,0.8879951704122727,3,10,81
44,10,0.21507,0.21507,0.8879951704122727,0,10,81
45,10,0.21507,0.21507,0.8879951704122727,0,10,81
46,10,0.21507,0.21507,0.8680520326126153,1,10,82
47,10,0.21507,0.21507,0.8621782455695258,1,10,83
48,10,0.21507,0.21507,0.8519914572461963,2,10,85
49,10,0.21507,0.21507,0.8471728244064846,1,10,86
50,10,0.21507,0.21507,0.8383981922176363,1,10,87
