evaluation_step,generation,candidate_index,unique_id,objective,best_so_far,operator,basin_id,cumulative_unique_basins,effective_basins
1,1,1,9c1a6956365d0528f2f9003e4327574d,0.23783,0.23783,e2,50,1,1.0
2,1,2,8376e4a7aaa9e6cfa21d93464b5f52eb,0.23883,0.23783,e2,43,2,2.0
3,1,3,1ce4c2fb965a6d2dc3d76533eb5391e3,0.23911,0.23783,i1,7,3,2.9999999999999996
4,1,4,e80b4cbe22a8d797f0b1ecdbf06d8dfc,0.23966,0.23783,e2,81,4,4.0
5,1,5,58bdc4cd9f34752b8e437863da35198c,0.2399,0.23783,cu,30,5,5.000000000000001
6,1,6,522bfb4e3086b5feb39d034b8f6c8f03,0.23995,0.23783,i1,24,6,5.999999999999998
7,1,7,fd3004ca6c2eedfcc94719cae8a0714c,0.23998,0.23783,i1,86,7,6.999999999999998
8,1,8,65cb4033b4cd3a2272435a03228c45bf,0.24046,0.23783,e2,37,8,7.999999999999998
9,1,9,147d65ba186a8dad1ee4fe92c9281802,0.24092,0.23783,i1,4,9,9.000000000000002
10,1,10,bd9ab0b3d7991704b2be4597e792d72c,0.2414,0.23783,e2,69,10,9.999999999999998
11,2,1,9399f5bfe21ff32ce9771ad0885bcd8b,0.23766,0.23766,t2,48,11,11.000000000000002
12,2,2,9c1a6956365d0528f2f9003e4327574d,0.23783,0.23766,e2,50,11,10.690784617684079
13,2,3,8376e4a7aaa9e6cfa21d93464b5f52eb,0.23883,0.23766,e2,43,11,10.50312993618945
14,2,4,1ce4c2fb965a6d2dc3d76533eb5391e3,0.23911,0.23766,i1,7,11,10.401960023958639
15,2,5,f79753bc8abc0dfcefd32151e57bb1d8,0.23921,0.23766,m2,83,12,11.367874248827984
16,2,6,e80b4cbe22a8d797f0b1ecdbf06d8dfc,0.23966,0.23766,e2,81,12,11.31370849898476
17,2,7,58bdc4cd9f34752b8e437863da35198c,0.2399,0.23766,cu,30,12,11.307652494684037
18,2,8,522bfb4e3086b5feb39d034b8f6c8f03,0.23995,0.23766,i1,24,12,11.339289449053863
19,2,9,fd3004ca6c2eedfcc94719cae8a0714c,0.23998,0.23766,i1,86,12,11.400975835991977
20,2,10,65cb4033b4cd3a2272435a03228c45bf,0.24046,0.23766,e2,37,12,11.486983549970347
21,3,1,9399f5bfe21ff32ce9771ad0885bcd8b,0.23766,0.23766,t2,48,12,11.592939893575023
22,3,2,9c1a6956365d0528f2f9003e4327574d,0.23783,0.23766,e2,50,12,11.440099074980253
23,3,3,7cd16ea05d7e0ee7e32074578452ce9b,0.23872,0.23766,e2,41,13,12.305023798437402
24,3,4,8376e4a7aaa9e6cfa21d93464b5f52eb,0.23883,0.23766,e2,43,13,12.171107469940324
25,3,5,1ce4c2fb965a6d2dc3d76533eb5391e3,0.23911,0.23766,i1,7,13,12.069296570873888
26,3,6,21e9f9fa1a4e484aad9eff6893126862,0.23915,0.23766,m1,8,14,12.908597800645708
27,3,7,e0c311d2192031665286652c5c283e4e,0.2392,0.23766,m1,78,15,13.757269237037447
28,3,8,f79753bc8abc0dfcefd32151e57bb1d8,0.23921,0.23766,m2,83,15,13.9085747912584
29,3,9,88c291613320a6c479b61dedd5e850bc,0.2393,0.23766,e1,45,16,14.757101312647183
30,3,10,e80b4cbe22a8d797f0b1ecdbf06d8dfc,0.23966,0.23766,e2,81,16,14.650780257917605
31,4,1,9399f5bfe21ff32ce9771ad0885bcd8b,0.23766,0.23766,t2,48,16,14.567670855376143
32,4,2,9c1a6956365d0528f2f9003e4327574d,0.23783,0.23766,e2,50,16,14.351593846554982
33,4,3,7cd16ea05d7e0ee7e32074578452ce9b,0.23872,0.23766,e2,41,16,14.540283697422275
34,4,4,8376e4a7aaa9e6cfa21d93464b5f52eb,0.23883,0.23766,e2,43,16,14.363988841241204
35,4,5,1ce4c2fb965a6d2dc3d76533eb5391e3,0.23911,0.23766,i1,7,16,14.211665487730258
36,4,6,21e9f9fa1a4e484aad9eff6893126862,0.23915,0.23766,m1,8,16,14.422096838177726
37,4,7,b29da3c0138c2c5f1839626702c2bbf1,0.23916,0.23766,e2,62,17,15.193742726919838
38,4,8,e0c311d2192031665286652c5c283e4e,0.2392,0.23766,m1,78,17,15.401924211300788
39,4,9,53304422d747dcfbbb8a378da8998ff3,0.23921,0.23766,m2,26,18,16.177545261650202
40,4,10,d34d401bd88163d7b591e444f65d6975,0.23924,0.23766,e2,75,19,16.961404344273685
41,5,1,9399f5bfe21ff32ce9771ad0885bcd8b,0.23766,0.23766,t2,48,19,16.805335403986515
42,5,2,9c1a6956365d0528f2f9003e4327574d,0.23783,0.23766,e2,50,19,16.56773929487136
43,5,3,7cd16ea05d7e0ee7e32074578452ce9b,0.23872,0.23766,e2,41,19,16.580258874413417
44,5,4,8376e4a7aaa9e6cfa21d93464b5f52eb,0.23883,0.23766,e2,43,19,16.37895326528706
45,5,5,bcfccba27da72a8a1edc880cbb968d3f,0.23908,0.23766,m2,68,20,17.12312452697899
46,5,6,1ce4c2fb965a6d2dc3d76533eb5391e3,0.23911,0.23766,i1,7,20,16.928900625414474
47,5,7,21e9f9fa1a4e484aad9eff6893126862,0.23915,0.23766,m1,8,20,16.965271322168675
48,5,8,d3a5d89159986dfe52f84096c56ad8b2,0.23916,0.23766,e2,76,21,17.697980444933034
49,5,9,e0c311d2192031665286652c5c283e4e,0.2392,0.23766,m1,78,21,17.73361197704327
50,5,10,53304422d747dcfbbb8a378da8998ff3,0.23921,0.23766,m2,26,21,17.96213282849022
51,6,1,9399f5bfe21ff32ce9771ad0885bcd8b,0.23766,0.23766,t2,48,21,17.797945812624505
