unique_id,generation,candidate_index,evaluation_step,objective,operator,basin_id,description,reflection,source_path
3e1442c5ec949d3636fc0a9dbf664b00,1,1,1,0.06364,i1,10,"At each step, select the next node by scoring unvisited nodes using a combined metric that ranks nodes higher if they have above-average betweenness centrality weighted with their core number and degree, penalized by clustering coefficient to favor bridging nodes that maintain influence across cores but avoid tightly-knit communities.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_1.json
87b64ed27692b246c32c736775795b94,1,2,2,0.0652,m2,23,,,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_1.json
9e085db9753677f56c5d00fc81e5661c,1,3,3,0.06536,i1,27,,,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_1.json
c238d7805d60cf68a273dd412fe68aed,1,4,4,0.06732,i1,35,"'degree': 0.3, 'betweenness': 0.35, 'core': 0.25, 'inv_clustering': 0.1",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_1.json
5f798b977cde045f6028a44e1d2a1948,1,5,5,0.0675,i1,16,"Select the next node by scoring unvisited nodes via a combined, weighted rank aggregation of normalized degree, betweenness, core number, and inverse clustering coefficient to balance immediate disruption and long-term fragmentation.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_1.json
cb2f7c4ed4b320009570d47c7e8a0f6d,1,6,6,0.06805,i1,36,,,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_1.json
1a946690068f39b6fb10ba91ac0a9b85,1,7,7,0.06834,i1,6,"At each step, select the unvisited node maximizing a combined score balancing high betweenness centrality, moderate clustering coefficient, and core number, weighted adaptively by the global bridge_ratio_high_bc to prioritize nodes bridging communities for fast yet thorough disruption.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_1.json
6236ac47cd40452d60bc606add7b9c79,1,8,8,0.06856,i1,17,"Select the next node by scoring unvisited nodes with a balanced weighted sum of normalized betweenness, inverse clustering, and core number to target nodes that disrupt connectivity early and maintain long-term fragmentation.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_1.json
13e3a890081471e3b1d9a77c8396a190,1,9,9,0.06859,i1,4,"Select the next node by scoring unvisited nodes based on a balanced weighted sum of normalized node betweenness, inverse clustering coefficient, and core number, prioritizing nodes that are both structurally central and bridging, while penalizing nodes in tightly-knit clusters to achieve early and sustainable network fragmentation.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_1.json
b7affb01f7faa3e381ad26828ac306b1,1,10,10,0.06893,i1,32,"Select the next node by scoring unvisited nodes using a dynamic balance between their normalized betweenness and eigenvector centralities weighted inversely by clustering coefficient, favoring nodes that act as critical bridges with broad influence but low local redundancy.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_1.json
f511394536b52f8d7e1515ab6f4f8848,2,1,11,0.06234,m2,40,,,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_2.json
5d391ba90dd5a3d0ce60354355287e79,2,2,12,0.06362,e2,15,"Select next node by ranking unvisited nodes based on a harmonic mean of their normalized betweenness and degree centrality, multiplied by an exponential decay of their clustering coefficient to emphasize high-centrality, low-clustering nodes with balanced influence.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_2.json
3e1442c5ec949d3636fc0a9dbf664b00,2,3,13,0.06364,i1,10,"At each step, select the next node by scoring unvisited nodes using a combined metric that ranks nodes higher if they have above-average betweenness centrality weighted with their core number and degree, penalized by clustering coefficient to favor bridging nodes that maintain influence across cores but avoid tightly-knit communities.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_2.json
87b64ed27692b246c32c736775795b94,2,4,14,0.0652,m2,23,,,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_2.json
9e085db9753677f56c5d00fc81e5661c,2,5,15,0.06536,i1,27,,,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_2.json
3196bc691a14f2a8e29750c4c7cafe6a,2,6,16,0.06599,e1,8,"Select the next node by computing a novelty score that prioritizes nodes whose structural features (degree, betweenness, eigenvector centrality) sharply deviate from the median values of unvisited nodes, combined with their clustering coefficient to favor structurally unique and weakly clustered nodes that maximize disruption potential.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_2.json
c238d7805d60cf68a273dd412fe68aed,2,7,17,0.06732,i1,35,"'degree': 0.3, 'betweenness': 0.35, 'core': 0.25, 'inv_clustering': 0.1",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_2.json
5f798b977cde045f6028a44e1d2a1948,2,8,18,0.0675,i1,16,"Select the next node by scoring unvisited nodes via a combined, weighted rank aggregation of normalized degree, betweenness, core number, and inverse clustering coefficient to balance immediate disruption and long-term fragmentation.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_2.json
54b2d2bbd9f7533b0fc177857a887634,2,9,19,0.06755,m2,14,"The algorithm selects the next node by prioritizing nodes with high eigenvector centrality and degree, while penalizing nodes with very low clustering coefficient, weighted adaptively by the global degree_variance to focus on influential hubs in heterogeneous graphs for balanced fast and deep disruption.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_2.json
23e1acebf7c09f2a3624f5cad2fbf08e,2,10,20,0.06785,e1,7,,,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_2.json
f511394536b52f8d7e1515ab6f4f8848,3,1,21,0.06234,m2,40,,,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_3.json
5d391ba90dd5a3d0ce60354355287e79,3,2,22,0.06362,e2,15,"Select next node by ranking unvisited nodes based on a harmonic mean of their normalized betweenness and degree centrality, multiplied by an exponential decay of their clustering coefficient to emphasize high-centrality, low-clustering nodes with balanced influence.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_3.json
3e1442c5ec949d3636fc0a9dbf664b00,3,3,23,0.06364,i1,10,"At each step, select the next node by scoring unvisited nodes using a combined metric that ranks nodes higher if they have above-average betweenness centrality weighted with their core number and degree, penalized by clustering coefficient to favor bridging nodes that maintain influence across cores but avoid tightly-knit communities.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_3.json
87b64ed27692b246c32c736775795b94,3,4,24,0.0652,m2,23,,,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_3.json
9e085db9753677f56c5d00fc81e5661c,3,5,25,0.06536,i1,27,,,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_3.json
3196bc691a14f2a8e29750c4c7cafe6a,3,6,26,0.06599,e1,8,"Select the next node by computing a novelty score that prioritizes nodes whose structural features (degree, betweenness, eigenvector centrality) sharply deviate from the median values of unvisited nodes, combined with their clustering coefficient to favor structurally unique and weakly clustered nodes that maximize disruption potential.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_3.json
c238d7805d60cf68a273dd412fe68aed,3,7,27,0.06732,i1,35,"'degree': 0.3, 'betweenness': 0.35, 'core': 0.25, 'inv_clustering': 0.1",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_3.json
5f798b977cde045f6028a44e1d2a1948,3,8,28,0.0675,i1,16,"Select the next node by scoring unvisited nodes via a combined, weighted rank aggregation of normalized degree, betweenness, core number, and inverse clustering coefficient to balance immediate disruption and long-term fragmentation.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_3.json
54b2d2bbd9f7533b0fc177857a887634,3,9,29,0.06755,m2,14,"The algorithm selects the next node by prioritizing nodes with high eigenvector centrality and degree, while penalizing nodes with very low clustering coefficient, weighted adaptively by the global degree_variance to focus on influential hubs in heterogeneous graphs for balanced fast and deep disruption.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_3.json
23e1acebf7c09f2a3624f5cad2fbf08e,3,10,30,0.06785,e1,7,,,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_3.json
ae47d13c3bb606577e8770708011d901,4,1,31,0.05744,e1,29,"Select the next node by identifying unvisited nodes whose removal maximizes the decrease in a custom local connectivity score defined as the product of node degree and (1 - clustering), weighted inversely by their core number to prioritize peripheral influential nodes, and break ties by choosing the node with the lowest eigenvector centrality to avoid selecting globally dominant hubs prematurely.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_4.json
f511394536b52f8d7e1515ab6f4f8848,4,2,32,0.06234,m2,40,,,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_4.json
5d391ba90dd5a3d0ce60354355287e79,4,3,33,0.06362,e2,15,"Select next node by ranking unvisited nodes based on a harmonic mean of their normalized betweenness and degree centrality, multiplied by an exponential decay of their clustering coefficient to emphasize high-centrality, low-clustering nodes with balanced influence.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_4.json
3e1442c5ec949d3636fc0a9dbf664b00,4,4,34,0.06364,i1,10,"At each step, select the next node by scoring unvisited nodes using a combined metric that ranks nodes higher if they have above-average betweenness centrality weighted with their core number and degree, penalized by clustering coefficient to favor bridging nodes that maintain influence across cores but avoid tightly-knit communities.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_4.json
87b64ed27692b246c32c736775795b94,4,5,35,0.0652,m2,23,,,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_4.json
9e085db9753677f56c5d00fc81e5661c,4,6,36,0.06536,i1,27,,,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_4.json
3196bc691a14f2a8e29750c4c7cafe6a,4,7,37,0.06599,e1,8,"Select the next node by computing a novelty score that prioritizes nodes whose structural features (degree, betweenness, eigenvector centrality) sharply deviate from the median values of unvisited nodes, combined with their clustering coefficient to favor structurally unique and weakly clustered nodes that maximize disruption potential.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_4.json
aebc4b668bb2dad6ca199a4b846bc950,4,8,38,0.06732,t2,30,,,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_4.json
5f798b977cde045f6028a44e1d2a1948,4,9,39,0.0675,i1,16,"Select the next node by scoring unvisited nodes via a combined, weighted rank aggregation of normalized degree, betweenness, core number, and inverse clustering coefficient to balance immediate disruption and long-term fragmentation.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_4.json
54b2d2bbd9f7533b0fc177857a887634,4,10,40,0.06755,m2,14,"The algorithm selects the next node by prioritizing nodes with high eigenvector centrality and degree, while penalizing nodes with very low clustering coefficient, weighted adaptively by the global degree_variance to focus on influential hubs in heterogeneous graphs for balanced fast and deep disruption.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_4.json
ae47d13c3bb606577e8770708011d901,5,1,41,0.05744,e1,29,"Select the next node by identifying unvisited nodes whose removal maximizes the decrease in a custom local connectivity score defined as the product of node degree and (1 - clustering), weighted inversely by their core number to prioritize peripheral influential nodes, and break ties by choosing the node with the lowest eigenvector centrality to avoid selecting globally dominant hubs prematurely.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_5.json
f511394536b52f8d7e1515ab6f4f8848,5,2,42,0.06234,m2,40,,,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_5.json
5d391ba90dd5a3d0ce60354355287e79,5,3,43,0.06362,e2,15,"Select next node by ranking unvisited nodes based on a harmonic mean of their normalized betweenness and degree centrality, multiplied by an exponential decay of their clustering coefficient to emphasize high-centrality, low-clustering nodes with balanced influence.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_5.json
3e1442c5ec949d3636fc0a9dbf664b00,5,4,44,0.06364,i1,10,"At each step, select the next node by scoring unvisited nodes using a combined metric that ranks nodes higher if they have above-average betweenness centrality weighted with their core number and degree, penalized by clustering coefficient to favor bridging nodes that maintain influence across cores but avoid tightly-knit communities.",,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_5.json
87b64ed27692b246c32c736775795b94,5,5,45,0.0652,m2,23,,,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_5.json
9e085db9753677f56c5d00fc81e5661c,5,6,46,0.06536,i1,27,,,evolve_experiment\evolution\real\HI-II-14_sampled_post_with_precompute\results\pops\HI-II-14_sampled\population_generation_5.json
