generation,population_size,generation_best_objective,best_so_far_objective,div_pair,novel_basins,generation_basin_count,cumulative_unique_basins
1,10,0.06364,0.06364,0.8485431891765081,10,10,10
2,10,0.06234,0.06234,0.8772896622912814,5,10,15
3,10,0.06234,0.06234,0.8772896622912814,0,10,15
4,10,0.05744,0.05744,0.875081078858631,2,10,17
5,10,0.05744,0.05744,0.871222762892624,3,10,20
6,10,0.05744,0.05744,0.871222762892624,0,10,20
7,10,0.05744,0.05744,0.8723450379827292,1,10,21
8,10,0.05744,0.05744,0.8533080213583857,2,10,23
9,10,0.05744,0.05744,0.8533080213583857,0,10,23
10,10,0.05744,0.05744,0.868461480825296,2,10,25
11,10,0.05744,0.05744,0.868461480825296,0,10,25
12,10,0.05744,0.05744,0.8743744602905682,1,10,26
13,10,0.05744,0.05744,0.8743744602905682,0,10,26
14,10,0.05744,0.05744,0.8723504054203818,1,10,27
15,10,0.05579,0.05579,0.867524647902529,4,9,31
16,10,0.05579,0.05579,0.8540607782341967,1,9,32
17,10,0.05579,0.05579,0.8420857672927878,1,9,33
18,10,0.05579,0.05579,0.8420857672927878,0,9,33
19,10,0.05579,0.05579,0.8324255129596358,1,9,34
20,10,0.05579,0.05579,0.7575537159972833,2,8,36
21,10,0.05494,0.05494,0.6716077678302272,1,7,37
22,10,0.05494,0.05494,0.6622110358111504,0,5,37
23,10,0.05494,0.05494,0.6622110358111504,0,5,37
24,10,0.05492,0.05492,0.5815867985648447,0,4,37
25,10,0.05492,0.05492,0.5838610827072376,0,4,37
26,10,0.05492,0.05492,0.5838610827072376,0,4,37
27,10,0.05492,0.05492,0.5838610827072376,0,4,37
28,10,0.05367,0.05367,0.47962682818399943,1,2,38
29,10,0.05367,0.05367,0.3652123270368768,0,1,38
30,10,0.05367,0.05367,0.3790475669505448,0,1,38
31,10,0.05367,0.05367,0.38634810895099425,0,1,38
32,10,0.05367,0.05367,0.39966453477351077,0,1,38
33,10,0.05367,0.05367,0.393009279586546,0,1,38
34,10,0.05367,0.05367,0.3934715511095741,0,1,38
35,10,0.05367,0.05367,0.38036049903542474,0,1,38
36,10,0.0533,0.0533,0.4100959221737,0,1,38
37,10,0.0533,0.0533,0.4100959221737,0,1,38
38,10,0.0533,0.0533,0.4100959221737,0,1,38
39,10,0.0533,0.0533,0.4100959221737,0,1,38
40,10,0.0533,0.0533,0.4100959221737,0,1,38
41,10,0.0533,0.0533,0.4100959221737,0,1,38
42,10,0.0533,0.0533,0.4100959221737,0,1,38
43,10,0.0533,0.0533,0.4100959221737,0,1,38
44,10,0.0533,0.0533,0.4100959221737,0,1,38
45,10,0.0533,0.0533,0.4100959221737,0,1,38
46,10,0.05312,0.05312,0.40795601935994713,0,1,38
47,10,0.05312,0.05312,0.40795601935994713,0,1,38
48,10,0.05312,0.05312,0.42641133988914803,1,2,39
49,10,0.05312,0.05312,0.41935786641096523,0,2,39
50,10,0.05312,0.05312,0.43379955551284605,1,3,40
51,10,0.05293,0.05293,0.4255108500660428,0,3,40
