evaluation_step,generation,candidate_index,unique_id,objective,best_so_far,operator,basin_id,cumulative_unique_basins,effective_basins
1,1,1,3e1442c5ec949d3636fc0a9dbf664b00,0.06364,0.06364,i1,10,1,1.0
2,1,2,87b64ed27692b246c32c736775795b94,0.0652,0.06364,m2,23,2,2.0
3,1,3,9e085db9753677f56c5d00fc81e5661c,0.06536,0.06364,i1,27,3,2.9999999999999996
4,1,4,c238d7805d60cf68a273dd412fe68aed,0.06732,0.06364,i1,35,4,4.0
5,1,5,5f798b977cde045f6028a44e1d2a1948,0.0675,0.06364,i1,16,5,5.000000000000001
6,1,6,cb2f7c4ed4b320009570d47c7e8a0f6d,0.06805,0.06364,i1,36,6,5.999999999999998
7,1,7,1a946690068f39b6fb10ba91ac0a9b85,0.06834,0.06364,i1,6,7,6.999999999999998
8,1,8,6236ac47cd40452d60bc606add7b9c79,0.06856,0.06364,i1,17,8,7.999999999999998
9,1,9,13e3a890081471e3b1d9a77c8396a190,0.06859,0.06364,i1,4,9,9.000000000000002
10,1,10,b7affb01f7faa3e381ad26828ac306b1,0.06893,0.06364,i1,32,10,9.999999999999998
11,2,1,f511394536b52f8d7e1515ab6f4f8848,0.06234,0.06234,m2,40,11,11.000000000000002
12,2,2,5d391ba90dd5a3d0ce60354355287e79,0.06362,0.06234,e2,15,12,12.00000000000001
13,2,3,3e1442c5ec949d3636fc0a9dbf664b00,0.06364,0.06234,i1,10,12,11.685062651542049
14,2,4,87b64ed27692b246c32c736775795b94,0.0652,0.06234,m2,23,12,11.48469498410693
15,2,5,9e085db9753677f56c5d00fc81e5661c,0.06536,0.06234,i1,27,12,11.367874248827984
16,2,6,3196bc691a14f2a8e29750c4c7cafe6a,0.06599,0.06234,e1,8,13,12.337686603263528
17,2,7,c238d7805d60cf68a273dd412fe68aed,0.06732,0.06234,i1,35,13,12.268394904754631
18,2,8,5f798b977cde045f6028a44e1d2a1948,0.0675,0.06234,i1,16,13,12.247110001569395
19,2,9,54b2d2bbd9f7533b0fc177857a887634,0.06755,0.06234,m2,14,14,13.192185854839234
20,2,10,23e1acebf7c09f2a3624f5cad2fbf08e,0.06785,0.06234,e1,7,15,14.142135623730947
21,3,1,f511394536b52f8d7e1515ab6f4f8848,0.06234,0.06234,m2,40,15,14.13195202263973
22,3,2,5d391ba90dd5a3d0ce60354355287e79,0.06362,0.06234,e2,15,15,14.153313878103742
23,3,3,3e1442c5ec949d3636fc0a9dbf664b00,0.06364,0.06234,i1,10,15,13.881471337965698
24,3,4,87b64ed27692b246c32c736775795b94,0.0652,0.06234,m2,23,15,13.66160622090272
25,3,5,9e085db9753677f56c5d00fc81e5661c,0.06536,0.06234,i1,27,15,13.48486982421653
26,3,6,3196bc691a14f2a8e29750c4c7cafe6a,0.06599,0.06234,e1,8,15,13.615551055066678
27,3,7,c238d7805d60cf68a273dd412fe68aed,0.06732,0.06234,i1,35,15,13.493226183308867
28,3,8,5f798b977cde045f6028a44e1d2a1948,0.0675,0.06234,i1,16,15,13.398338061220123
29,3,9,54b2d2bbd9f7533b0fc177857a887634,0.06755,0.06234,m2,14,15,13.569641828577733
30,3,10,23e1acebf7c09f2a3624f5cad2fbf08e,0.06785,0.06234,e1,7,15,13.747296369986023
31,4,1,ae47d13c3bb606577e8770708011d901,0.05744,0.05744,e1,29,16,14.56767085537615
32,4,2,f511394536b52f8d7e1515ab6f4f8848,0.06234,0.05744,m2,40,16,14.504800959557345
33,4,3,5d391ba90dd5a3d0ce60354355287e79,0.06362,0.05744,e2,15,16,14.459677164777204
34,4,4,3e1442c5ec949d3636fc0a9dbf664b00,0.06364,0.05744,i1,10,16,14.28669535190825
35,4,5,87b64ed27692b246c32c736775795b94,0.0652,0.05744,m2,23,16,14.137370904739546
36,4,6,9e085db9753677f56c5d00fc81e5661c,0.06536,0.05744,i1,27,16,14.008890892068191
37,4,7,3196bc691a14f2a8e29750c4c7cafe6a,0.06599,0.05744,e1,8,16,14.027093929597953
38,4,8,aebc4b668bb2dad6ca199a4b846bc950,0.06732,0.05744,t2,30,17,14.778647261787226
39,4,9,5f798b977cde045f6028a44e1d2a1948,0.0675,0.05744,i1,16,17,14.668450004867612
40,4,10,54b2d2bbd9f7533b0fc177857a887634,0.06755,0.05744,m2,14,17,14.698195665205018
41,5,1,ae47d13c3bb606577e8770708011d901,0.05744,0.05744,e1,29,17,14.924791733733711
42,5,2,f511394536b52f8d7e1515ab6f4f8848,0.06234,0.05744,m2,40,17,14.844452163932505
43,5,3,5d391ba90dd5a3d0ce60354355287e79,0.06362,0.05744,e2,15,17,14.77643247686872
44,5,4,3e1442c5ec949d3636fc0a9dbf664b00,0.06364,0.05744,i1,10,17,14.63528847906675
45,5,5,87b64ed27692b246c32c736775795b94,0.0652,0.05744,m2,23,17,14.509003941013363
46,5,6,9e085db9753677f56c5d00fc81e5661c,0.06536,0.05744,i1,27,17,14.39618337751712
47,5,7,4fd6f34f19fd6286c89efb9141c3f8c0,0.06547,0.05744,m1,12,18,15.077233522635439
48,5,8,81100c0d9624a6755941356c00b875f7,0.06581,0.05744,e1,21,19,15.767108092063648
49,5,9,9bce640e14f8e6d7077ebceff736c00b,0.06595,0.05744,e1,26,20,16.46546552644185
50,5,10,3196bc691a14f2a8e29750c4c7cafe6a,0.06599,0.05744,e1,8,20,16.41658635824684
51,6,1,ae47d13c3bb606577e8770708011d901,0.05744,0.05744,e1,29,20,16.485655903575765
52,6,2,f511394536b52f8d7e1515ab6f4f8848,0.06234,0.05744,m2,40,20,16.370994026986974
53,6,3,5d391ba90dd5a3d0ce60354355287e79,0.06362,0.05744,e2,15,20,16.267313809646858
54,6,4,3e1442c5ec949d3636fc0a9dbf664b00,0.06364,0.05744,i1,10,20,16.113548455389804
55,6,5,87b64ed27692b246c32c736775795b94,0.0652,0.05744,m2,23,20,15.97212708430585
56,6,6,9e085db9753677f56c5d00fc81e5661c,0.06536,0.05744,i1,27,20,15.84207506983536
57,6,7,4fd6f34f19fd6286c89efb9141c3f8c0,0.06547,0.05744,m1,12,20,16.09003802598422
58,6,8,81100c0d9624a6755941356c00b875f7,0.06581,0.05744,e1,21,20,16.338074045553707
59,6,9,9bce640e14f8e6d7077ebceff736c00b,0.06595,0.05744,e1,26,20,16.586179268311938
60,6,10,3196bc691a14f2a8e29750c4c7cafe6a,0.06599,0.05744,e1,8,20,16.52420295498129
61,7,1,ae47d13c3bb606577e8770708011d901,0.05744,0.05744,e1,29,20,16.537336854464
62,7,2,f511394536b52f8d7e1515ab6f4f8848,0.06234,0.05744,m2,40,20,16.43364829813273
63,7,3,5d391ba90dd5a3d0ce60354355287e79,0.06362,0.05744,e2,15,20,16.33805343164071
64,7,4,3e1442c5ec949d3636fc0a9dbf664b00,0.06364,0.05744,i1,10,20,16.207545868873105
65,7,5,87b64ed27692b246c32c736775795b94,0.0652,0.05744,m2,23,20,16.085915370885015
66,7,6,9e085db9753677f56c5d00fc81e5661c,0.06536,0.05744,i1,27,20,15.972565345712464
67,7,7,4fd6f34f19fd6286c89efb9141c3f8c0,0.06547,0.05744,m1,12,20,16.09623961917178
68,7,8,81100c0d9624a6755941356c00b875f7,0.06581,0.05744,e1,21,20,16.220752158626603
69,7,9,9bce640e14f8e6d7077ebceff736c00b,0.06595,0.05744,e1,26,20,16.34606083484605
70,7,10,67da23e4e56d2386900fb6720fc38f56,0.06597,0.05744,e1,18,21,16.927657366956964
71,8,1,ae47d13c3bb606577e8770708011d901,0.05744,0.05744,e1,29,21,16.909700548565016
72,8,2,f511394536b52f8d7e1515ab6f4f8848,0.06234,0.05744,m2,40,21,16.809243591766602
73,8,3,5d391ba90dd5a3d0ce60354355287e79,0.06362,0.05744,e2,15,21,16.715291433436764
74,8,4,3e1442c5ec949d3636fc0a9dbf664b00,0.06364,0.05744,i1,10,21,16.59528215943238
75,8,5,3648e67b2a326030bfa08846bd0c5703,0.06382,0.05744,m2,9,22,17.15816390817497
76,8,6,87b64ed27692b246c32c736775795b94,0.0652,0.05744,m2,23,22,17.0383618124054
77,8,7,9e085db9753677f56c5d00fc81e5661c,0.06536,0.05744,i1,27,22,16.92536775747508
78,8,8,4fd6f34f19fd6286c89efb9141c3f8c0,0.06547,0.05744,m1,12,22,16.984518031437457
79,8,9,8e07de8adaa21cbb03ce662a939e179b,0.0657,0.05744,e2,24,23,17.537431455261217
