unique_id,generation,candidate_index,evaluation_step,objective,operator,basin_id,description,reflection,source_path
4000b0d8b798cb06f2e82e6092fc7565,1,1,1,0.28976,m1,15,"The algorithm selects the next node by combining a multiplicative synergy score of normalized degree, inverse clustering, and core number to emphasize nodes that simultaneously excel in these aspects, adjusted by a penalty based on eigenvector centrality and boosted by betweenness centrality normalized against the graph’s average degree to balance local and global influence.",,evolve_experiment\evolution\synthetic\group1_sbm_er\gpt-4.1-mini\synthetic_er_1000_20260330_133530\results\pops\synthetic_er_1000\population_generation_1.json
23bd03563c2ce72edf1b3cf1b94a98da,1,2,2,0.29204,m2,12,"This algorithm selects the next node by linearly combining normalized degree, clustering coefficient, core number, betweenness, and eigenvector centrality with customizable weights, focusing on penalizing nodes with high clustering and eigenvector centrality to prioritize structurally critical nodes, while incorporating global graph-level statistics for dynamic weighting.",,evolve_experiment\evolution\synthetic\group1_sbm_er\gpt-4.1-mini\synthetic_er_1000_20260330_133530\results\pops\synthetic_er_1000\population_generation_1.json
1b7b41c245e84545e9751a6b56da914d,1,3,3,0.29251,i1,10,"Select the next node by scoring unvisited nodes with a combined weighted metric of normalized degree, inverse clustering, normalized core number, and betweenness centrality adjusted by eigenvector centrality, choosing the node maximizing this score to balance early and long-term network disruption.",,evolve_experiment\evolution\synthetic\group1_sbm_er\gpt-4.1-mini\synthetic_er_1000_20260330_133530\results\pops\synthetic_er_1000\population_generation_1.json
ef152c72e1c6b7c07bf132018a1c2e67,1,4,4,0.29303,e1,42,,,evolve_experiment\evolution\synthetic\group1_sbm_er\gpt-4.1-mini\synthetic_er_1000_20260330_133530\results\pops\synthetic_er_1000\population_generation_1.json
76937bc002ac480e3c623abdf3eba991,1,5,5,0.2937,e1,26,,,evolve_experiment\evolution\synthetic\group1_sbm_er\gpt-4.1-mini\synthetic_er_1000_20260330_133530\results\pops\synthetic_er_1000\population_generation_1.json
bd176bedfa7054e65776e76698fcbf65,1,6,6,0.29417,i1,39,"Select the next node by scoring unvisited nodes with a combined normalized metric that balances high betweenness, low clustering, and high core number, weighted adaptively based on global bridge_ratio_high_bc and degree_variance to balance early disruption and long-term fragmentation.",,evolve_experiment\evolution\synthetic\group1_sbm_er\gpt-4.1-mini\synthetic_er_1000_20260330_133530\results\pops\synthetic_er_1000\population_generation_1.json
4000b0d8b798cb06f2e82e6092fc7565,2,1,7,0.28976,m1,15,"The algorithm selects the next node by combining a multiplicative synergy score of normalized degree, inverse clustering, and core number to emphasize nodes that simultaneously excel in these aspects, adjusted by a penalty based on eigenvector centrality and boosted by betweenness centrality normalized against the graph’s average degree to balance local and global influence.",,evolve_experiment\evolution\synthetic\group1_sbm_er\gpt-4.1-mini\synthetic_er_1000_20260330_133530\results\pops\synthetic_er_1000\population_generation_2.json
23bd03563c2ce72edf1b3cf1b94a98da,2,2,8,0.29204,m2,12,"This algorithm selects the next node by linearly combining normalized degree, clustering coefficient, core number, betweenness, and eigenvector centrality with customizable weights, focusing on penalizing nodes with high clustering and eigenvector centrality to prioritize structurally critical nodes, while incorporating global graph-level statistics for dynamic weighting.",,evolve_experiment\evolution\synthetic\group1_sbm_er\gpt-4.1-mini\synthetic_er_1000_20260330_133530\results\pops\synthetic_er_1000\population_generation_2.json
1b7b41c245e84545e9751a6b56da914d,2,3,9,0.29251,i1,10,"Select the next node by scoring unvisited nodes with a combined weighted metric of normalized degree, inverse clustering, normalized core number, and betweenness centrality adjusted by eigenvector centrality, choosing the node maximizing this score to balance early and long-term network disruption.",,evolve_experiment\evolution\synthetic\group1_sbm_er\gpt-4.1-mini\synthetic_er_1000_20260330_133530\results\pops\synthetic_er_1000\population_generation_2.json
ef152c72e1c6b7c07bf132018a1c2e67,2,4,10,0.29303,e1,42,,,evolve_experiment\evolution\synthetic\group1_sbm_er\gpt-4.1-mini\synthetic_er_1000_20260330_133530\results\pops\synthetic_er_1000\population_generation_2.json
76937bc002ac480e3c623abdf3eba991,2,5,11,0.2937,e1,26,,,evolve_experiment\evolution\synthetic\group1_sbm_er\gpt-4.1-mini\synthetic_er_1000_20260330_133530\results\pops\synthetic_er_1000\population_generation_2.json
