generation,population_size,generation_best_objective,best_so_far_objective,div_pair,novel_basins,generation_basin_count,cumulative_unique_basins
1,6,0.28976,0.28976,0.7812624719185639,6,6,6
2,6,0.28976,0.28976,0.8165018538983229,1,6,7
3,6,0.28887,0.28887,0.6691011076136623,2,6,9
4,6,0.28887,0.28887,0.6691011076136623,0,6,9
5,6,0.28887,0.28887,0.7108833867707044,3,6,12
6,6,0.28571,0.28571,0.8177551782425145,4,6,16
7,6,0.28571,0.28571,0.8378610318575533,2,6,18
8,6,0.28449,0.28449,0.8568633079216854,2,6,20
9,6,0.28449,0.28449,0.8643655903176765,2,6,22
10,6,0.28449,0.28449,0.8331171109537816,1,6,23
11,6,0.28449,0.28449,0.8331171109537816,0,6,23
12,6,0.28449,0.28449,0.8233019780205695,1,6,24
13,6,0.28449,0.28449,0.8233019780205695,0,6,24
14,6,0.28449,0.28449,0.8018297338451871,1,6,25
15,6,0.28449,0.28449,0.8148537960759656,1,6,26
16,6,0.28449,0.28449,0.8153085255814998,1,6,27
17,6,0.28442,0.28442,0.813498969219751,2,6,29
18,6,0.28442,0.28442,0.8153176218582333,1,6,30
19,6,0.28243,0.28243,0.8407306622085348,1,6,31
20,6,0.28243,0.28243,0.8407306622085348,0,6,31
21,6,0.28243,0.28243,0.8407306622085348,0,6,31
22,6,0.28243,0.28243,0.8407306622085348,0,6,31
23,6,0.27586,0.27586,0.8741659282146295,2,6,33
24,6,0.26837,0.26837,0.8482087807244985,3,6,36
25,6,0.26793,0.26793,0.8149686442871806,4,6,40
26,6,0.26793,0.26793,0.83929236948366,3,6,43
27,6,0.26785,0.26785,0.7933619228232892,3,6,46
28,6,0.26785,0.26785,0.7933619228232892,0,6,46
29,6,0.26758,0.26758,0.7923498655364946,1,6,47
30,6,0.26758,0.26758,0.7923498655364946,0,6,47
