evaluation_step,generation,candidate_index,unique_id,objective,best_so_far,operator,basin_id,cumulative_unique_basins,effective_basins
1,1,1,4000b0d8b798cb06f2e82e6092fc7565,0.28976,0.28976,m1,15,1,1.0
2,1,2,23bd03563c2ce72edf1b3cf1b94a98da,0.29204,0.28976,m2,12,2,2.0
3,1,3,1b7b41c245e84545e9751a6b56da914d,0.29251,0.28976,i1,10,3,2.9999999999999996
4,1,4,ef152c72e1c6b7c07bf132018a1c2e67,0.29303,0.28976,e1,42,4,4.0
5,1,5,76937bc002ac480e3c623abdf3eba991,0.2937,0.28976,e1,26,5,5.000000000000001
6,1,6,bd176bedfa7054e65776e76698fcbf65,0.29417,0.28976,i1,39,6,5.999999999999998
7,2,1,4000b0d8b798cb06f2e82e6092fc7565,0.28976,0.28976,m1,15,6,5.742347492053464
8,2,2,23bd03563c2ce72edf1b3cf1b94a98da,0.29204,0.28976,m2,12,6,5.656854249492381
9,2,3,1b7b41c245e84545e9751a6b56da914d,0.29251,0.28976,i1,10,6,5.669644724526931
10,2,4,ef152c72e1c6b7c07bf132018a1c2e67,0.29303,0.28976,e1,42,6,5.743491774985174
11,2,5,76937bc002ac480e3c623abdf3eba991,0.2937,0.28976,e1,26,6,5.857725991919796
12,2,6,00a6ebed586568ac4895b539ba603b3d,0.29409,0.28976,e2,1,7,6.734772289856236
13,3,1,4721de5b55416795021034efeb94fe08,0.28887,0.28887,m2,16,8,7.627492990030072
14,3,2,4000b0d8b798cb06f2e82e6092fc7565,0.28976,0.28887,m1,15,8,7.445101560185091
15,3,3,16b1687a39a8102f56ff7aafd175b70a,0.29174,0.28887,m2,8,9,8.319891776114332
16,3,4,23bd03563c2ce72edf1b3cf1b94a98da,0.29204,0.28887,m2,12,9,8.171715981550443
17,3,5,1b7b41c245e84545e9751a6b56da914d,0.29251,0.28887,i1,10,9,8.07280995511898
18,3,6,ef152c72e1c6b7c07bf132018a1c2e67,0.29303,0.28887,e1,42,9,8.01205443572904
19,4,1,4721de5b55416795021034efeb94fe08,0.28887,0.28887,m2,16,9,8.204254523942879
20,4,2,4000b0d8b798cb06f2e82e6092fc7565,0.28976,0.28887,m1,15,9,8.048360735218376
21,4,3,16b1687a39a8102f56ff7aafd175b70a,0.29174,0.28887,m2,8,9,8.261370380069566
22,4,4,23bd03563c2ce72edf1b3cf1b94a98da,0.29204,0.28887,m2,12,9,8.152085136711108
23,4,5,1b7b41c245e84545e9751a6b56da914d,0.29251,0.28887,i1,10,9,8.069503391370086
24,4,6,ef152c72e1c6b7c07bf132018a1c2e67,0.29303,0.28887,e1,42,9,8.009039125020205
