unique_id,generation,candidate_index,evaluation_step,objective,operator,basin_id,description,reflection,source_path
b0813cf758e51900c5f7a48d18b647de,1,1,1,0.32297,i1,41,,,evolve_experiment\evolution\adaptive\synthetic_sbm_1000__continuous\results\pops\synthetic_sbm_1000\population_generation_1.json
55cf19b8cba601d0cda9ae45cc13cde5,1,2,2,0.32303,i1,21,,,evolve_experiment\evolution\adaptive\synthetic_sbm_1000__continuous\results\pops\synthetic_sbm_1000\population_generation_1.json
127505aabaf5282a1a755a91fc42ba63,1,3,3,0.32305,i1,7,"Select the next node to remove by scoring unvisited nodes with a weighted combination of normalized degree, betweenness, inverse clustering, and core number to balance early fragmentation and long-term impact, picking the node with the highest score.",,evolve_experiment\evolution\adaptive\synthetic_sbm_1000__continuous\results\pops\synthetic_sbm_1000\population_generation_1.json
15c5537c9304e17393d7068afd819ced,1,4,4,0.32314,m2,8,"Select the next node by weighting normalized betweenness and inverse clustering more heavily for early disruption, while reducing the influence of eigenvector centrality and dynamically scaling core number weight inversely with diameter to favor fragmentation in networks with large diameters.",,evolve_experiment\evolution\adaptive\synthetic_sbm_1000__continuous\results\pops\synthetic_sbm_1000\population_generation_1.json
66b891f772f5b5b78664ae2d4a2a7680,1,5,5,0.32317,i1,24,"Select the next node as the one maximizing a balanced score combining normalized betweenness centrality, inverse clustering coefficient, and core number, weighted dynamically by the graph's global bridge_ratio_high_bc to prioritize nodes bridging communities early and maintaining long-term disruption.",,evolve_experiment\evolution\adaptive\synthetic_sbm_1000__continuous\results\pops\synthetic_sbm_1000\population_generation_1.json
b9b43a1ad4447ad013f13eda0281f334,1,6,6,0.32321,i1,44,"Select the next node by scoring unvisited nodes with a weighted combination of normalized degree, betweenness, core number, and inverse clustering coefficient to balance immediate impact and long-term fragmentation.",,evolve_experiment\evolution\adaptive\synthetic_sbm_1000__continuous\results\pops\synthetic_sbm_1000\population_generation_1.json
d74c98ed6f4569d811b14f13c6fc636f,1,7,7,0.32331,i1,55,"Select the next node by scoring unvisited nodes using a weighted combination of normalized degree, betweenness, inverse clustering, and core number, dynamically adapting weights based on global graph features to balance early disruption and long-term fragmentation.",,evolve_experiment\evolution\adaptive\synthetic_sbm_1000__continuous\results\pops\synthetic_sbm_1000\population_generation_1.json
a8628a4afcf7355f64774e5ca45a63ae,1,8,8,0.3235,m2,38,"Select the next node by prioritizing inverse clustering and core number with dynamically reduced emphasis on betweenness and eigenvector centrality, while slightly increasing degree influence based on global graph density to favor early disruption and sustained fragmentation.",,evolve_experiment\evolution\adaptive\synthetic_sbm_1000__continuous\results\pops\synthetic_sbm_1000\population_generation_1.json
48587121c0e1935e002d2a13c5fb5035,1,9,9,0.32358,t2,18,"Select the next node by dynamically weighting normalized degree, betweenness, inverse clustering, core number, and eigenvector centrality based on global graph features to balance fast network disruption and thorough fragmentation.","The incremental improvements mainly refined the dynamic weighting of node features using global graph metrics to better balance early disruption and final fragmentation while maintaining low time complexity; however, attempts to aggressively tune clustering or core weights did not significantly improve objective scores or early disruption.",evolve_experiment\evolution\adaptive\synthetic_sbm_1000__continuous\results\pops\synthetic_sbm_1000\population_generation_1.json
71c2e08bd9211ee195b86f096c5b6d9b,1,10,10,0.32368,e2,27,"Select the next node by clustering unvisited nodes into groups based on their multi-dimensional centrality features and pick the node closest to the centroid of the cluster with the highest average betweenness, thus capturing representative critical nodes from different structural roles to balance immediate and sustained disruption.",,evolve_experiment\evolution\adaptive\synthetic_sbm_1000__continuous\results\pops\synthetic_sbm_1000\population_generation_1.json
