generation,population_size,generation_best_objective,best_so_far_objective,div_pair,novel_basins,generation_basin_count,cumulative_unique_basins
1,10,0.32297,0.32297,0.7999696462327632,10,10,10
2,10,0.32297,0.32297,0.7691436367156054,1,10,11
3,10,0.32297,0.32297,0.8121616733898861,2,10,13
4,10,0.32092,0.32092,0.8581819178826701,4,10,17
5,10,0.32092,0.32092,0.871799491420944,1,10,18
6,10,0.30961,0.30961,0.8345922203143746,10,10,28
7,10,0.30499,0.30499,0.8527332555404689,5,10,33
8,10,0.30376,0.30376,0.8399641402014314,4,10,37
9,10,0.30376,0.30376,0.8367877313309952,1,10,38
10,10,0.30376,0.30376,0.8367877313309952,0,10,38
11,10,0.30376,0.30376,0.8407301659558324,3,10,41
12,10,0.29079,0.29079,0.8681579957958843,3,10,44
13,10,0.29079,0.29079,0.8781857684552105,1,10,45
14,10,0.29079,0.29079,0.8707075346540476,2,10,47
15,10,0.29079,0.29079,0.868022282508128,3,10,50
16,10,0.29079,0.29079,0.8724111725867651,2,10,52
17,10,0.29079,0.29079,0.8726941358712894,1,10,53
18,10,0.29079,0.29079,0.8726941358712894,0,10,53
19,10,0.29079,0.29079,0.8716802840396826,3,10,56
20,10,0.29079,0.29079,0.861931675185839,1,10,57
21,10,0.29079,0.29079,0.8724393561018954,3,10,60
22,10,0.29079,0.29079,0.8724393561018954,0,10,60
23,10,0.29079,0.29079,0.8632967738329838,2,10,62
24,10,0.29079,0.29079,0.8632967738329838,0,10,62
25,10,0.29079,0.29079,0.8632967738329838,0,10,62
26,10,0.29079,0.29079,0.8632967738329838,0,10,62
27,10,0.29079,0.29079,0.8632967738329838,0,10,62
28,10,0.29079,0.29079,0.8586274901832152,1,10,63
29,10,0.29002,0.29002,0.8479756814257472,2,10,65
30,10,0.29002,0.29002,0.8479756814257472,0,10,65
