generation,population_size,generation_best_objective,best_so_far_objective,div_pair,novel_basins,generation_basin_count,cumulative_unique_basins
1,10,0.32297,0.32297,0.8388138161562974,10,10,10
2,10,0.32297,0.32297,0.8444661251238731,4,10,14
3,10,0.31422,0.31422,0.8958423417658611,4,10,18
4,10,0.31422,0.31422,0.8904926542415293,2,10,20
5,10,0.30366,0.30366,0.8917042328398229,6,10,26
6,10,0.30366,0.30366,0.8917042328398229,0,10,26
7,10,0.30366,0.30366,0.883369692878125,1,10,27
8,10,0.30366,0.30366,0.883369692878125,0,10,27
9,10,0.30366,0.30366,0.8985778823742848,2,10,29
10,10,0.29654,0.29654,0.9058618453389005,3,10,32
11,10,0.29654,0.29654,0.8873150610629427,2,10,34
12,10,0.29654,0.29654,0.8912838088441739,3,10,37
13,10,0.29654,0.29654,0.8911386084944354,1,10,38
14,10,0.29654,0.29654,0.8996484033721802,1,10,39
15,10,0.29654,0.29654,0.8965692316588064,2,10,41
16,10,0.29654,0.29654,0.8894130163724158,1,10,42
17,10,0.29654,0.29654,0.8894130163724158,0,10,42
18,10,0.29654,0.29654,0.9026187080523151,2,10,44
19,10,0.29654,0.29654,0.9022685787067052,2,10,46
20,10,0.29654,0.29654,0.8983239963750602,1,10,47
21,10,0.29654,0.29654,0.8953230512224072,1,10,48
22,10,0.29654,0.29654,0.8850785878739362,1,10,49
