evaluation_step,generation,candidate_index,unique_id,objective,best_so_far,operator,basin_id,cumulative_unique_basins,effective_basins
1,1,1,b0813cf758e51900c5f7a48d18b647de,0.32297,0.32297,i1,37,1,1.0
2,1,2,55cf19b8cba601d0cda9ae45cc13cde5,0.32303,0.32297,i1,16,2,2.0
3,1,3,127505aabaf5282a1a755a91fc42ba63,0.32305,0.32297,i1,6,3,2.9999999999999996
4,1,4,66b891f772f5b5b78664ae2d4a2a7680,0.32317,0.32297,i1,21,4,4.0
5,1,5,b9b43a1ad4447ad013f13eda0281f334,0.32321,0.32297,i1,39,5,5.000000000000001
6,1,6,d74c98ed6f4569d811b14f13c6fc636f,0.32331,0.32297,i1,42,6,5.999999999999998
7,1,7,d8d3a6d449657209d04fddb16d068588,0.32439,0.32297,t2,43,7,6.999999999999998
8,1,8,ed858e6b0d689a879e33f403ae9ffec0,0.32471,0.32297,e1,48,8,7.999999999999998
9,1,9,431d62aa71f8049b017b8f3f19d94fcc,0.325,0.32297,e1,12,9,9.000000000000002
10,1,10,8426923c8379785df7c914eb1cbd344f,0.3303,0.32297,e1,30,10,9.999999999999998
11,2,1,b0813cf758e51900c5f7a48d18b647de,0.32297,0.32297,i1,37,10,9.697503804956236
12,2,2,55cf19b8cba601d0cda9ae45cc13cde5,0.32303,0.32297,i1,16,10,9.524406311809203
13,2,3,127505aabaf5282a1a755a91fc42ba63,0.32305,0.32297,i1,6,10,9.440748564743117
14,2,4,744299f0ad628ef46b8d789cbae0e54b,0.32312,0.32297,e2,24,11,10.401960023958639
15,2,5,950e89a27168cf50e879458099fab150,0.32314,0.32297,t2,32,12,11.367874248827984
16,2,6,66b891f772f5b5b78664ae2d4a2a7680,0.32317,0.32297,i1,21,12,11.31370849898476
17,2,7,b9b43a1ad4447ad013f13eda0281f334,0.32321,0.32297,i1,39,12,11.307652494684037
18,2,8,658a35e9e67f94660f33e79a759f0153,0.32322,0.32297,e1,20,13,12.247110001569395
19,2,9,d74c98ed6f4569d811b14f13c6fc636f,0.32331,0.32297,i1,42,13,12.263922380500343
20,2,10,94281540897dfb95abf00a7ed8f6ce4d,0.32333,0.32297,e1,31,14,13.19507910772894
21,3,1,215289cbc0d7bab2f005fecc0607d3b3,0.31422,0.31422,e1,8,15,14.13195202263973
22,3,2,b0813cf758e51900c5f7a48d18b647de,0.32297,0.31422,i1,37,15,13.820662935424716
23,3,3,55cf19b8cba601d0cda9ae45cc13cde5,0.32303,0.31422,i1,16,15,13.569234137542384
24,3,4,d9202bf50e5e61f6b4d789969638c327,0.32305,0.31422,e2,44,16,14.4739676007158
25,3,5,744299f0ad628ef46b8d789cbae0e54b,0.32312,0.31422,e2,24,16,14.555224529582146
26,3,6,e47e315707629593759d93e06ee03994,0.32313,0.31422,m1,46,17,15.455664273601688
27,3,7,950e89a27168cf50e879458099fab150,0.32314,0.31422,t2,32,17,15.54338876284801
28,3,8,ae0d38bdbce11b8152bb125b1f526cbc,0.32316,0.31422,e1,36,18,16.440117121673808
29,3,9,66b891f772f5b5b78664ae2d4a2a7680,0.32317,0.31422,i1,21,18,16.237622390948115
30,3,10,b9b43a1ad4447ad013f13eda0281f334,0.32321,0.31422,i1,39,18,16.06934175890089
31,4,1,215289cbc0d7bab2f005fecc0607d3b3,0.31422,0.31422,e1,8,18,16.20179545666767
32,4,2,b7b9953f050038f6b591ba5700429198,0.32294,0.31422,e2,38,19,17.067017513952447
33,4,3,b0813cf758e51900c5f7a48d18b647de,0.32297,0.31422,i1,37,19,16.756826841921523
34,4,4,55cf19b8cba601d0cda9ae45cc13cde5,0.32303,0.31422,i1,16,19,16.484722476670957
35,4,5,d9202bf50e5e61f6b4d789969638c327,0.32305,0.31422,e2,44,19,16.651441376541484
36,4,6,744299f0ad628ef46b8d789cbae0e54b,0.32312,0.31422,e2,24,19,16.581034947790226
37,4,7,e47e315707629593759d93e06ee03994,0.32313,0.31422,m1,46,19,16.762497243545916
38,4,8,950e89a27168cf50e879458099fab150,0.32314,0.31422,t2,32,19,16.71651856333667
39,4,9,ae0d38bdbce11b8152bb125b1f526cbc,0.32316,0.31422,e1,36,19,16.909624656733577
40,4,10,5b3ea3bdfaa5639400741be22c287097,0.32317,0.31422,t2,18,20,17.70934986591113
