evaluation_step,generation,candidate_index,unique_id,objective,best_so_far,operator,basin_id,cumulative_unique_basins,effective_basins
1,1,1,b0813cf758e51900c5f7a48d18b647de,0.32297,0.32297,i1,41,1,1.0
2,1,2,55cf19b8cba601d0cda9ae45cc13cde5,0.32303,0.32297,i1,21,2,2.0
3,1,3,127505aabaf5282a1a755a91fc42ba63,0.32305,0.32297,i1,7,3,2.9999999999999996
4,1,4,15c5537c9304e17393d7068afd819ced,0.32314,0.32297,m2,8,4,4.0
5,1,5,66b891f772f5b5b78664ae2d4a2a7680,0.32317,0.32297,i1,24,5,5.000000000000001
6,1,6,b9b43a1ad4447ad013f13eda0281f334,0.32321,0.32297,i1,44,6,5.999999999999998
7,1,7,d74c98ed6f4569d811b14f13c6fc636f,0.32331,0.32297,i1,55,7,6.999999999999998
8,1,8,a8628a4afcf7355f64774e5ca45a63ae,0.3235,0.32297,m2,38,8,7.999999999999998
9,1,9,48587121c0e1935e002d2a13c5fb5035,0.32358,0.32297,t2,18,9,9.000000000000002
10,1,10,71c2e08bd9211ee195b86f096c5b6d9b,0.32368,0.32297,e2,27,10,9.999999999999998
11,2,1,b0813cf758e51900c5f7a48d18b647de,0.32297,0.32297,i1,41,10,9.697503804956236
12,2,2,55cf19b8cba601d0cda9ae45cc13cde5,0.32303,0.32297,i1,21,10,9.524406311809203
13,2,3,127505aabaf5282a1a755a91fc42ba63,0.32305,0.32297,i1,7,10,9.440748564743117
14,2,4,15c5537c9304e17393d7068afd819ced,0.32314,0.32297,m2,8,10,9.421301348426493
15,2,5,66b891f772f5b5b78664ae2d4a2a7680,0.32317,0.32297,i1,24,10,9.44940787421155
16,2,6,b9b43a1ad4447ad013f13eda0281f334,0.32321,0.32297,i1,44,10,9.513656920021766
17,2,7,d74c98ed6f4569d811b14f13c6fc636f,0.32331,0.32297,i1,55,10,9.605984159149303
18,2,8,a8628a4afcf7355f64774e5ca45a63ae,0.3235,0.32297,m2,38,10,9.72053765003076
19,2,9,48587121c0e1935e002d2a13c5fb5035,0.32358,0.32297,t2,18,10,9.852972922238823
20,2,10,c5a5daeaf899138b2478523fe4c2f152,0.32361,0.32297,m2,48,11,10.71773462536293
21,3,1,b0813cf758e51900c5f7a48d18b647de,0.32297,0.32297,i1,41,11,10.585294086084293
22,3,2,55cf19b8cba601d0cda9ae45cc13cde5,0.32303,0.32297,i1,21,11,10.489001790990601
23,3,3,127505aabaf5282a1a755a91fc42ba63,0.32305,0.32297,i1,7,11,10.422432387134137
24,3,4,15c5537c9304e17393d7068afd819ced,0.32314,0.32297,m2,8,11,10.380575929961687
25,3,5,c56cbb6b5101ca87ada2111422c8500d,0.32316,0.32297,e1,47,12,11.181750772536496
26,3,6,66b891f772f5b5b78664ae2d4a2a7680,0.32317,0.32297,i1,24,12,11.14516420832779
27,3,7,b9b43a1ad4447ad013f13eda0281f334,0.32321,0.32297,i1,44,12,11.127237893266104
28,3,8,d74c98ed6f4569d811b14f13c6fc636f,0.32331,0.32297,i1,55,12,11.125327522902465
29,3,9,c52f76d9c6bced617b9310113c33cb3d,0.32333,0.32297,e1,46,13,11.895289633012734
30,3,10,a8628a4afcf7355f64774e5ca45a63ae,0.3235,0.32297,m2,38,13,11.894757284233103
31,4,1,9a54f4cf0e8179358ebfca6d4563877e,0.32092,0.32092,e1,33,14,12.663571494233711
32,4,2,b0813cf758e51900c5f7a48d18b647de,0.32297,0.32092,i1,41,14,12.530467697598311
33,4,3,d36ebd9d16269550d31b0f2aa488489c,0.32299,0.32092,e2,53,15,13.294441962478537
34,4,4,55cf19b8cba601d0cda9ae45cc13cde5,0.32303,0.32092,i1,21,15,13.167899109131863
35,4,5,127505aabaf5282a1a755a91fc42ba63,0.32305,0.32092,i1,7,15,13.060663014393056
36,4,6,15c5537c9304e17393d7068afd819ced,0.32314,0.32092,m2,8,15,12.970477824157689
37,4,7,a2e45ae0d916b29debd611574d828761,0.32316,0.32092,m1,35,16,13.7036903697565
38,4,8,66b891f772f5b5b78664ae2d4a2a7680,0.32317,0.32092,i1,24,16,13.616447958896122
39,4,9,b9b43a1ad4447ad013f13eda0281f334,0.32321,0.32092,i1,44,16,13.543329515892125
40,4,10,08e3ec6f5fc6077cc865c0a3eb4deedd,0.32331,0.32092,e1,2,17,14.262784110768527
41,5,1,9a54f4cf0e8179358ebfca6d4563877e,0.32092,0.32092,e1,33,17,14.493293705351398
42,5,2,b0813cf758e51900c5f7a48d18b647de,0.32297,0.32092,i1,41,17,14.338827463368467
43,5,3,d36ebd9d16269550d31b0f2aa488489c,0.32299,0.32092,e2,53,17,14.57423360859236
44,5,4,55cf19b8cba601d0cda9ae45cc13cde5,0.32303,0.32092,i1,21,17,14.439541964665597
45,5,5,127505aabaf5282a1a755a91fc42ba63,0.32305,0.32092,i1,7,17,14.319230538777814
46,5,6,15c5537c9304e17393d7068afd819ced,0.32314,0.32092,m2,8,17,14.211952757593929
47,5,7,a2e45ae0d916b29debd611574d828761,0.32316,0.32092,m1,35,17,14.455638285145293
48,5,8,66b891f772f5b5b78664ae2d4a2a7680,0.32317,0.32092,i1,24,17,14.361866035098847
49,5,9,b9b43a1ad4447ad013f13eda0281f334,0.32321,0.32092,i1,44,17,14.278562795937942
50,5,10,caac1db1e5d34201e7b02f13e10d46fe,0.3233,0.32092,e2,50,18,14.933742268629747
51,6,1,407159a96105bf8c983dfcbf809bd54a,0.30961,0.30961,m2,14,19,15.597645523606422
52,6,2,b72c1ef5189ae038188b8049ee06c709,0.30979,0.30961,m2,43,20,16.269966494070154
53,6,3,6fca84f4e2284b241cbaea8549e15fd7,0.31012,0.30961,e2,26,21,16.95041181834861
54,6,4,31b6dbc117f538b1257f5148811d323d,0.31102,0.30961,m1,11,22,17.63870031756096
55,6,5,45972039ad0ae94b82ae452c74c10ec0,0.31109,0.30961,m2,16,23,18.334562483613684
56,6,6,6c858d877c4bb15cef7bb957281d8bff,0.31219,0.30961,m1,25,24,19.037739979828878
57,6,7,8b238d508e248237e9ced8edd072e9f8,0.31417,0.30961,m1,30,25,19.747985155902068
58,6,8,0b32d52fb0eecf7be8eafd5ca5fd4cb2,0.31488,0.30961,t1,3,26,20.46506057839775
59,6,9,1046483fc88c1272215107c22ee9d17a,0.31624,0.30961,e1,5,27,21.18873857759441
60,6,10,8c6508e7ce7cdd272c03a0020115f3ae,0.3163,0.30961,e2,31,28,21.918800811167667
61,7,1,35bfad8e30c6207a642ffd5d5efa2fd9,0.30499,0.30499,m2,13,29,22.655037844947447
62,7,2,c74ef82f91008bc612c88d188ae53530,0.30875,0.30499,e2,49,30,23.397248750778193
63,7,3,407159a96105bf8c983dfcbf809bd54a,0.30961,0.30499,m2,14,30,23.619735597540824
64,7,4,b72c1ef5189ae038188b8049ee06c709,0.30979,0.30499,m2,43,30,23.843200050339963
65,7,5,abc0135d71b716029c0890c8e61a1599,0.3101,0.30499,m2,40,31,24.58640808579792
66,7,6,6fca84f4e2284b241cbaea8549e15fd7,0.31012,0.30499,e2,26,31,24.808516215570485
67,7,7,f9ec5edfe52420d690ce10d1663bc710,0.31084,0.30499,m2,63,32,25.554894495281843
68,7,8,31b6dbc117f538b1257f5148811d323d,0.31102,0.30499,m1,11,32,25.77568832472043
69,7,9,e83d1c2732eaff46a86f762a288b4805,0.31107,0.30499,e2,57,33,26.52505097137964
70,7,10,45972039ad0ae94b82ae452c74c10ec0,0.31109,0.30499,m2,16,33,26.744571620940768
71,8,1,5c557f344b7343a6bec58dcfefd65bd1,0.30376,0.30376,m2,22,34,27.49674844625161
72,8,2,35bfad8e30c6207a642ffd5d5efa2fd9,0.30499,0.30376,m2,13,34,27.71503598570212
73,8,3,c74ef82f91008bc612c88d188ae53530,0.30875,0.30376,e2,49,34,27.934319685405796
74,8,4,476079de3dccd6cec5bc259c25c59197,0.30913,0.30376,m2,17,35,28.686964138407603
75,8,5,407159a96105bf8c983dfcbf809bd54a,0.30961,0.30376,m2,14,35,28.704107350198203
76,8,6,b72c1ef5189ae038188b8049ee06c709,0.30979,0.30376,m2,43,35,28.725848598469994
77,8,7,10afb9213985affb352b7133d9acbf74,0.31006,0.30376,m2,6,36,29.473895673211015
78,8,8,abc0135d71b716029c0890c8e61a1599,0.3101,0.30376,m2,40,36,29.69405696232899
79,8,9,6fca84f4e2284b241cbaea8549e15fd7,0.31012,0.30376,e2,26,36,29.71759692428551
80,8,10,a1fd79bde5041e43b00ff730fa002dc6,0.31028,0.30376,m2,34,37,30.463812316470545
81,9,1,5c557f344b7343a6bec58dcfefd65bd1,0.30376,0.30376,m2,22,37,30.68478308853877
82,9,2,35bfad8e30c6207a642ffd5d5efa2fd9,0.30499,0.30376,m2,13,37,30.709972672387853
83,9,3,c74ef82f91008bc612c88d188ae53530,0.30875,0.30376,e2,49,37,30.739091464926176
84,9,4,476079de3dccd6cec5bc259c25c59197,0.30913,0.30376,m2,17,37,30.964238244176467
85,9,5,f150144c0a904d1f385e3355ad79eee7,0.30943,0.30376,t2,61,38,31.702906926859576
86,9,6,407159a96105bf8c983dfcbf809bd54a,0.30961,0.30376,m2,14,38,31.608220685919747
87,9,7,b72c1ef5189ae038188b8049ee06c709,0.30979,0.30376,m2,43,38,31.520196883506763
88,9,8,10afb9213985affb352b7133d9acbf74,0.31006,0.30376,m2,6,38,31.74836190139666
89,9,9,abc0135d71b716029c0890c8e61a1599,0.3101,0.30376,m2,40,38,31.789630748775693
