unique_id,generation,candidate_index,evaluation_step,objective,operator,basin_id,description,reflection,source_path
a3f1b1047d388c8ea059e4fa18a6a736,1,1,1,0.2489,e1,23,,,evolve_experiment\evolution\synthetic\group2_ws_uniform\gpt-4.1-mini\synthetic_ws_1000_20260330_100257\results\pops\synthetic_ws_1000\population_generation_1.json
262ba4fc327cc313c919239c6dc095a7,1,2,2,0.25935,e1,9,"Select the next node by ranking unvisited nodes based on a novelty score computed from the product of normalized core number and eigenvector centrality minus a penalty term proportional to normalized clustering, dynamically scaled by graph-level diameter and average path length to balance influence and cohesion disruption.",,evolve_experiment\evolution\synthetic\group2_ws_uniform\gpt-4.1-mini\synthetic_ws_1000_20260330_100257\results\pops\synthetic_ws_1000\population_generation_1.json
38f977386bc04623d8158b81e84b5ab6,1,3,3,0.25987,m1,12,"Select the next node by scoring unvisited nodes via a weighted sum of normalized betweenness and degree centrality, penalized by clustering coefficient scaled by the ratio of average degree to degree variance, to balance disruption of global flow and local cohesion.",,evolve_experiment\evolution\synthetic\group2_ws_uniform\gpt-4.1-mini\synthetic_ws_1000_20260330_100257\results\pops\synthetic_ws_1000\population_generation_1.json
bc5b8671568df91d4d29725bf4884561,1,4,4,0.25994,m1,28,,,evolve_experiment\evolution\synthetic\group2_ws_uniform\gpt-4.1-mini\synthetic_ws_1000_20260330_100257\results\pops\synthetic_ws_1000\population_generation_1.json
d3f4993df05d627f52d800061b0e4799,1,5,5,0.2628,i1,33,,,evolve_experiment\evolution\synthetic\group2_ws_uniform\gpt-4.1-mini\synthetic_ws_1000_20260330_100257\results\pops\synthetic_ws_1000\population_generation_1.json
2fb1703e8435a52d574a365cd9e0c94e,1,6,6,0.26749,i1,11,"Select the next node by scoring each unvisited node with a weighted sum of normalized degree, betweenness, inverse clustering, and core number, dynamically adjusting weights based on graph global features to balance early disruption and long-term fragmentation.",,evolve_experiment\evolution\synthetic\group2_ws_uniform\gpt-4.1-mini\synthetic_ws_1000_20260330_100257\results\pops\synthetic_ws_1000\population_generation_1.json
a3f1b1047d388c8ea059e4fa18a6a736,2,1,7,0.2489,e1,23,,,evolve_experiment\evolution\synthetic\group2_ws_uniform\gpt-4.1-mini\synthetic_ws_1000_20260330_100257\results\pops\synthetic_ws_1000\population_generation_2.json
bf31be75280f7d8766a048d6d2533bf5,2,2,8,0.25814,m2,29,"Select the next node by scoring unvisited nodes through a weighted combination of normalized eigenvector centrality and core number, subtracting a penalty proportional to clustering coefficient scaled by the ratio of diameter to average path length in the largest connected component, to balance influence in core structures and network spread.",,evolve_experiment\evolution\synthetic\group2_ws_uniform\gpt-4.1-mini\synthetic_ws_1000_20260330_100257\results\pops\synthetic_ws_1000\population_generation_2.json
262ba4fc327cc313c919239c6dc095a7,2,3,9,0.25935,e1,9,"Select the next node by ranking unvisited nodes based on a novelty score computed from the product of normalized core number and eigenvector centrality minus a penalty term proportional to normalized clustering, dynamically scaled by graph-level diameter and average path length to balance influence and cohesion disruption.",,evolve_experiment\evolution\synthetic\group2_ws_uniform\gpt-4.1-mini\synthetic_ws_1000_20260330_100257\results\pops\synthetic_ws_1000\population_generation_2.json
1835ff19c10edb5fd3344ff8f6439780,2,4,10,0.25965,e1,8,,,evolve_experiment\evolution\synthetic\group2_ws_uniform\gpt-4.1-mini\synthetic_ws_1000_20260330_100257\results\pops\synthetic_ws_1000\population_generation_2.json
bab73079687e114107af0e49c9853dbd,2,5,11,0.25974,m1,27,"Select the next node by ranking unvisited nodes based on a weighted sum of normalized betweenness centrality and degree, penalized by normalized clustering scaled inversely by bridge ratio of high betweenness nodes and adjusted by core number relative to max core to prioritize structurally critical nodes.",,evolve_experiment\evolution\synthetic\group2_ws_uniform\gpt-4.1-mini\synthetic_ws_1000_20260330_100257\results\pops\synthetic_ws_1000\population_generation_2.json
38f977386bc04623d8158b81e84b5ab6,2,6,12,0.25987,m1,12,"Select the next node by scoring unvisited nodes via a weighted sum of normalized betweenness and degree centrality, penalized by clustering coefficient scaled by the ratio of average degree to degree variance, to balance disruption of global flow and local cohesion.",,evolve_experiment\evolution\synthetic\group2_ws_uniform\gpt-4.1-mini\synthetic_ws_1000_20260330_100257\results\pops\synthetic_ws_1000\population_generation_2.json
a3f1b1047d388c8ea059e4fa18a6a736,3,1,13,0.2489,e1,23,,,evolve_experiment\evolution\synthetic\group2_ws_uniform\gpt-4.1-mini\synthetic_ws_1000_20260330_100257\results\pops\synthetic_ws_1000\population_generation_3.json
