generation,population_size,generation_best_objective,best_so_far_objective,div_pair,novel_basins,generation_basin_count,cumulative_unique_basins
1,6,0.2489,0.2489,0.8596749373607261,6,6,6
2,6,0.2489,0.2489,0.7612671210239635,3,6,9
3,6,0.2489,0.2489,0.826331087153766,2,6,11
4,6,0.2489,0.2489,0.8424383517641251,2,6,13
5,6,0.2489,0.2489,0.8424383517641251,0,6,13
6,6,0.2489,0.2489,0.8547406758411521,1,6,14
7,6,0.2489,0.2489,0.8551017607677012,1,6,15
8,6,0.2489,0.2489,0.8498879323309269,1,6,16
9,6,0.2489,0.2489,0.8440737014629106,1,6,17
10,6,0.2489,0.2489,0.8225530595500582,2,6,19
11,6,0.24723,0.24723,0.8230100475569709,3,6,22
12,6,0.24723,0.24723,0.8256231263522901,3,6,25
13,6,0.24723,0.24723,0.8523382003063238,1,6,26
14,6,0.24723,0.24723,0.8523382003063238,0,6,26
15,6,0.24723,0.24723,0.8523382003063238,0,6,26
16,6,0.24296,0.24296,0.8591325879623837,1,6,27
17,6,0.24296,0.24296,0.8420847219505263,1,6,28
18,6,0.24296,0.24296,0.8226146330426007,2,6,30
19,6,0.24296,0.24296,0.8226146330426007,0,6,30
20,6,0.24296,0.24296,0.8226146330426007,0,6,30
21,6,0.24296,0.24296,0.8226146330426007,0,6,30
22,6,0.21262,0.21262,0.8059350824970805,2,5,32
23,6,0.21262,0.21262,0.7306815415665333,2,5,34
24,6,0.2121,0.2121,0.7432656639341536,1,5,35
25,6,0.2121,0.2121,0.7657586580592011,1,5,36
26,6,0.2121,0.2121,0.7198517697523923,1,5,37
27,6,0.2121,0.2121,0.7198517697523923,0,5,37
28,6,0.20305,0.20305,0.7225722889594544,1,5,38
29,6,0.20305,0.20305,0.7514895202841672,1,6,39
30,6,0.20305,0.20305,0.7514895202841672,0,6,39
