evaluation_step,generation,candidate_index,unique_id,objective,best_so_far,operator,basin_id,cumulative_unique_basins,effective_basins
1,1,1,a3f1b1047d388c8ea059e4fa18a6a736,0.2489,0.2489,e1,23,1,1.0
2,1,2,262ba4fc327cc313c919239c6dc095a7,0.25935,0.2489,e1,9,2,2.0
3,1,3,38f977386bc04623d8158b81e84b5ab6,0.25987,0.2489,m1,12,3,2.9999999999999996
4,1,4,bc5b8671568df91d4d29725bf4884561,0.25994,0.2489,m1,28,4,4.0
5,1,5,d3f4993df05d627f52d800061b0e4799,0.2628,0.2489,i1,33,5,5.000000000000001
6,1,6,2fb1703e8435a52d574a365cd9e0c94e,0.26749,0.2489,i1,11,6,5.999999999999998
7,2,1,a3f1b1047d388c8ea059e4fa18a6a736,0.2489,0.2489,e1,23,6,5.742347492053464
8,2,2,bf31be75280f7d8766a048d6d2533bf5,0.25814,0.2489,m2,29,7,6.727171322029717
9,2,3,262ba4fc327cc313c919239c6dc095a7,0.25935,0.2489,e1,9,7,6.6138052152401965
10,2,4,1835ff19c10edb5fd3344ff8f6439780,0.25965,0.2489,e1,8,8,7.578582832551988
11,2,5,bab73079687e114107af0e49c9853dbd,0.25974,0.2489,m1,27,9,8.54923454974006
12,2,6,38f977386bc04623d8158b81e84b5ab6,0.25987,0.2489,m1,12,9,8.485281374238575
13,3,1,a3f1b1047d388c8ea059e4fa18a6a736,0.2489,0.2489,e1,23,9,8.151055182642203
14,3,2,bf31be75280f7d8766a048d6d2533bf5,0.25814,0.2489,m2,29,9,8.220058560836902
15,3,3,9a3d6908e9be19a8911531afde09b1a2,0.25872,0.2489,e2,20,10,9.125465128398089
16,3,4,262ba4fc327cc313c919239c6dc095a7,0.25935,0.2489,e1,9,10,8.911319467025024
17,3,5,0f7435a9be2677d0d7f2b15d5a21f116,0.25962,0.2489,e2,6,11,9.799921507045033
18,3,6,1835ff19c10edb5fd3344ff8f6439780,0.25965,0.2489,e1,8,11,9.90578174668388
19,4,1,a3f1b1047d388c8ea059e4fa18a6a736,0.2489,0.2489,e1,23,11,9.585330464646308
20,4,2,bf31be75280f7d8766a048d6d2533bf5,0.25814,0.2489,m2,29,11,9.490205612527099
21,4,3,2a7014bbf0ba6b8cf22795242390a538,0.25845,0.2489,e1,10,12,10.324803520892933
22,4,4,9a3d6908e9be19a8911531afde09b1a2,0.25872,0.2489,e2,20,12,10.489001790990601
23,4,5,0dee72acea7a0a74c309b273b79654a5,0.25894,0.2489,m1,5,13,11.32467564927536
24,4,6,262ba4fc327cc313c919239c6dc095a7,0.25935,0.2489,e1,9,13,11.082223950709816
25,5,1,a3f1b1047d388c8ea059e4fa18a6a736,0.2489,0.2489,e1,23,13,10.772454282897362
26,5,2,bf31be75280f7d8766a048d6d2533bf5,0.25814,0.2489,m2,29,13,10.613004559426367
