unique_id,generation,candidate_index,evaluation_step,objective,operator,basin_id,description,reflection,source_path
b9c6a04d3078402cd60a90088c0c1486,1,1,1,0.09189,e1,35,,,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_1.json
13b492ba7b1f7952e4dddbb862284c22,1,2,2,0.09197,m1,5,,,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_1.json
ff0fce54133e01f971edc066474b75de,1,3,3,0.09222,m2,51,,,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_1.json
408bf5d4597016947602de4884cd398d,1,4,4,0.09242,e1,13,"Select the next node by iteratively choosing the unvisited node whose removal maximizes the local decrease in effective graph resilience, computed as a product of normalized neighbor core number variance and inverse clustering, weighted by the node's normalized eigenvector centrality to capture influence beyond immediate neighbors.",,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_1.json
6c79ed0b89790feef7016c6a49d4974e,1,5,5,0.09341,m1,23,"Select the next node by combining normalized core number and degree with a penalty on clustering coefficient, multiplied by betweenness centrality to emphasize structurally important nodes that are influential hubs with low local redundancy.",,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_1.json
22ea98172d82d0221cf0087fbc6f765b,1,6,6,0.09342,m1,6,"Select the next node by combining normalized core number and degree as a measure of embeddedness with a penalty based on clustering to favor influential but less locally clustered nodes, weighted by betweenness to emphasize bridging nodes.",,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_1.json
608fff0d92c41d5ac5c8fcb4c29c9e36,1,7,7,0.09345,e1,19,"Select the next node by computing a novelty score based on normalized eigenvector centrality multiplied by the node's bridging potential (betweenness times inverse clustering), then prioritize nodes with high product of influence and bridge capability for balanced fast and long-term disruption.",,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_1.json
e79c0414d265e0e337e4c8e449930b21,1,8,8,0.09357,i1,48,"Select the next node by scoring unvisited nodes using a weighted combination of normalized betweenness, inverse clustering coefficient, core number, and degree to balance early disruption and final fragmentation, picking the node with the highest score to remove next.",,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_1.json
f2039aef97cc0c115027d7d9f5972983,1,9,9,0.09374,e1,50,"Select the next node by computing a novelty score for each unvisited node based on the product of normalized betweenness and eigenvector centrality divided by (1 + normalized clustering), then pick the node with the highest score to emphasize nodes that are both influential globally and serve as bridges in loosely clustered regions, ensuring a diverse and impactful removal strategy.",,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_1.json
3986d262479aa8541a8308cd2e291050,1,10,10,0.09385,i1,12,"Select the next node by scoring unvisited nodes using a weighted combination of normalized betweenness, inverse clustering coefficient, core number, and eigenvector centrality, balancing influence and bridging roles to optimize early and late network fragmentation.",,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_1.json
b9c6a04d3078402cd60a90088c0c1486,2,1,11,0.09189,e1,35,,,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_2.json
13b492ba7b1f7952e4dddbb862284c22,2,2,12,0.09197,m1,5,,,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_2.json
ff0fce54133e01f971edc066474b75de,2,3,13,0.09222,m2,51,,,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_2.json
408bf5d4597016947602de4884cd398d,2,4,14,0.09242,e1,13,"Select the next node by iteratively choosing the unvisited node whose removal maximizes the local decrease in effective graph resilience, computed as a product of normalized neighbor core number variance and inverse clustering, weighted by the node's normalized eigenvector centrality to capture influence beyond immediate neighbors.",,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_2.json
4b690ffb298771def3a5f57fc92797a6,2,5,15,0.09334,m1,14,,,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_2.json
6c79ed0b89790feef7016c6a49d4974e,2,6,16,0.09341,m1,23,"Select the next node by combining normalized core number and degree with a penalty on clustering coefficient, multiplied by betweenness centrality to emphasize structurally important nodes that are influential hubs with low local redundancy.",,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_2.json
22ea98172d82d0221cf0087fbc6f765b,2,7,17,0.09342,m1,6,"Select the next node by combining normalized core number and degree as a measure of embeddedness with a penalty based on clustering to favor influential but less locally clustered nodes, weighted by betweenness to emphasize bridging nodes.",,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_2.json
608fff0d92c41d5ac5c8fcb4c29c9e36,2,8,18,0.09345,e1,19,"Select the next node by computing a novelty score based on normalized eigenvector centrality multiplied by the node's bridging potential (betweenness times inverse clustering), then prioritize nodes with high product of influence and bridge capability for balanced fast and long-term disruption.",,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_2.json
6abfe77f3585a39c45d03c6d5ecf7c84,2,9,19,0.09349,m1,21,,,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_2.json
e79c0414d265e0e337e4c8e449930b21,2,10,20,0.09357,i1,48,"Select the next node by scoring unvisited nodes using a weighted combination of normalized betweenness, inverse clustering coefficient, core number, and degree to balance early disruption and final fragmentation, picking the node with the highest score to remove next.",,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_2.json
b9c6a04d3078402cd60a90088c0c1486,3,1,21,0.09189,e1,35,,,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_3.json
13b492ba7b1f7952e4dddbb862284c22,3,2,22,0.09197,m1,5,,,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_3.json
ff0fce54133e01f971edc066474b75de,3,3,23,0.09222,m2,51,,,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_3.json
408bf5d4597016947602de4884cd398d,3,4,24,0.09242,e1,13,"Select the next node by iteratively choosing the unvisited node whose removal maximizes the local decrease in effective graph resilience, computed as a product of normalized neighbor core number variance and inverse clustering, weighted by the node's normalized eigenvector centrality to capture influence beyond immediate neighbors.",,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_3.json
6e65cebbfe4b23ef4eeb4451b1417cf5,3,5,25,0.09252,m1,25,,,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_3.json
32503fd7da61d507ae26bd942e9497e2,3,6,26,0.09299,m1,9,,,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_3.json
bc579e474611d9656f74449fef7cae4d,3,7,27,0.09327,m2,36,,,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_3.json
4b690ffb298771def3a5f57fc92797a6,3,8,28,0.09334,m1,14,,,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_3.json
6c79ed0b89790feef7016c6a49d4974e,3,9,29,0.09341,m1,23,"Select the next node by combining normalized core number and degree with a penalty on clustering coefficient, multiplied by betweenness centrality to emphasize structurally important nodes that are influential hubs with low local redundancy.",,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_3.json
22ea98172d82d0221cf0087fbc6f765b,3,10,30,0.09342,m1,6,"Select the next node by combining normalized core number and degree as a measure of embeddedness with a penalty based on clustering to favor influential but less locally clustered nodes, weighted by betweenness to emphasize bridging nodes.",,evolve_experiment\evolution\real\Youtube_sampled_post_with_precompute\results\pops\Youtube_sampled\population_generation_3.json
