generation,population_size,generation_best_objective,best_so_far_objective,div_pair,novel_basins,generation_basin_count,cumulative_unique_basins
1,10,0.09189,0.09189,0.7843008763634566,10,10,10
2,10,0.09189,0.09189,0.8033063798131509,2,10,12
3,10,0.09189,0.09189,0.8104973036082416,3,10,15
4,10,0.09082,0.09082,0.8399293965146233,5,10,20
5,10,0.09082,0.09082,0.8298382898774543,2,10,22
6,10,0.09082,0.09082,0.8416552442072331,1,10,23
7,10,0.09082,0.09082,0.8416552442072331,0,10,23
8,10,0.09082,0.09082,0.8416552442072331,0,10,23
9,10,0.09082,0.09082,0.8416552442072331,0,10,23
10,10,0.09082,0.09082,0.8416552442072331,0,10,23
11,10,0.09082,0.09082,0.851364220768995,1,10,24
12,10,0.08986,0.08986,0.8536615124583775,1,10,25
13,10,0.0857,0.0857,0.8547178903123284,2,10,27
14,10,0.0857,0.0857,0.8606345820275499,1,10,28
15,10,0.0857,0.0857,0.8606345820275499,0,10,28
16,10,0.0857,0.0857,0.8606345820275499,0,10,28
17,10,0.0857,0.0857,0.8606345820275499,0,10,28
18,10,0.0857,0.0857,0.8538907947618504,2,10,30
19,10,0.0857,0.0857,0.856832732864842,1,10,31
20,10,0.0857,0.0857,0.856832732864842,0,10,31
21,10,0.0857,0.0857,0.8516375852327435,2,10,33
22,10,0.0857,0.0857,0.8442210185966915,1,10,34
23,10,0.0857,0.0857,0.8352728513868598,1,9,35
24,10,0.0857,0.0857,0.8435156737897259,2,10,37
25,10,0.0857,0.0857,0.8003014013687847,4,10,41
26,10,0.0857,0.0857,0.8003014013687847,0,10,41
27,10,0.08519,0.08519,0.8185947214222393,1,10,42
28,10,0.08519,0.08519,0.8185947214222393,0,10,42
29,10,0.08519,0.08519,0.8185947214222393,0,10,42
30,10,0.08519,0.08519,0.8185947214222393,0,10,42
31,10,0.08519,0.08519,0.8185947214222393,0,10,42
32,10,0.08483,0.08483,0.8133770933059004,1,10,43
33,10,0.08483,0.08483,0.8133770933059004,0,10,43
34,10,0.08483,0.08483,0.8122743378506565,1,10,44
35,10,0.08483,0.08483,0.8122743378506565,0,10,44
36,10,0.08483,0.08483,0.8122743378506565,0,10,44
37,10,0.08483,0.08483,0.8195837878129991,1,10,45
38,10,0.08468,0.08468,0.8289022633829634,1,10,46
39,10,0.08271,0.08271,0.8402085350403065,3,10,49
40,10,0.08271,0.08271,0.8333920883427088,2,10,51
41,10,0.08271,0.08271,0.8402085350403065,0,10,51
