evaluation_step,generation,candidate_index,unique_id,objective,best_so_far,operator,basin_id,cumulative_unique_basins,effective_basins
1,1,1,b9c6a04d3078402cd60a90088c0c1486,0.09189,0.09189,e1,35,1,1.0
2,1,2,13b492ba7b1f7952e4dddbb862284c22,0.09197,0.09189,m1,5,2,2.0
3,1,3,ff0fce54133e01f971edc066474b75de,0.09222,0.09189,m2,51,3,2.9999999999999996
4,1,4,408bf5d4597016947602de4884cd398d,0.09242,0.09189,e1,13,4,4.0
5,1,5,6c79ed0b89790feef7016c6a49d4974e,0.09341,0.09189,m1,23,5,5.000000000000001
6,1,6,22ea98172d82d0221cf0087fbc6f765b,0.09342,0.09189,m1,6,6,5.999999999999998
7,1,7,608fff0d92c41d5ac5c8fcb4c29c9e36,0.09345,0.09189,e1,19,7,6.999999999999998
8,1,8,e79c0414d265e0e337e4c8e449930b21,0.09357,0.09189,i1,48,8,7.999999999999998
9,1,9,f2039aef97cc0c115027d7d9f5972983,0.09374,0.09189,e1,50,9,9.000000000000002
10,1,10,3986d262479aa8541a8308cd2e291050,0.09385,0.09189,i1,12,10,9.999999999999998
11,2,1,b9c6a04d3078402cd60a90088c0c1486,0.09189,0.09189,e1,35,10,9.697503804956236
12,2,2,13b492ba7b1f7952e4dddbb862284c22,0.09197,0.09189,m1,5,10,9.524406311809203
13,2,3,ff0fce54133e01f971edc066474b75de,0.09222,0.09189,m2,51,10,9.440748564743117
14,2,4,408bf5d4597016947602de4884cd398d,0.09242,0.09189,e1,13,10,9.421301348426493
15,2,5,4b690ffb298771def3a5f57fc92797a6,0.09334,0.09189,m1,14,11,10.364346599758322
16,2,6,6c79ed0b89790feef7016c6a49d4974e,0.09341,0.09189,m1,23,11,10.374716437208079
17,2,7,22ea98172d82d0221cf0087fbc6f765b,0.09342,0.09189,m1,6,11,10.422146167709412
18,2,8,608fff0d92c41d5ac5c8fcb4c29c9e36,0.09345,0.09189,e1,19,11,10.498761356185055
19,2,9,6abfe77f3585a39c45d03c6d5ecf7c84,0.09349,0.09189,m1,21,12,11.400975835991977
20,2,10,e79c0414d265e0e337e4c8e449930b21,0.09357,0.09189,i1,48,12,11.486983549970347
21,3,1,b9c6a04d3078402cd60a90088c0c1486,0.09189,0.09189,e1,35,12,11.307652452286378
22,3,2,13b492ba7b1f7952e4dddbb862284c22,0.09197,0.09189,m1,5,12,11.171217894614351
23,3,3,ff0fce54133e01f971edc066474b75de,0.09222,0.09189,m2,51,12,11.069948687389056
24,3,4,408bf5d4597016947602de4884cd398d,0.09242,0.09189,e1,13,12,10.997837095988828
25,3,5,6e65cebbfe4b23ef4eeb4451b1417cf5,0.09252,0.09189,m1,25,13,11.819312291632222
26,3,6,32503fd7da61d507ae26bd942e9497e2,0.09299,0.09189,m1,9,14,12.651409816716548
27,3,7,bc579e474611d9656f74449fef7cae4d,0.09327,0.09189,m2,36,15,13.493226183308867
28,3,8,4b690ffb298771def3a5f57fc92797a6,0.09334,0.09189,m1,14,15,13.65107274184136
29,3,9,6c79ed0b89790feef7016c6a49d4974e,0.09341,0.09189,m1,23,15,13.569641828577728
30,3,10,22ea98172d82d0221cf0087fbc6f765b,0.09342,0.09189,m1,6,15,13.509600385206129
31,4,1,2f33904cf15ce2991f0d14ccec673216,0.09082,0.09082,m2,8,16,14.323847077529903
32,4,2,d663f4daf5edfeb90df043139cceff05,0.09084,0.09082,e2,40,17,15.146983361393712
33,4,3,b9c6a04d3078402cd60a90088c0c1486,0.09189,0.09082,e1,35,17,14.925570740351214
34,4,4,13b492ba7b1f7952e4dddbb862284c22,0.09197,0.09082,m1,5,17,14.733267200958567
