数据集,算法,目标值 (ANC),最佳vs基线 (差值),最佳vs基线 (%),选择时间 (秒),选择时间vs基线 (差值),选择时间vs基线 (%),ANC时间 (秒),ANC时间vs基线 (差值),ANC时间vs基线 (%),FHT_50,FHT_50vs基线 (差值),FHT_50vs基线 (%),FHT_10,FHT_10vs基线 (差值),FHT_10vs基线 (%),LCC@K Ratio,LCC@K Ratio vs基线 (差值),LCC@K Ratio vs基线 (%),ANC Prefix K,ANC Prefix K vs基线 (差值),ANC Prefix K vs基线 (%),原数据vs样本 (差值),原数据vs样本 (%)
synthetic_sbm_1000,EoH-Best,0.319976,,,0.766645,,,0.305242,,,292.6,,,641.4,,,0.8498,,,0.856459,,,,
,HDA,0.309034,0.010943,3.54%,0.201233,0.565412,280.90%,0.522323,-0.217081,-41.56%,292.2,0.4,0.14%,592.6,48.8,8.24%,0.85,-0.0002,-0.02%,0.856507,-0.000048,-0.01%,,
,CoreHD,0.311238,0.008738,2.81%,11.75364,-10.986995,-93.48%,0.516929,-0.211687,-40.95%,292.8,-0.2,-0.07%,598.8,42.6,7.11%,0.85,-0.0002,-0.02%,0.856507,-0.000048,-0.01%,,
,CI(l=3),0.310448,0.009528,3.07%,86.264191,-85.497546,-99.11%,0.537657,-0.232415,-43.23%,293,-0.4,-0.14%,601.4,40,6.65%,0.85,-0.0002,-0.02%,0.856507,-0.000048,-0.01%,,
synthetic_er_1000,EoH-Best,0.267585,,,1.599467,,,0.280025,,,281.6,,,452.8,,,0.8484,,,0.85596,,,,
,HDA,0.268403,-0.000819,-0.31%,0.193293,1.406174,727.50%,0.520718,-0.240693,-46.23%,280,1.6,0.57%,455,-2.2,-0.48%,0.8482,0.0002,0.02%,0.855852,0.000108,0.01%,,
,CoreHD,0.272556,-0.004971,-1.82%,6.70124,-5.101773,-76.13%,0.501253,-0.221228,-44.12%,288.4,-6.8,-2.36%,444,8.8,1.98%,0.85,-0.0016,-0.19%,0.856507,-0.000547,-0.06%,,
,CI(l=3),0.270431,-0.002846,-1.05%,24.9386,-23.339133,-93.59%,0.502695,-0.22267,-44.30%,285.8,-4.2,-1.47%,447,5.8,1.30%,0.8494,-0.001,-0.12%,0.856267,-0.000307,-0.04%,,
synthetic_ws_1000,EoH-Best,0.203053,,,123.159829,,,0.263514,,,251.6,,,277.4,,,0.85,,,0.856507,,,,
,HDA,0.282873,-0.07982,-28.22%,0.182453,122.977376,67400.00%,0.467428,-0.203914,-43.62%,293,-41.4,-14.13%,487.8,-210.4,-43.13%,0.85,0,0.00%,0.856507,0,0.00%,,
,CoreHD,0.282554,-0.079501,-28.14%,8.34826,114.811569,1375.40%,0.540046,-0.276532,-51.21%,293,-41.4,-14.13%,486.8,-209.4,-43.02%,0.85,0,0.00%,0.856507,0,0.00%,,
,CI(l=3),0.258268,-0.055214,-21.38%,9.06065,114.099179,1259.30%,0.511654,-0.24814,-48.50%,293,-41.4,-14.13%,397.2,-119.8,-30.16%,0.85,0,0.00%,0.856507,0,0.00%,,
synthetic_uniform_cost_1000,EoH-Best,0.185515,,,3.02496,,,0.314306,,,205.4,,,286.2,,,0.8124,,,0.834853,,,,
,HDA,0.185744,-0.000229,-0.12%,0.190163,2.834797,1490.10%,0.557977,-0.243671,-43.67%,203.4,2,0.98%,291.4,-5.2,-1.78%,0.8116,0.0008,0.10%,0.834618,0.000235,0.03%,,
,CoreHD,0.190439,-0.004924,-2.59%,3.77954,-0.75458,-19.97%,0.572823,-0.258517,-45.12%,228.4,-23,-10.07%,271.8,14.4,5.30%,0.8232,-0.0108,-1.31%,0.839896,-0.005043,-0.60%,,
,CI(l=3),0.187498,-0.001983,-1.06%,12.8646,-9.83964,-76.48%,0.546945,-0.232639,-42.54%,213.2,-7.8,-3.66%,278.2,8,2.88%,0.818,-0.0056,-0.68%,0.837238,-0.002385,-0.29%,,
