generation,pop_size,objective_best,objective_mean,objective_median,objective_min,objective_max,time_total_mean,time_select_mean,time_anc_mean,time_overhead_mean,file
-1,12,0.19825,0.21483166666666667,0.20329,0.19825,0.27924,6.185236990451813,4.143402238686879,1.3488597671190898,0.6929749846458435,population_generation_-1.json
0,6,0.19825,0.20088333333333333,0.20187,0.19825,0.20323,6.412558714548747,4.3515777587890625,1.3773419857025146,0.6836389700571696,population_generation_0.json
1,6,0.19641,0.19824333333333335,0.19825,0.19641,0.20051,9.311304450035095,6.92839503288269,1.6916358073552449,0.6912736097971598,population_generation_1.json
2,6,0.19011,0.19465166666666667,0.19641,0.19011,0.19755,10.629104534784952,8.091257890065512,1.8492144743601482,0.6886321703592936,population_generation_2.json
3,6,0.19011,0.19344000000000003,0.19363,0.19011,0.19641,13.662028272946676,11.120905121167501,1.7841686407725017,0.7569545110066732,population_generation_3.json
4,6,0.18568,0.19106166666666666,0.19267,0.18568,0.19363,13.215935707092285,10.766500353813171,1.6951215267181396,0.7543138265609741,population_generation_4.json
5,6,0.18568,0.19051333333333334,0.19157,0.18568,0.19271,13.05963122844696,10.658793926239014,1.6301099459330242,0.7707273562749227,population_generation_5.json
6,6,0.18568,0.18946666666666667,0.19011,0.18568,0.19157,16.936565041542053,14.651357968648275,1.5551486015319824,0.730058471361796,population_generation_6.json
7,6,0.18568,0.18899166666666667,0.18973,0.18568,0.19011,16.551086862881977,14.244974931081137,1.5689599514007568,0.7371519804000854,population_generation_7.json
8,6,0.18568,0.18874833333333332,0.18933,0.18568,0.1901,17.438732584317524,15.206563830375671,1.481273611386617,0.7508951425552368,population_generation_8.json
9,6,0.18568,0.18747666666666665,0.18791,0.18568,0.189,17.113856275876362,14.890629410743713,1.4790706634521484,0.7441562016805013,population_generation_9.json
10,6,0.18568,0.18747666666666665,0.18791,0.18568,0.189,17.113856275876362,14.890629410743713,1.4790706634521484,0.7441562016805013,population_generation_10.json
11,6,0.18568,0.18747666666666665,0.18791,0.18568,0.189,17.113856275876362,14.890629410743713,1.4790706634521484,0.7441562016805013,population_generation_11.json
12,6,0.18568,0.18693,0.1876,0.18568,0.18865,11.46967089176178,9.301570375760397,1.4607828855514526,0.7073176304499308,population_generation_12.json
13,6,0.18568,0.1863,0.18615,0.18568,0.1876,10.034084757169088,7.903278668721517,1.4570308526357014,0.6737752358118693,population_generation_13.json
14,6,0.18568,0.18605000000000002,0.1861,0.18568,0.18663,9.721137642860413,7.621091643969218,1.4494671821594238,0.6505788167317709,population_generation_14.json
15,6,0.18555,0.18587,0.18602,0.18555,0.18615,11.373292922973633,9.264598766962687,1.4576873381932576,0.651006817817688,population_generation_15.json
16,6,0.18555,0.18577166666666667,0.18572,0.18555,0.1861,11.318853378295898,9.225322246551514,1.4433310429255168,0.650200088818868,population_generation_16.json
17,6,0.18555,0.18577166666666667,0.18572,0.18555,0.1861,11.318853378295898,9.225322246551514,1.4433310429255168,0.650200088818868,population_generation_17.json
18,6,0.18555,0.18574333333333334,0.18572,0.18555,0.18602,11.258264978726706,9.186500509579977,1.4287199974060059,0.6430444717407227,population_generation_18.json
19,6,0.18555,0.18567999999999998,0.18568,0.18555,0.18593,11.03603184223175,9.020683407783508,1.403106729189555,0.6122417052586874,population_generation_19.json
20,6,0.18551,0.185605,0.18564,0.18551,0.18569,10.483328104019165,8.424402316411337,1.4460093180338542,0.6129164695739746,population_generation_20.json
21,6,0.18551,0.185605,0.18564,0.18551,0.18569,10.483328104019165,8.424402316411337,1.4460093180338542,0.6129164695739746,population_generation_21.json
22,6,0.18551,0.185605,0.18564,0.18551,0.18569,10.483328104019165,8.424402316411337,1.4460093180338542,0.6129164695739746,population_generation_22.json
23,6,0.18551,0.185605,0.18564,0.18551,0.18569,10.483328104019165,8.424402316411337,1.4460093180338542,0.6129164695739746,population_generation_23.json
24,6,0.18551,0.185605,0.18564,0.18551,0.18569,10.483328104019165,8.424402316411337,1.4460093180338542,0.6129164695739746,population_generation_24.json
25,6,0.18551,0.185605,0.18564,0.18551,0.18569,10.483328104019165,8.424402316411337,1.4460093180338542,0.6129164695739746,population_generation_25.json
26,6,0.18551,0.18558666666666668,0.18558,0.18551,0.18568,10.339666962623596,8.262001037597656,1.4426836172739665,0.6349823077519735,population_generation_26.json
27,6,0.18551,0.18558666666666668,0.18558,0.18551,0.18568,10.339666962623596,8.262001037597656,1.4426836172739665,0.6349823077519735,population_generation_27.json
28,6,0.18551,0.18558666666666668,0.18558,0.18551,0.18568,10.339666962623596,8.262001037597656,1.4426836172739665,0.6349823077519735,population_generation_28.json
29,6,0.18551,0.18558666666666668,0.18558,0.18551,0.18568,10.339666962623596,8.262001037597656,1.4426836172739665,0.6349823077519735,population_generation_29.json
30,6,0.18551,0.18558666666666668,0.18558,0.18551,0.18568,10.339666962623596,8.262001037597656,1.4426836172739665,0.6349823077519735,population_generation_30.json
