generation,objective,operator,anc_prefix_k,fht_50,fht_10,lcc_at_k_frac,k,time_total,time_select,time_anc,unique_id,file
1,0.32236,e2,0.8565071738405072,292.8,651.8,0.85,150,8.031997203826904,5.497870922088623,1.6874415874481201,b798ac9c6e85ce2ccfc88f7103714a42,population_generation_1.json
2,0.32236,e2,0.8565071738405072,292.8,651.8,0.85,150,8.031997203826904,5.497870922088623,1.6874415874481201,b798ac9c6e85ce2ccfc88f7103714a42,population_generation_2.json
3,0.32236,e2,0.8565071738405072,292.8,651.8,0.85,150,8.031997203826904,5.497870922088623,1.6874415874481201,b798ac9c6e85ce2ccfc88f7103714a42,population_generation_3.json
4,0.32236,e2,0.8565071738405072,292.8,651.8,0.85,150,8.031997203826904,5.497870922088623,1.6874415874481201,b798ac9c6e85ce2ccfc88f7103714a42,population_generation_4.json
5,0.32236,e2,0.8565071738405072,292.8,651.8,0.85,150,8.031997203826904,5.497870922088623,1.6874415874481201,b798ac9c6e85ce2ccfc88f7103714a42,population_generation_5.json
6,0.32236,e2,0.8565071738405072,292.8,651.8,0.85,150,8.031997203826904,5.497870922088623,1.6874415874481201,b798ac9c6e85ce2ccfc88f7103714a42,population_generation_6.json
7,0.32199,cu,0.8565071738405072,292.8,651.4,0.85,150,4.659888505935669,2.6068503856658936,1.4297535419464111,3cf76949b48c7be9952366a6dcc74ac9,population_generation_7.json
8,0.32199,cu,0.8565071738405072,292.8,651.4,0.85,150,4.659888505935669,2.6068503856658936,1.4297535419464111,3cf76949b48c7be9952366a6dcc74ac9,population_generation_8.json
9,0.32199,cu,0.8565071738405072,292.8,651.4,0.85,150,4.659888505935669,2.6068503856658936,1.4297535419464111,3cf76949b48c7be9952366a6dcc74ac9,population_generation_9.json
10,0.32161,t2,0.8565071738405072,292.6,647.4,0.85,150,7.3816001415252686,4.926986217498779,1.651183843612671,7bc8734121c89f8abb560ab46789aa76,population_generation_10.json
11,0.32161,t2,0.8565071738405072,292.6,647.4,0.85,150,7.3816001415252686,4.926986217498779,1.651183843612671,7bc8734121c89f8abb560ab46789aa76,population_generation_11.json
12,0.32161,t2,0.8565071738405072,292.6,647.4,0.85,150,7.3816001415252686,4.926986217498779,1.651183843612671,7bc8734121c89f8abb560ab46789aa76,population_generation_12.json
13,0.32161,t2,0.8565071738405072,292.6,647.4,0.85,150,7.3816001415252686,4.926986217498779,1.651183843612671,7bc8734121c89f8abb560ab46789aa76,population_generation_13.json
14,0.32161,t2,0.8565071738405072,292.6,647.4,0.85,150,7.3816001415252686,4.926986217498779,1.651183843612671,7bc8734121c89f8abb560ab46789aa76,population_generation_14.json
15,0.32161,t2,0.8565071738405072,292.6,647.4,0.85,150,7.3816001415252686,4.926986217498779,1.651183843612671,7bc8734121c89f8abb560ab46789aa76,population_generation_15.json
16,0.32161,t2,0.8565071738405072,292.6,647.4,0.85,150,7.3816001415252686,4.926986217498779,1.651183843612671,7bc8734121c89f8abb560ab46789aa76,population_generation_16.json
17,0.32161,t2,0.8565071738405072,292.6,647.4,0.85,150,7.3816001415252686,4.926986217498779,1.651183843612671,7bc8734121c89f8abb560ab46789aa76,population_generation_17.json
18,0.31998,e1,0.856459021688355,292.6,641.4,0.8497999999999999,150,6.108926773071289,3.8332245349884033,1.526209831237793,bbd7ad49f426c57d89726e1ea052f913,population_generation_18.json
19,0.31998,e1,0.856459021688355,292.6,641.4,0.8497999999999999,150,6.108926773071289,3.8332245349884033,1.526209831237793,bbd7ad49f426c57d89726e1ea052f913,population_generation_19.json
20,0.31998,e1,0.856459021688355,292.6,641.4,0.8497999999999999,150,6.108926773071289,3.8332245349884033,1.526209831237793,bbd7ad49f426c57d89726e1ea052f913,population_generation_20.json
21,0.31998,e1,0.856459021688355,292.6,641.4,0.8497999999999999,150,6.108926773071289,3.8332245349884033,1.526209831237793,bbd7ad49f426c57d89726e1ea052f913,population_generation_21.json
22,0.31998,e1,0.856459021688355,292.6,641.4,0.8497999999999999,150,6.108926773071289,3.8332245349884033,1.526209831237793,bbd7ad49f426c57d89726e1ea052f913,population_generation_22.json
23,0.31998,e1,0.856459021688355,292.6,641.4,0.8497999999999999,150,6.108926773071289,3.8332245349884033,1.526209831237793,bbd7ad49f426c57d89726e1ea052f913,population_generation_23.json
24,0.31998,e1,0.856459021688355,292.6,641.4,0.8497999999999999,150,6.108926773071289,3.8332245349884033,1.526209831237793,bbd7ad49f426c57d89726e1ea052f913,population_generation_24.json
25,0.31998,e1,0.856459021688355,292.6,641.4,0.8497999999999999,150,6.108926773071289,3.8332245349884033,1.526209831237793,bbd7ad49f426c57d89726e1ea052f913,population_generation_25.json
26,0.31998,e1,0.856459021688355,292.6,641.4,0.8497999999999999,150,6.108926773071289,3.8332245349884033,1.526209831237793,bbd7ad49f426c57d89726e1ea052f913,population_generation_26.json
27,0.31998,e1,0.856459021688355,292.6,641.4,0.8497999999999999,150,6.108926773071289,3.8332245349884033,1.526209831237793,bbd7ad49f426c57d89726e1ea052f913,population_generation_27.json
28,0.31998,e1,0.856459021688355,292.6,641.4,0.8497999999999999,150,6.108926773071289,3.8332245349884033,1.526209831237793,bbd7ad49f426c57d89726e1ea052f913,population_generation_28.json
29,0.31998,e1,0.856459021688355,292.6,641.4,0.8497999999999999,150,6.108926773071289,3.8332245349884033,1.526209831237793,bbd7ad49f426c57d89726e1ea052f913,population_generation_29.json
30,0.31998,e1,0.856459021688355,292.6,641.4,0.8497999999999999,150,6.108926773071289,3.8332245349884033,1.526209831237793,bbd7ad49f426c57d89726e1ea052f913,population_generation_30.json
