generation,objective,operator,anc_prefix_k,fht_50,fht_10,lcc_at_k_frac,k,time_total,time_select,time_anc,unique_id,file
1,0.19641,m2,0.8352603189856523,209.0,320.0,0.8128,150,11.061217784881592,8.341185569763184,2.005674362182617,47538b965b40a1325d1e20afcd442132,population_generation_1.json
2,0.19011,e1,0.8354931785118452,206.2,299.6,0.8134,150,10.709136486053467,8.028895139694214,2.0106489658355713,019df3c9164b12fd0adcb8c08766ac8e,population_generation_2.json
3,0.19011,e1,0.8354931785118452,206.2,299.6,0.8134,150,10.709136486053467,8.028895139694214,2.0106489658355713,019df3c9164b12fd0adcb8c08766ac8e,population_generation_3.json
4,0.18568,e2,0.834132004004004,203.8,290.0,0.8104000000000001,150,6.396523475646973,4.3288586139678955,1.4181032180786133,896ea18ca390f8d283d1818fa04009d1,population_generation_4.json
5,0.18568,e2,0.834132004004004,203.8,290.0,0.8104000000000001,150,6.396523475646973,4.3288586139678955,1.4181032180786133,896ea18ca390f8d283d1818fa04009d1,population_generation_5.json
6,0.18568,e2,0.834132004004004,203.8,290.0,0.8104000000000001,150,6.396523475646973,4.3288586139678955,1.4181032180786133,896ea18ca390f8d283d1818fa04009d1,population_generation_6.json
7,0.18568,e2,0.834132004004004,203.8,290.0,0.8104000000000001,150,6.396523475646973,4.3288586139678955,1.4181032180786133,896ea18ca390f8d283d1818fa04009d1,population_generation_7.json
8,0.18568,e2,0.834132004004004,203.8,290.0,0.8104000000000001,150,6.396523475646973,4.3288586139678955,1.4181032180786133,896ea18ca390f8d283d1818fa04009d1,population_generation_8.json
9,0.18568,e2,0.834132004004004,203.8,290.0,0.8104000000000001,150,6.396523475646973,4.3288586139678955,1.4181032180786133,896ea18ca390f8d283d1818fa04009d1,population_generation_9.json
10,0.18568,e2,0.834132004004004,203.8,290.0,0.8104000000000001,150,6.396523475646973,4.3288586139678955,1.4181032180786133,896ea18ca390f8d283d1818fa04009d1,population_generation_10.json
11,0.18568,e2,0.834132004004004,203.8,290.0,0.8104000000000001,150,6.396523475646973,4.3288586139678955,1.4181032180786133,896ea18ca390f8d283d1818fa04009d1,population_generation_11.json
12,0.18568,e2,0.834132004004004,203.8,290.0,0.8104000000000001,150,6.396523475646973,4.3288586139678955,1.4181032180786133,896ea18ca390f8d283d1818fa04009d1,population_generation_12.json
13,0.18568,e2,0.834132004004004,203.8,290.0,0.8104000000000001,150,6.396523475646973,4.3288586139678955,1.4181032180786133,896ea18ca390f8d283d1818fa04009d1,population_generation_13.json
14,0.18568,e2,0.834132004004004,203.8,290.0,0.8104000000000001,150,6.396523475646973,4.3288586139678955,1.4181032180786133,896ea18ca390f8d283d1818fa04009d1,population_generation_14.json
15,0.18555,t2,0.8348074127460794,204.2,286.0,0.8131999999999999,150,17.131751775741577,15.065451622009277,1.459064245223999,52541c8ae66564d9beb64047c23f1b9f,population_generation_15.json
16,0.18555,t2,0.8348074127460794,204.2,286.0,0.8131999999999999,150,17.131751775741577,15.065451622009277,1.459064245223999,52541c8ae66564d9beb64047c23f1b9f,population_generation_16.json
17,0.18555,t2,0.8348074127460794,204.2,286.0,0.8131999999999999,150,17.131751775741577,15.065451622009277,1.459064245223999,52541c8ae66564d9beb64047c23f1b9f,population_generation_17.json
18,0.18555,t2,0.8348074127460794,204.2,286.0,0.8131999999999999,150,17.131751775741577,15.065451622009277,1.459064245223999,52541c8ae66564d9beb64047c23f1b9f,population_generation_18.json
19,0.18555,t2,0.8348074127460794,204.2,286.0,0.8131999999999999,150,17.131751775741577,15.065451622009277,1.459064245223999,52541c8ae66564d9beb64047c23f1b9f,population_generation_19.json
20,0.18551,m1,0.8348527407407408,205.4,286.2,0.8124,150,17.30656623840332,15.124794483184814,1.5715320110321045,89251d16127792b717faed01a688b95d,population_generation_20.json
21,0.18551,m1,0.8348527407407408,205.4,286.2,0.8124,150,17.30656623840332,15.124794483184814,1.5715320110321045,89251d16127792b717faed01a688b95d,population_generation_21.json
22,0.18551,m1,0.8348527407407408,205.4,286.2,0.8124,150,17.30656623840332,15.124794483184814,1.5715320110321045,89251d16127792b717faed01a688b95d,population_generation_22.json
23,0.18551,m1,0.8348527407407408,205.4,286.2,0.8124,150,17.30656623840332,15.124794483184814,1.5715320110321045,89251d16127792b717faed01a688b95d,population_generation_23.json
24,0.18551,m1,0.8348527407407408,205.4,286.2,0.8124,150,17.30656623840332,15.124794483184814,1.5715320110321045,89251d16127792b717faed01a688b95d,population_generation_24.json
25,0.18551,m1,0.8348527407407408,205.4,286.2,0.8124,150,17.30656623840332,15.124794483184814,1.5715320110321045,89251d16127792b717faed01a688b95d,population_generation_25.json
26,0.18551,m1,0.8348527407407408,205.4,286.2,0.8124,150,17.30656623840332,15.124794483184814,1.5715320110321045,89251d16127792b717faed01a688b95d,population_generation_26.json
27,0.18551,m1,0.8348527407407408,205.4,286.2,0.8124,150,17.30656623840332,15.124794483184814,1.5715320110321045,89251d16127792b717faed01a688b95d,population_generation_27.json
28,0.18551,m1,0.8348527407407408,205.4,286.2,0.8124,150,17.30656623840332,15.124794483184814,1.5715320110321045,89251d16127792b717faed01a688b95d,population_generation_28.json
29,0.18551,m1,0.8348527407407408,205.4,286.2,0.8124,150,17.30656623840332,15.124794483184814,1.5715320110321045,89251d16127792b717faed01a688b95d,population_generation_29.json
30,0.18551,m1,0.8348527407407408,205.4,286.2,0.8124,150,17.30656623840332,15.124794483184814,1.5715320110321045,89251d16127792b717faed01a688b95d,population_generation_30.json
